"id","지표","단위","영역","자료종류","추가여부","초등확보","중등확보","고등확보","유치원확보","출처","해석조건"
"students","재학생 수","명","school","observation","기존","271","147","129","369","data_processed/education/analysis_dataset.json","2026 공시"
"classes","학급 수","개","school","observation","기존","271","147","129","369","data_processed/education/analysis_dataset.json",""
"teachers","교원 수","명","school","observation","기존","271","147","129","0","data_processed/education/analysis_dataset.json",""
"class_size","학급당 학생 수","명","school","observation","기존","271","147","129","369","data_processed/education/analysis_dataset.json",""
"students_per_teacher","교원 1인당 학생 수","명","school","observation","기존","271","147","129","0","data_processed/education/analysis_dataset.json",""
"afterschool","방과후 프로그램 수","개","school","observation","기존","271","147","129","0","data_processed/education/analysis_dataset.json",""
"clubs","동아리 수","개","school","observation","기존","269","147","129","0","data_processed/education/analysis_dataset.json",""
"students_2020","2020 재학생 수","명","trend","observation","기존","259","136","125","343","data_processed/education/analysis_dataset.json",""
"student_change_pct","2020→2026 재학생 변화율","%","trend","observation","기존","258","136","125","343","data_processed/education/analysis_dataset.json",""
"sen_slope","연간 재학생 변화 기울기(Sen)","명/년","trend","observation","기존","270","144","127","364","data_processed/education/analysis_dataset.json",""
"forecast_2029","2029 재학생 예측","명","trend","forecast","기존","270","144","127","361","data_processed/education/analysis_dataset.json","모형 예측(오차 있음)"
"forecast_2031","2031 재학생 예측","명","trend","forecast","기존","270","144","127","361","data_processed/education/analysis_dataset.json",""
"forecast_change_pct_2031","2026→2031 예측 변화율","%","trend","forecast","기존","269","144","127","361","data_processed/education/analysis_dataset.json",""
"parks_walk","도보 500m 공원 수","곳","park","observation","기존","272","147","129","369","data_processed/education/analysis_dataset.json","보행망 도달권 안 공원 대표점"
"green_ratio","도보권 녹지비율","%","park","estimate","기존","272","147","129","369","data_processed/education/analysis_dataset.json",""
"nearest_park_m","가장 가까운 공원까지 거리","m","park","observation","기존","272","136","119","348","data_processed/school_priority.csv","초등은 보행망 거리, 그 외 직선·경로 혼합"
"park_route_m","공원 보행 경로 거리","m","park","estimate","기존","251","136","119","348","data_processed/education/school_routes.json","학교·공원 대표점 간 OSM 보행망 추정(양끝 연결거리 포함). 출입구·통행허용·안전 미검증. 기존 최근접 거리 원장과 산출 방법이 다릅니다."
"park_detour_ratio","공원 경로 우회율(경로÷직선)","배","park","estimate","기존","251","136","119","348","data_processed/education/school_routes.json","동일 학교·공원 대표점의 보행망 추정거리÷직선거리. 1.5배는 직선보다 50% 긴 경로. 직선거리 0 또는 유효 경로 미확보 시 미산출."
"playgrounds_walk","도보권 어린이 놀이시설 수","곳","park","observation","기존","272","0","0","0","data_processed/school_priority.csv","초등"
"shared_park_m2_per_student","공유 공원면적(학생 1인당)","㎡/명","park","scenario","기존","271","147","129","368","data_processed/education/shared_parks.json","여러 학교가 같은 공원을 나눠 쓴다고 가정"
"park_sharing_schools","같은 공원을 공유하는 학교 수","개교","park","observation","기존","272","147","129","369","data_processed/education/shared_parks.json",""
"walk_area_m2","보행 500m 도달권 면적","㎡","boundary","estimate","기존","272","147","129","369","data_processed/education/walkshed_500m.geojson",""
"walk_area_ratio_to_circle","도달권 면적÷직선 500m 원 면적","배","boundary","estimate","기존","272","147","129","369","data_processed/education/walkshed_500m.geojson","낮을수록 보행망이 끊겨 실제 도달 범위가 좁음"
"zone_area_m2","학구도(통학구역) 면적","㎡","boundary","observation","기존","266","145","88","0","data_processed/education/boundary_comparison.json","초·중 위주, 유치원 없음"
"zone_walk_mismatch_pct","학구도와 도보권 불일치율","%","boundary","observation","기존","266","145","88","0","data_processed/education/boundary_comparison.json","100×(1−겹침÷합집합). 클수록 두 구역 모양이 다름"
"zone_outside_walk_pct","학구도 중 도보 500m 밖 비율","%","boundary","observation","기존","266","145","88","0","data_processed/education/boundary_comparison.json","클수록 학구 학생 다수가 도보 500m 밖 거주 가능"
"walk_outside_zone_pct","도보권 중 학구도 밖 비율","%","boundary","observation","기존","266","145","88","0","data_processed/education/boundary_comparison.json",""
"books_total","학교도서관 장서 수 (2025 KESS)","권","reading","observation","기존","271","0","0","0","data_processed/school_library_access.csv","초등학교 KESS 2025 원장. 새 2026 학교알리미 도서관 지표와 연도·집계 정의를 구분합니다."
"books_per_student","학생 1인당 장서 (2025 KESS)","권","reading","observation","기존","271","0","0","0","data_processed/school_library_access.csv","초등학교 KESS 2025 원장. 새 2026 학교알리미 도서관 지표와 연도·집계 정의를 구분합니다."
"library_seats","학교도서관 좌석 수 (2025 KESS)","석","reading","observation","기존","271","0","0","0","data_processed/school_library_access.csv","초등학교 KESS 2025 원장. 새 2026 학교알리미 도서관 지표와 연도·집계 정의를 구분합니다."
"librarians","사서(교사+직원) 수 (2025 KESS)","명","reading","observation","기존","271","0","0","0","data_processed/school_library_access.csv","초등학교 KESS 2025 원장. 새 2026 학교알리미 도서관 지표와 연도·집계 정의를 구분합니다."
"libraries_walk","도보권 공공·작은도서관 수","곳","reading","observation","기존","272","147","129","369","data_processed/school_library_access.csv",""
"nearest_public_library_m","가장 가까운 공공·어린이도서관 직선거리","m","reading","observation","기존","272","147","129","369","data_processed/education/library_access_preview.json",""
"academies_500m","직선 500m 안 학원·교습소 수","곳","academy","observation","기존","272","147","129","369","data_processed/education/academy_school_context.json",""
"academies_per_km2","학원 밀도(500m 반경)","곳/㎢","academy","observation","기존","272","147","129","369","data_processed/education/academy_clusters.json",""
"nightlife_500m","직선 500m 안 유흥·단란주점 관측 수","곳","safety","observation","기존","272","147","129","369","data_processed/context/facilities_nightlife.geojson","정상 영업·좌표 확보 인허가 기록의 하한 관측치. 미좌표 기록 제외; 현재 영업·실제 접근·위험 미확인."
"nightlife_nearest_m","가장 가까운 관측 유흥·단란주점 직선거리","m","safety","observation","기존","272","147","129","369","data_processed/context/facilities_nightlife.geojson","500m로 제한하지 않은 보유 정상 영업·좌표 확보 원장 기준. 미좌표 업소가 더 가까울 수 있으므로 실제 최근접 거리는 미확인."
"construction_500m","직선 500m 안 착공·사용승인 기록 수","건","safety","observation","기존","84","47","42","118","data_processed/context/facilities_construction.geojson","계양·미추홀·연수구만 수집. 사용승인 완료도 포함한 행정기록이며 현재 공사 위험이 아님. 좌표 미확보 제외한 하한 관측치."
