source_record_id,source_row,facility_type,facility_name,address,latitude,longitude,coordinate_status,match_reason,matched_address_key,coordinate_matching_record_count,coordinate_unique_point_count,coordinate_max_pairwise_distance_m,coordinate_source_record_ids,coordinate_source,coordinate_source_url,coordinate_source_as_of,source_url,source_as_of,retrieved_at,construction_status,construction_type,permit_date,start_date,approval_date,main_use,site_area_sqm,coordinate_limitations
15029299:3,3,건축행정기록,가설건축물,인천광역시 연수구 송도동 348,37.3510425405327,126.594812678513,estimated_from_exact_parcel_address,exact_parcel_address_match,인천광역시|연수구|송도동|False|348|0,1,1,0,MA010120220811492972,소상공인시장진흥공단 상가주소 위치 기반 추정(동일 지번 전체주소 정확일치),https://www.data.go.kr/data/15083033/fileData.do,2026-06-30,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,가설건축물축조허가,2026-01-08,2026-01-23,2026-02-03,가설건축물,255353.40,상가 주소 위치를 이용한 추정 위치; 공사 현장/측량 좌표 아님; 큰 필지 내 실제 공사 위치와 다를 수 있음
15029299:6,6,건축행정기록,업무시설,인천광역시 연수구 연수동 635-2,37.4101710528843,126.681378527958,estimated_from_exact_parcel_address,exact_parcel_address_match,인천광역시|연수구|연수동|False|635|2,1,1,0,MA010120220800929902,소상공인시장진흥공단 상가주소 위치 기반 추정(동일 지번 전체주소 정확일치),https://www.data.go.kr/data/15083033/fileData.do,2026-06-30,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,대수선,2025-09-11,2025-10-14,,업무시설,12278.30,상가 주소 위치를 이용한 추정 위치; 공사 현장/측량 좌표 아님; 큰 필지 내 실제 공사 위치와 다를 수 있음
15029299:21,21,건축행정기록,제1종근린생활시설,인천광역시 연수구 연수동 541-2,37.4212644331146,126.67874450351,estimated_from_exact_parcel_address,exact_parcel_address_match,인천광역시|연수구|연수동|False|541|2,1,1,0,MA0101202603A0005494,소상공인시장진흥공단 상가주소 위치 기반 추정(동일 지번 전체주소 정확일치),https://www.data.go.kr/data/15083033/fileData.do,2026-06-30,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,신축,2025-03-05,2025-06-04,,제1종근린생활시설,320.60,상가 주소 위치를 이용한 추정 위치; 공사 현장/측량 좌표 아님; 큰 필지 내 실제 공사 위치와 다를 수 있음
15029299:22,22,건축행정기록,제2종근린생활시설,인천광역시 연수구 옥련동 561-1,37.41762019488745,126.651823536432,estimated_from_exact_parcel_address,exact_parcel_address_match,인천광역시|연수구|옥련동|False|561|1,2,2,0.998,MA010120220810365761;MA0101202502A0054693,소상공인시장진흥공단 상가주소 위치 기반 추정(동일 지번 전체주소 정확일치),https://www.data.go.kr/data/15083033/fileData.do,2026-06-30,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,대수선,2025-02-26,2025-05-27,2025-08-13,제2종근린생활시설,520.20,상가 주소 위치를 이용한 추정 위치; 공사 현장/측량 좌표 아님; 큰 필지 내 실제 공사 위치와 다를 수 있음
15029299:28,28,건축행정기록,문화및집회시설,인천광역시 연수구 동춘동 809-1,37.4148481187146,126.655942498327,estimated_from_exact_parcel_address,exact_parcel_address_match,인천광역시|연수구|동춘동|False|809|1,1,1,0,MA010120220813431065,소상공인시장진흥공단 상가주소 위치 기반 추정(동일 지번 전체주소 정확일치),https://www.data.go.kr/data/15083033/fileData.do,2026-06-30,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,대수선,2024-11-21,2024-11-28,2025-03-10,문화및집회시설,1843.10,상가 주소 위치를 이용한 추정 위치; 공사 현장/측량 좌표 아님; 큰 필지 내 실제 공사 위치와 다를 수 있음
15029299:29,29,건축행정기록,제2종근린생활시설,인천광역시 연수구 동춘동 819-4,37.4147851434064,126.652892843891,estimated_from_exact_parcel_address,exact_parcel_address_match,인천광역시|연수구|동춘동|False|819|4,1,1,0,MA010120220802155026,소상공인시장진흥공단 상가주소 위치 기반 추정(동일 지번 전체주소 정확일치),https://www.data.go.kr/data/15083033/fileData.do,2026-06-30,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,증축,2024-11-15,2024-12-18,2025-05-20,제2종근린생활시설,949.50,상가 주소 위치를 이용한 추정 위치; 공사 현장/측량 좌표 아님; 큰 필지 내 실제 공사 위치와 다를 수 있음
15029299:35,35,건축행정기록,제2종근린생활시설,인천광역시 연수구 옥련동 564-7,37.41784440542,126.654539316912,estimated_from_exact_parcel_address,exact_parcel_address_match,인천광역시|연수구|옥련동|False|564|7,2,1,0,MA0101202502A0078663;MA0101202510A0018048,소상공인시장진흥공단 상가주소 위치 기반 추정(동일 지번 전체주소 정확일치),https://www.data.go.kr/data/15083033/fileData.do,2026-06-30,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,대수선,2024-07-08,2024-07-25,2024-11-22,제2종근린생활시설,696.20,상가 주소 위치를 이용한 추정 위치; 공사 현장/측량 좌표 아님; 큰 필지 내 실제 공사 위치와 다를 수 있음
15029299:38,38,건축행정기록,숙박시설,인천광역시 연수구 옥련동 539,37.4192867322957,126.6517085018,estimated_from_exact_parcel_address,exact_parcel_address_match,인천광역시|연수구|옥련동|False|539|0,2,1,0,MA010120220806748786;MA0101202601A0008361,소상공인시장진흥공단 상가주소 위치 기반 추정(동일 지번 전체주소 정확일치),https://www.data.go.kr/data/15083033/fileData.do,2026-06-30,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,대수선,2024-01-31,2024-04-02,,숙박시설,493.80,상가 주소 위치를 이용한 추정 위치; 공사 현장/측량 좌표 아님; 큰 필지 내 실제 공사 위치와 다를 수 있음
15029299:39,39,건축행정기록,자동차관련시설,인천광역시 연수구 연수동 594,37.4154546105429,126.679379314023,estimated_from_exact_parcel_address,exact_parcel_address_match,인천광역시|연수구|연수동|False|594|0,8,1,0,MA0101202310A0078049;MA0101202406A0432900;MA0101202406A0390483;MA0101202406A0354123;MA0101202505A0037604;MA0101202507A0003739;MA0101202601A0008392;MA0101202512A0038462,소상공인시장진흥공단 상가주소 위치 기반 추정(동일 지번 전체주소 정확일치),https://www.data.go.kr/data/15083033/fileData.do,2026-06-30,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,대수선,2024-01-15,2024-07-05,,자동차관련시설,4639.40,상가 주소 위치를 이용한 추정 위치; 공사 현장/측량 좌표 아님; 큰 필지 내 실제 공사 위치와 다를 수 있음
15029299:41,41,건축행정기록,판매시설,인천광역시 연수구 동춘동 926,37.4059963589047,126.683621277325,estimated_from_exact_parcel_address,exact_parcel_address_match,인천광역시|연수구|동춘동|False|926|0,234,1,0,MA0106202201A0624712;MA0106202201A0026491;MA0106202201A0521424;MA0106202201A1908649;MA0106202201A0117363;MA0106202201A0604904;MA0106202201A0313301;MA0106202201A0787671;MA0106202201A0337884;MA0106202201A0055733;MA0106202201A0521618;MA0106202201A1627586;MA0106202201A0604255;MA0106202201A0562583;MA0106202201A2011880;MA0106202201A0117406;MA0106202201A0035248;MA0106202201A0123359;MA0106202201A1742966;MA0106202201A0667204;MA0106202201A2214821;MA0106202201A0036888;MA0106202201A0522233;MA0106202201A0117450;MA0106202201A1642363;MA0106202201A0152131;MA0106202201A0035339;MA0106202201A0627037;MA0106202201A0624507;MA0106202201A0604560;MA0106202201A0521314;MA0106202201A0666420;MA0106202201A0665301;MA0106202201A0387629;MA0106202201A0135508;MA0106202201A1556470;MA0106202201A0144791;MA0106202201A0666873;MA0106202201A0237312;MA0106202201A0153996;MA0106202201A0047082;MA010120220802132838;MA010120220809727977;MA010120220805042018;MA010120220800856342;MA010120220813560585;MA010120220802159694;MA010120220807438627;MA010120220800699423;MA010120220811711024;MA010120220808907770;MA010120220800020697;MA010120220809992605;MA010120220806574004;MA010120220809763192;MA010120220802160138;MA010120220808436734;MA010120220805397839;MA010120220814177489;MA010120220802155305;MA010120220802932381;MA010120220809700499;MA010120220804982137;MA010120220808158388;MA010120220813856829;MA010120220808717653;MA010120220800734338;MA010120220806912869;MA010120220812601495;MA010120220806764041;MA010120220812736314;MA010120220812288875;MA010120220802102339;MA010120220808509525;MA010120220804770045;MA010120220800723890;MA010120220802160359;MA010120220803025470;MA010120220802140327;MA010120220805433021;MA010120220802008112;MA010120220802134583;MA010120220807039419;MA010120220806558025;MA010120220802132773;MA010120220802154923;MA010120220809724121;MA010120220800886554;MA010120220813125279;MA010120220802111253;MA010120220800945098;MA010120220812311943;MA010120220800645096;MA010120220803573725;MA010120220811081625;MA010120220802132748;MA010120220802533421;MA010120220802132422;MA010120220811224968;MA010120220802154959;MA010120220813591022;MA010120220808432124;MA010120220813117748;MA010120220808507312;MA010120220808692357;MA010120220809757200;MA010120220808608005;MA010120220810299985;MA010120220802154908;MA010120220809819751;MA010120220812070288;MA010120220802160135;MA010120220802132940;MA010120220812997294;MA010120220813985103;MA010120220805853781;MA010120220803357482;MA010120220802128275;MA010120220802132747;MA010120220804877949;MA010120220803876495;MA010120220802154943;MA010120220809150979;MA010120220812437144;MA010120220806667476;MA010120220806704834;MA010120220801924377;MA010120220803897987;MA010120220804848286;MA010120220813562508;MA010120220809947003;MA010120220803345295;MA010120220804962074;MA010120220804412390;MA010120220803126588;MA010120220801923837;MA010120220810129535;MA010120220804189422;MA010120220807058279;MA010120220814156655;MA010120220809996849;MA010120220813801142;MA010120220802136902;MA010120220803025398;MA010120220812461795;MA010120220811899207;MA010120220811198643;MA010120220805473898;MA010120220804976462;MA010120220802154906;MA010120220806910986;MA010120220811785656;MA010120220811475124;MA010120220803143596;MA010120220813608981;MA010120220802556498;MA010120220812910541;MA010120220808351861;MA010120220808453668;MA010120220813148266;MA010120220803204858;MA010120220802131142;MA010120220802920241;MA010120220802155127;MA010120220810057414;MA010120220813193663;MA0106202210A0145417;MA0101202209A0070338;MA0101202210A0067815;MA0106202209A0532420;MA0101202210A0019030;MA0106202209A0518614;MA0101202209A0029330;MA010120220814159898;MA0101202211A0080871;MA0101202211A0013296;MA0101202301A0099503;MA0101202211A0029751;MA0101202211A0062603;MA0101202301A0046656;MA0101202302A0082326;MA0106202301A2416624;MA0101202302A0107332;MA0101202305A0162464;MA0101202305A0204718;MA0101202305A0069060;MA0101202305A0164235;MA0101202309A0022963;MA0101202305A0086299;MA0101202309A0085660;MA0101202309A0051124;MA0101202311A0103409;MA0101202309A0033549;MA0101202309A0080222;MA0101202309A0092220;MA0106202309A0116640;MA0106202309A0036490;MA0106202312A0226388;MA0106202404A0047715;MA0106202404A0814926;MA0101202406A0035147;MA0101202406A0500916;MA0106202407A0642231;MA0106202408A0108601;MA0101202409A0224809;MA0106202409A2468698;MA0101202409A0006518;MA0106202409A0140868;MA0106202409A2314319;MA0101202410A0142386;MA0101202410A0142222;MA0101202410A0142740;MA0101202411A0080915;MA0101202411A0043299;MA0106202410A0769664;MA0101202502A0064893;MA0101202510A0026761;MA0101202506A0033773;MA0101202505A0046656;MA0106202507A0026844;MA0106202510A0573984;MA0101202509A0029702;MA0101202509A0023055;MA0101202507A0005627;MA0101202507A0012303;MA0106202509A2378893;MA0101202512A0044615;MA0106202603A0155550;MA0101202602A0011935;MA0101202512A0018465;MA0106202603A2101736;MA0106202605A2333539;MA0101202604A0056134;MA0106202604A0366017,소상공인시장진흥공단 상가주소 위치 기반 추정(동일 지번 전체주소 정확일치),https://www.data.go.kr/data/15083033/fileData.do,2026-06-30,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,대수선,2023-12-15,2024-01-10,2024-02-15,판매시설,48047.10,상가 주소 위치를 이용한 추정 위치; 공사 현장/측량 좌표 아님; 큰 필지 내 실제 공사 위치와 다를 수 있음
