source_record_id,source_row,facility_type,facility_name,address,latitude,longitude,coordinate_status,match_reason,matched_address_key,coordinate_matching_record_count,coordinate_unique_point_count,coordinate_max_pairwise_distance_m,coordinate_source_record_ids,coordinate_source,coordinate_source_url,coordinate_source_as_of,source_url,source_as_of,retrieved_at,construction_status,construction_type,permit_date,start_date,approval_date,main_use,site_area_sqm,coordinate_limitations
15038929:7,7,건축행정기록,제1종근린생활시설,인천광역시 계양구 계산동 1080-8,37.5358365,126.7378714,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 계양구 계산동 1080-8,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15038929/fileData.do,2026-01-19,2026-09-06,administrative_record_only_not_confirmed_active,대수선,2025-12-19,2025-12-22,2026-01-08,제1종근린생활시설,,"주소 기반 추정 위치, 공사현장 좌표 아님"
15038929:20,20,건축행정기록,종교시설,인천광역시 계양구 동양동 인천계양 테크노밸리 공공주택지구내 종교시설1,,,unresolved,address_not_parcel_or_road_notation,,0,0,,,kakao_local_api:unresolved,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15038929/fileData.do,2026-01-19,2026-09-06,administrative_record_only_not_confirmed_active,신축,2025-10-28,2025-12-12,,종교시설,,"주소 기반 추정 위치, 공사현장 좌표 아님"
15038929:22,22,건축행정기록,제1종근린생활시설,인천광역시 계양구 작전동 866-4,37.5296581,126.7232698,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 계양구 작전동 866-4,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15038929/fileData.do,2026-01-19,2026-09-06,administrative_record_only_not_confirmed_active,용도변경,2025-09-29,,2025-11-14,제1종근린생활시설,,"주소 기반 추정 위치, 공사현장 좌표 아님"
15038929:24,24,건축행정기록,제2종근린생활시설,인천광역시 계양구 계산동 1074-11,37.5363277,126.7346290,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 계양구 계산동 1074-11,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15038929/fileData.do,2026-01-19,2026-09-06,administrative_record_only_not_confirmed_active,대수선,2025-09-02,2025-10-21,,제2종근린생활시설,,"주소 기반 추정 위치, 공사현장 좌표 아님"
15038929:25,25,건축행정기록,종교시설,인천광역시 계양구 작전동 177,37.5271873,126.7301726,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 계양구 작전동 177,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15038929/fileData.do,2026-01-19,2026-09-06,administrative_record_only_not_confirmed_active,증축,2025-09-02,2025-10-15,,종교시설,,"주소 기반 추정 위치, 공사현장 좌표 아님"
15038929:26,26,건축행정기록,제1종근린생활시설,인천광역시 계양구 계산동 929-6,37.5437109,126.7253859,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 계양구 계산동 929-6,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15038929/fileData.do,2026-01-19,2026-09-06,administrative_record_only_not_confirmed_active,증축,2025-09-01,2025-12-09,,제1종근린생활시설,,"주소 기반 추정 위치, 공사현장 좌표 아님"
15038929:27,27,건축행정기록,제2종근린생활시설,인천광역시 계양구 오류동 152-1 외1필지,37.5872157,126.7233097,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 계양구 오류동 152-1,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15038929/fileData.do,2026-01-19,2026-09-06,administrative_record_only_not_confirmed_active,신축,2025-08-21,2025-09-11,,제2종근린생활시설,,"주소 기반 추정 위치, 공사현장 좌표 아님"
15038929:28,28,건축행정기록,제2종근린생활시설,인천광역시 계양구 오류동 137-6,37.5863247,126.7263503,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 계양구 오류동 137-6,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15038929/fileData.do,2026-01-19,2026-09-06,administrative_record_only_not_confirmed_active,증축,2025-08-20,2025-08-29,2025-12-19,제2종근린생활시설,,"주소 기반 추정 위치, 공사현장 좌표 아님"
15038929:29,29,건축행정기록,노유자시설,인천광역시 계양구 선주지동 121-6,37.5801733,126.7449392,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 계양구 선주지동 121-6,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15038929/fileData.do,2026-01-19,2026-09-06,administrative_record_only_not_confirmed_active,증축,2025-08-14,2025-09-19,2025-12-19,노유자시설,,"주소 기반 추정 위치, 공사현장 좌표 아님"
15038929:30,30,건축행정기록,종교시설,인천광역시 계양구 박촌동 19-3 외2필지,37.5563182,126.7442516,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 계양구 박촌동 19-3,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15038929/fileData.do,2026-01-19,2026-09-06,administrative_record_only_not_confirmed_active,증축,2025-08-01,2025-09-04,,종교시설,,"주소 기반 추정 위치, 공사현장 좌표 아님"
