source_record_id,source_row,facility_type,facility_name,address,latitude,longitude,coordinate_status,match_reason,matched_address_key,coordinate_matching_record_count,coordinate_unique_point_count,coordinate_max_pairwise_distance_m,coordinate_source_record_ids,coordinate_source,coordinate_source_url,coordinate_source_as_of,source_url,source_as_of,retrieved_at,construction_status,construction_type,permit_date,start_date,approval_date,main_use,site_area_sqm,coordinate_limitations
15029300:1,1,건축행정기록,단독주택,인천광역시 미추홀구 도화동 115-5,37.4700624,126.6670995,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 미추홀구 도화동 115-5,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029300/fileData.do,2025-09-25,2026-09-06,administrative_record_only_not_confirmed_active,증축,2025-08-11,2025-08-29,,단독주택,211,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029300:2,2,건축행정기록,단독주택,인천광역시 미추홀구 용현동 130-38,37.4563720,126.6588958,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 미추홀구 용현동 130-38,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029300/fileData.do,2025-09-25,2026-09-06,administrative_record_only_not_confirmed_active,증축,2025-08-04,2025-08-14,,단독주택,122,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029300:3,3,건축행정기록,제1종근린생활시설,인천광역시 미추홀구 용현동 39-13,37.4489290,126.6646363,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 미추홀구 용현동 39-13,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029300/fileData.do,2025-09-25,2026-09-06,administrative_record_only_not_confirmed_active,증축,2025-08-04,2025-08-19,2025-09-10,제1종근린생활시설,165.1,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029300:4,4,건축행정기록,제1종근린생활시설,인천광역시 미추홀구 숭의동 37-19,37.4631818,126.6559008,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 미추홀구 숭의동 37-19,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029300/fileData.do,2025-09-25,2026-09-06,administrative_record_only_not_confirmed_active,증축,2025-08-04,2025-08-19,2025-09-10,제1종근린생활시설,116,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029300:5,5,건축행정기록,단독주택,인천광역시 미추홀구 주안동 1569-26,37.4488147,126.6925155,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 미추홀구 주안동 1569-26,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029300/fileData.do,2025-09-25,2026-09-06,administrative_record_only_not_confirmed_active,증축,2025-07-24,2025-07-28,,단독주택,140.3,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029300:6,6,건축행정기록,단독주택,인천광역시 미추홀구 주안동 1417-26,37.4529590,126.6729730,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 미추홀구 주안동 1417-26,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029300/fileData.do,2025-09-25,2026-09-06,administrative_record_only_not_confirmed_active,대수선,2025-07-07,2025-07-30,,단독주택,90.9,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029300:7,7,건축행정기록,종교시설,인천광역시 미추홀구 도화동 도화구역 8블록 10로트,,,unresolved,address_not_parcel_or_road_notation,,0,0,,,kakao_local_api:unresolved,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029300/fileData.do,2025-09-25,2026-09-06,administrative_record_only_not_confirmed_active,증축,2025-06-20,2025-07-08,,종교시설,792.6,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029300:8,8,건축행정기록,제2종근린생활시설,인천광역시 미추홀구 주안동 24-4,37.4666743,126.6801262,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 미추홀구 주안동 24-4,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029300/fileData.do,2025-09-25,2026-09-06,administrative_record_only_not_confirmed_active,증축,2025-06-13,2025-07-01,,제2종근린생활시설,221.8,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029300:9,9,건축행정기록,의료시설,인천광역시 미추홀구 주안동 144-2 외2필지,37.4621449,126.6806360,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 미추홀구 주안동 144-2,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029300/fileData.do,2025-09-25,2026-09-06,administrative_record_only_not_confirmed_active,증축,2025-05-21,2025-05-26,2025-08-27,의료시설,3213.5,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029300:10,10,건축행정기록,제2종근린생활시설,인천광역시 미추홀구 주안동 170-4,37.4606408,126.6818212,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 미추홀구 주안동 170-4,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029300/fileData.do,2025-09-25,2026-09-06,administrative_record_only_not_confirmed_active,증축,2025-05-13,2025-05-23,2025-08-05,제2종근린생활시설,161.3,"주소 기반 추정 위치, 공사현장 좌표 아님"
