source_record_id,source_row,facility_type,facility_name,address,latitude,longitude,coordinate_status,match_reason,matched_address_key,coordinate_matching_record_count,coordinate_unique_point_count,coordinate_max_pairwise_distance_m,coordinate_source_record_ids,coordinate_source,coordinate_source_url,coordinate_source_as_of,source_url,source_as_of,retrieved_at,construction_status,construction_type,permit_date,start_date,approval_date,main_use,site_area_sqm,coordinate_limitations
15029299:1,1,건축행정기록,노유자시설,인천광역시 연수구 동춘동 786-2 외1필지,37.4135714,126.6586098,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 연수구 동춘동 786-2,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,증축,2026-01-20,2026-01-27,,노유자시설,1768.00,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029299:2,2,건축행정기록,단독주택,인천광역시 연수구 동춘동 동춘1도시개발사업구역 25 1,,,unresolved,address_not_parcel_or_road_notation,,0,0,,,kakao_local_api:unresolved,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,신축,2026-01-09,2026-03-09,,단독주택,339.20,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029299:4,4,건축행정기록,단독주택,인천광역시 연수구 동춘동 동춘1구역 16블럭 5로트,,,unresolved,address_not_parcel_or_road_notation,,0,0,,,kakao_local_api:unresolved,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,신축,2025-10-23,2025-10-30,,단독주택,250.00,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029299:5,5,건축행정기록,제2종근린생활시설,인천광역시 연수구 옥련동 580-11,37.4177328,126.6563478,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 연수구 옥련동 580-11,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,신축,2025-09-24,2025-12-29,,제2종근린생활시설,210.00,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029299:7,7,건축행정기록,단독주택,인천광역시 연수구 동춘동 동춘1도시개발사업구역 18블록 15로트,,,unresolved,address_not_parcel_or_road_notation,,0,0,,,kakao_local_api:unresolved,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,증축,2025-09-08,2025-09-11,2025-09-24,단독주택,321.00,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029299:8,8,건축행정기록,제2종근린생활시설,인천광역시 연수구 옥련동 339 외1필지,37.4257302,126.6555012,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 연수구 옥련동 339,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,신축,2025-09-08,2025-09-22,,제2종근린생활시설,503.00,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029299:9,9,건축행정기록,제2종근린생활시설,인천광역시 연수구 청학동 217-55,37.4285822,126.6712258,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 연수구 청학동 217-55,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,대수선,2025-08-27,2026-02-09,,제2종근린생활시설,4756.00,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029299:10,10,건축행정기록,단독주택,인천광역시 연수구 동춘동 동춘1구역 23 5,,,unresolved,address_not_parcel_or_road_notation,,0,0,,,kakao_local_api:unresolved,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,신축,2025-08-18,2025-09-05,,단독주택,270.80,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029299:11,11,건축행정기록,제2종근린생활시설,인천광역시 연수구 동춘동 820-14 외3필지,37.4155984,126.6549933,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 연수구 동춘동 820-14,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,증축,2025-08-13,2025-12-22,,제2종근린생활시설,840.40,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029299:12,12,건축행정기록,제2종근린생활시설,인천광역시 연수구 동춘동 동춘1구역 도시개발사업지구 12 6,,,unresolved,address_not_parcel_or_road_notation,,0,0,,,kakao_local_api:unresolved,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,신축,2025-08-01,2025-08-20,2026-01-09,제2종근린생활시설,343.30,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029299:13,13,건축행정기록,제1종근린생활시설,인천광역시 연수구 동춘동 698-7,37.3958947,126.6632014,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 연수구 동춘동 698-7,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,증축,2025-07-24,2025-09-16,,제1종근린생활시설,815.00,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029299:14,14,건축행정기록,단독주택,인천광역시 연수구 연수동 486-1,37.4264938,126.6794692,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 연수구 연수동 486-1,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,신축,2025-05-29,2025-07-04,2026-01-23,단독주택,231.50,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029299:15,15,건축행정기록,자동차관련시설,인천광역시 연수구 청학동 466-1,37.4185866,126.6768834,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 연수구 청학동 466-1,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,신축,2025-05-12,2025-12-22,,자동차관련시설,1721.40,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029299:16,16,건축행정기록,제2종근린생활시설,인천광역시 연수구 연수동 508-22 외2필지,37.4248458,126.6830676,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 연수구 연수동 508-22,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,대수선,2025-05-08,2025-06-13,2025-12-10,제2종근린생활시설,515.00,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029299:17,17,건축행정기록,제2종근린생활시설,인천광역시 연수구 옥련동 423-4 외2필지,37.4229865,126.6517948,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 연수구 옥련동 423-4,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,신축,2025-04-29,2025-10-28,,제2종근린생활시설,228.00,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029299:18,18,건축행정기록,제2종근린생활시설,인천광역시 연수구 옥련동 569-7,37.4173806,126.6534920,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 연수구 옥련동 569-7,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,신축,2025-04-28,2025-07-21,2025-12-04,제2종근린생활시설,597.40,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029299:19,19,건축행정기록,문화및집회시설,인천광역시 연수구 청학동 산 53-2 외3필지,37.4245201,126.6632158,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 연수구 청학동 산 53-2,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,신축,2025-04-24,2025-04-29,,문화및집회시설,13244.00,"주소 기반 추정 위치, 공사현장 좌표 아님"
15029299:20,20,건축행정기록,종교시설,인천광역시 연수구 동춘동 1114-1,37.4154649,126.6734995,geocoded_kakao_jibun,kakao_exact_jibun_address_match,인천 연수구 동춘동 1114-1,1,1,0.0,,kakao_local_api:address_jibun,https://dapi.kakao.com/v2/local/search/address.json,2026-09-06,https://www.data.go.kr/data/15029299/fileData.do,2026-03-09,2026-09-06,administrative_record_only_not_confirmed_active,증축,2025-04-14,2025-10-29,,종교시설,2753.00,"주소 기반 추정 위치, 공사현장 좌표 아님"
