school_name,school_level,designation_type,program_name,year,source_url,source_file,source_published_date,retrieved_at,financial_support_amount,verification_status,source_note
연화중학교,중학교,AI중점학교,유형1,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3359748,ice_ai_focus_2026.hwpx,2026-02-09,2026-09-06,,official_roster,
인천공항중학교,중학교,AI중점학교,유형1,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3359748,ice_ai_focus_2026.hwpx,2026-02-09,2026-09-06,,official_roster,
인천당하중학교,중학교,AI중점학교,유형1,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3359748,ice_ai_focus_2026.hwpx,2026-02-09,2026-09-06,,official_roster,
인천부흥고등학교,고등학교,AI중점학교,유형1,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3359748,ice_ai_focus_2026.hwpx,2026-02-09,2026-09-06,,official_roster,
작전고등학교,고등학교,AI중점학교,유형1,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3359748,ice_ai_focus_2026.hwpx,2026-02-09,2026-09-06,,official_roster,
제물포고등학교,고등학교,AI중점학교,유형1,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3359748,ice_ai_focus_2026.hwpx,2026-02-09,2026-09-06,,official_roster,
강화초등학교,초등학교,AI중점학교,유형2,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3359748,ice_ai_focus_2026.hwpx,2026-02-09,2026-09-06,,official_roster,
인천구산초등학교,초등학교,AI중점학교,유형2,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3359748,ice_ai_focus_2026.hwpx,2026-02-09,2026-09-06,,official_roster,
인천남촌초등학교,초등학교,AI중점학교,유형2,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3359748,ice_ai_focus_2026.hwpx,2026-02-09,2026-09-06,,official_roster,
인천당하초등학교,초등학교,AI중점학교,유형2,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3359748,ice_ai_focus_2026.hwpx,2026-02-09,2026-09-06,,official_roster,
인천도화초등학교,초등학교,AI중점학교,유형2,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3359748,ice_ai_focus_2026.hwpx,2026-02-09,2026-09-06,,official_roster,
인천동명초등학교,초등학교,AI중점학교,유형2,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3359748,ice_ai_focus_2026.hwpx,2026-02-09,2026-09-06,,official_roster,
인천동부초등학교,초등학교,AI중점학교,유형2,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3359748,ice_ai_focus_2026.hwpx,2026-02-09,2026-09-06,,official_roster,
인천동춘초등학교,초등학교,AI중점학교,유형2,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3359748,ice_ai_focus_2026.hwpx,2026-02-09,2026-09-06,,official_roster,
인천먼우금초등학교,초등학교,AI중점학교,유형2,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3359748,ice_ai_focus_2026.hwpx,2026-02-09,2026-09-06,,official_roster,
인천미산초등학교,초등학교,AI중점학교,유형2,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3359748,ice_ai_focus_2026.hwpx,2026-02-09,2026-09-06,,official_roster,
인천봉수초등학교,초등학교,AI중점학교,유형2,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3359748,ice_ai_focus_2026.hwpx,2026-02-09,2026-09-06,,official_roster,
인천석남서초등학교,초등학교,AI중점학교,유형2,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3359748,ice_ai_focus_2026.hwpx,2026-02-09,2026-09-06,,official_roster,
인천연송초등학교,초등학교,AI중점학교,유형2,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3359748,ice_ai_focus_2026.hwpx,2026-02-09,2026-09-06,,official_roster,
인천용학초등학교,초등학교,AI중점학교,유형2,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3359748,ice_ai_focus_2026.hwpx,2026-02-09,2026-09-06,,official_roster,
인천용현초등학교,초등학교,AI중점학교,유형2,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3359748,ice_ai_focus_2026.hwpx,2026-02-09,2026-09-06,,official_roster,
인천원당초등학교,초등학교,AI중점학교,유형2,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3359748,ice_ai_focus_2026.hwpx,2026-02-09,2026-09-06,,official_roster,
