school_name,school_level,designation_type,program_name,year,source_url,source_file,source_published_date,retrieved_at,financial_support_amount,verification_status,designation_start_date,designation_end_date,period_basis,note
인천가좌초등학교,초등학교,특색있는 교육과정 (2호),자율학교,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3304861&bbsId=610&mi=11841,ice_autonomous_school_2025_designation.hwpx,2024-11-28,2026-09-07,,official_roster,2025-03-01,2030-02-28,official_period,지정기간 2025.3.1. ~ 2030.2.28.(5년)
인천경연초등학교,초등학교,특색있는 교육과정 (2호),자율학교,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3304861&bbsId=610&mi=11841,ice_autonomous_school_2025_designation.hwpx,2024-11-28,2026-09-07,,official_roster,2025-03-01,2030-02-28,official_period,지정기간 2025.3.1. ~ 2030.2.28.(5년) · 재지정
인천공항초등학교,초등학교,특색있는 교육과정 (2호),자율학교,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3304861&bbsId=610&mi=11841,ice_autonomous_school_2025_designation.hwpx,2024-11-28,2026-09-07,,official_roster,2025-03-01,2030-02-28,official_period,지정기간 2025.3.1. ~ 2030.2.28.(5년)
인천구월초등학교,초등학교,특색있는 교육과정 (2호),자율학교,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3304861&bbsId=610&mi=11841,ice_autonomous_school_2025_designation.hwpx,2024-11-28,2026-09-07,,official_roster,2025-03-01,2030-02-28,official_period,지정기간 2025.3.1. ~ 2030.2.28.(5년) · 재지정
인천동막초등학교,초등학교,특색있는 교육과정 (2호),자율학교,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3304861&bbsId=610&mi=11841,ice_autonomous_school_2025_designation.hwpx,2024-11-28,2026-09-07,,official_roster,2025-03-01,2030-02-28,official_period,지정기간 2025.3.1. ~ 2030.2.28.(5년) · 재지정
인천만수초등학교,초등학교,특색있는 교육과정 (2호),자율학교,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3304861&bbsId=610&mi=11841,ice_autonomous_school_2025_designation.hwpx,2024-11-28,2026-09-07,,official_roster,2025-03-01,2030-02-28,official_period,지정기간 2025.3.1. ~ 2030.2.28.(5년)
인천미송초등학교,초등학교,특색있는 교육과정 (2호),자율학교,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3304861&bbsId=610&mi=11841,ice_autonomous_school_2025_designation.hwpx,2024-11-28,2026-09-07,,official_roster,2025-03-01,2030-02-28,official_period,지정기간 2025.3.1. ~ 2030.2.28.(5년) · 재지정
인천백석초등학교,초등학교,특색있는 교육과정 (2호),자율학교,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3304861&bbsId=610&mi=11841,ice_autonomous_school_2025_designation.hwpx,2024-11-28,2026-09-07,,official_roster,2025-03-01,2030-02-28,official_period,지정기간 2025.3.1. ~ 2030.2.28.(5년)
인천부곡초등학교,초등학교,특색있는 교육과정 (2호),자율학교,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3304861&bbsId=610&mi=11841,ice_autonomous_school_2025_designation.hwpx,2024-11-28,2026-09-07,,official_roster,2025-03-01,2030-02-28,official_period,지정기간 2025.3.1. ~ 2030.2.28.(5년) · 재지정
인천부내초등학교,초등학교,특색있는 교육과정 (2호),자율학교,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3304861&bbsId=610&mi=11841,ice_autonomous_school_2025_designation.hwpx,2024-11-28,2026-09-07,,official_roster,2025-03-01,2030-02-28,official_period,지정기간 2025.3.1. ~ 2030.2.28.(5년)
인천부원초등학교,초등학교,특색있는 교육과정 (2호),자율학교,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3304861&bbsId=610&mi=11841,ice_autonomous_school_2025_designation.hwpx,2024-11-28,2026-09-07,,official_roster,2025-03-01,2030-02-28,official_period,지정기간 2025.3.1. ~ 2030.2.28.(5년)
인천부평북초등학교,초등학교,특색있는 교육과정 (2호),자율학교,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3304861&bbsId=610&mi=11841,ice_autonomous_school_2025_designation.hwpx,2024-11-28,2026-09-07,,official_roster,2025-03-01,2030-02-28,official_period,지정기간 2025.3.1. ~ 2030.2.28.(5년)
인천부현동초등학교,초등학교,특색있는 교육과정 (2호),자율학교,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3304861&bbsId=610&mi=11841,ice_autonomous_school_2025_designation.hwpx,2024-11-28,2026-09-07,,official_roster,2025-03-01,2030-02-28,official_period,지정기간 2025.3.1. ~ 2030.2.28.(5년)
