school_name,school_level,designation_type,source_file,source_url,year,program_name,verification_status
인천가석초등학교,초등학교,선도학교,ice_digital_leading_2025.xlsx,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3311134,2025,디지털 기반 교육혁신,official_roster
인천간재울초등학교,초등학교,선도학교,ice_digital_leading_2025.xlsx,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3311134,2025,디지털 기반 교육혁신,official_roster
인천당산초등학교,초등학교,선도학교,ice_digital_leading_2025.xlsx,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3311134,2025,디지털 기반 교육혁신,official_roster
인천미산초등학교,초등학교,선도학교,ice_digital_leading_2025.xlsx,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3311134,2025,디지털 기반 교육혁신,official_roster
인천봉수초등학교,초등학교,선도학교,ice_digital_leading_2025.xlsx,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3311134,2025,디지털 기반 교육혁신,official_roster
인천부개서초등학교,초등학교,선도학교,ice_digital_leading_2025.xlsx,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3311134,2025,디지털 기반 교육혁신,official_roster
인천부내초등학교,초등학교,선도학교,ice_digital_leading_2025.xlsx,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3311134,2025,디지털 기반 교육혁신,official_roster
인천부평서초등학교,초등학교,선도학교,ice_digital_leading_2025.xlsx,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3311134,2025,디지털 기반 교육혁신,official_roster
인천상아초등학교,초등학교,선도학교,ice_digital_leading_2025.xlsx,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3311134,2025,디지털 기반 교육혁신,official_roster
인천서운초등학교,초등학교,선도학교,ice_digital_leading_2025.xlsx,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3311134,2025,디지털 기반 교육혁신,official_roster
인천석남초등학교,초등학교,선도학교,ice_digital_leading_2025.xlsx,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3311134,2025,디지털 기반 교육혁신,official_roster
인천소래초등학교,초등학교,선도학교,ice_digital_leading_2025.xlsx,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3311134,2025,디지털 기반 교육혁신,official_roster
인천송림초등학교,초등학교,선도학교,ice_digital_leading_2025.xlsx,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3311134,2025,디지털 기반 교육혁신,official_roster
인천신석초등학교,초등학교,선도학교,ice_digital_leading_2025.xlsx,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3311134,2025,디지털 기반 교육혁신,official_roster
인천심곡초등학교,초등학교,선도학교,ice_digital_leading_2025.xlsx,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3311134,2025,디지털 기반 교육혁신,official_roster
인천청호초등학교,초등학교,선도학교,ice_digital_leading_2025.xlsx,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3311134,2025,디지털 기반 교육혁신,official_roster
인천초은초등학교,초등학교,선도학교,ice_digital_leading_2025.xlsx,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3311134,2025,디지털 기반 교육혁신,official_roster
인천해송초등학교,초등학교,선도학교,ice_digital_leading_2025.xlsx,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3311134,2025,디지털 기반 교육혁신,official_roster
인천후정초등학교,초등학교,선도학교,ice_digital_leading_2025.xlsx,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3311134,2025,디지털 기반 교육혁신,official_roster
하점초등학교,초등학교,선도학교,ice_digital_leading_2025.xlsx,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3311134,2025,디지털 기반 교육혁신,official_roster
인천이음초등학교,초등학교,선도학교,ice_digital_leading_2025.xlsx,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3311134,2025,디지털 기반 교육혁신,official_roster
인천석정초등학교,초등학교,선도학교,ice_digital_leading_2025.xlsx,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3311134,2025,디지털 기반 교육혁신,official_roster
선화여자중학교,중학교,선도학교,ice_digital_leading_2025.xlsx,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3311134,2025,디지털 기반 교육혁신,official_roster
영종중학교,중학교,선도학교,ice_digital_leading_2025.xlsx,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3311134,2025,디지털 기반 교육혁신,official_roster
인천예송중학교,중학교,선도학교,ice_digital_leading_2025.xlsx,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3311134,2025,디지털 기반 교육혁신,official_roster
인천운서중학교,중학교,선도학교,ice_digital_leading_2025.xlsx,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3311134,2025,디지털 기반 교육혁신,official_roster
인천초은중학교,중학교,선도학교,ice_digital_leading_2025.xlsx,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3311134,2025,디지털 기반 교육혁신,official_roster
인하대학교사범대학부속중학교,중학교,선도학교,ice_digital_leading_2025.xlsx,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3311134,2025,디지털 기반 교육혁신,official_roster
제물포중학교,중학교,선도학교,ice_digital_leading_2025.xlsx,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3311134,2025,디지털 기반 교육혁신,official_roster
청천중학교,중학교,선도학교,ice_digital_leading_2025.xlsx,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3311134,2025,디지털 기반 교육혁신,official_roster
강남영상미디어고등학교,고등학교,선도학교,ice_digital_leading_2025.xlsx,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3311134,2025,디지털 기반 교육혁신,official_roster
대인고등학교,고등학교,선도학교,ice_digital_leading_2025.xlsx,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3311134,2025,디지털 기반 교육혁신,official_roster
숭덕여자고등학교,고등학교,선도학교,ice_digital_leading_2025.xlsx,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3311134,2025,디지털 기반 교육혁신,official_roster
연수여자고등학교,고등학교,선도학교,ice_digital_leading_2025.xlsx,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3311134,2025,디지털 기반 교육혁신,official_roster
인천뷰티예술고등학교,고등학교,선도학교,ice_digital_leading_2025.xlsx,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3311134,2025,디지털 기반 교육혁신,official_roster
인천비즈니스고등학교,고등학교,선도학교,ice_digital_leading_2025.xlsx,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3311134,2025,디지털 기반 교육혁신,official_roster
인천상정고등학교,고등학교,선도학교,ice_digital_leading_2025.xlsx,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3311134,2025,디지털 기반 교육혁신,official_roster
인천재능고등학교,고등학교,선도학교,ice_digital_leading_2025.xlsx,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3311134,2025,디지털 기반 교육혁신,official_roster
인천청라고등학교,고등학교,선도학교,ice_digital_leading_2025.xlsx,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3311134,2025,디지털 기반 교육혁신,official_roster
인평자동차고등학교,고등학교,선도학교,ice_digital_leading_2025.xlsx,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3311134,2025,디지털 기반 교육혁신,official_roster
인하대학교사범대학부속고등학교,고등학교,선도학교,ice_digital_leading_2025.xlsx,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3311134,2025,디지털 기반 교육혁신,official_roster
인천연송고등학교,고등학교,선도학교,ice_digital_leading_2025.xlsx,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?mi=11785&nttSn=3311134,2025,디지털 기반 교육혁신,official_roster
