school_name,school_level,designation_type,program_name,year,source_url,source_file,source_published_date,retrieved_at,financial_support_amount,verification_status
인천남부초등학교,초등학교,사업학교,교육복지우선지원사업,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3319291&bbsId=788&mi=11841,ice_edu_welfare_2025_school_list.xlsx,2025-03-06,2026-09-06,"5,480,000원 (2025.3~2026.2 지원액 계, 원문 명시)",official_roster
인천대화초등학교,초등학교,사업학교,교육복지우선지원사업,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3319291&bbsId=788&mi=11841,ice_edu_welfare_2025_school_list.xlsx,2025-03-06,2026-09-06,"5,660,000원 (2025.3~2026.2 지원액 계, 원문 명시)",official_roster
인천도화초등학교,초등학교,사업학교,교육복지우선지원사업,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3319291&bbsId=788&mi=11841,ice_edu_welfare_2025_school_list.xlsx,2025-03-06,2026-09-06,"8,210,000원 (2025.3~2026.2 지원액 계, 원문 명시)",official_roster
인천문학초등학교,초등학교,사업학교,교육복지우선지원사업,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3319291&bbsId=788&mi=11841,ice_edu_welfare_2025_school_list.xlsx,2025-03-06,2026-09-06,"6,680,000원 (2025.3~2026.2 지원액 계, 원문 명시)",official_roster
인천백학초등학교,초등학교,사업학교,교육복지우선지원사업,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3319291&bbsId=788&mi=11841,ice_edu_welfare_2025_school_list.xlsx,2025-03-06,2026-09-06,"3,980,000원 (2025.3~2026.2 지원액 계, 원문 명시)",official_roster
인천서흥초등학교,초등학교,사업학교,교육복지우선지원사업,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3319291&bbsId=788&mi=11841,ice_edu_welfare_2025_school_list.xlsx,2025-03-06,2026-09-06,"3,380,000원 (2025.3~2026.2 지원액 계, 원문 명시)",official_roster
인천석암초등학교,초등학교,사업학교,교육복지우선지원사업,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3319291&bbsId=788&mi=11841,ice_edu_welfare_2025_school_list.xlsx,2025-03-06,2026-09-06,"6,950,000원 (2025.3~2026.2 지원액 계, 원문 명시)",official_roster
인천숭의초등학교,초등학교,사업학교,교육복지우선지원사업,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3319291&bbsId=788&mi=11841,ice_edu_welfare_2025_school_list.xlsx,2025-03-06,2026-09-06,"10,700,000원 (2025.3~2026.2 지원액 계, 원문 명시)",official_roster
인천신광초등학교,초등학교,사업학교,교육복지우선지원사업,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3319291&bbsId=788&mi=11841,ice_edu_welfare_2025_school_list.xlsx,2025-03-06,2026-09-06,"6,260,000원 (2025.3~2026.2 지원액 계, 원문 명시)",official_roster
인천신흥초등학교,초등학교,사업학교,교육복지우선지원사업,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3319291&bbsId=788&mi=11841,ice_edu_welfare_2025_school_list.xlsx,2025-03-06,2026-09-06,"4,250,000원 (2025.3~2026.2 지원액 계, 원문 명시)",official_roster
인천영종초등학교,초등학교,사업학교,교육복지우선지원사업,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3319291&bbsId=788&mi=11841,ice_edu_welfare_2025_school_list.xlsx,2025-03-06,2026-09-06,"4,820,000원 (2025.3~2026.2 지원액 계, 원문 명시)",official_roster
