school_name,school_level,designation_type,program_name,year,source_url,source_file,source_published_date,retrieved_at,financial_support_amount,verification_status,designation_start_date,designation_end_date,period_basis,note
인천길주초등학교,초등학교,교실형 미래교실,미래교실 구축 지원,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3320373&bbsId=841&mi=11841,ice_future_classroom_2025.hwpx,2025-03-14,2026-09-07,,official_roster,,,,"주제: 꿈과 놀이, 쉼이 있는 미래교실"
인천양촌초등학교,초등학교,교실형 미래교실,미래교실 구축 지원,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3320373&bbsId=841&mi=11841,ice_future_classroom_2025.hwpx,2025-03-14,2026-09-07,,official_roster,,,,주제: 배움․ 꿈․ 나눔이 있는 미래교실
인천동수초등학교,초등학교,교실형 미래교실,미래교실 구축 지원,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3320373&bbsId=841&mi=11841,ice_future_classroom_2025.hwpx,2025-03-14,2026-09-07,,official_roster,,,,주제: 아름다운 소리와 몸짓이 어우러지는 어울림누리
인천작동초등학교,초등학교,교실형 미래교실,미래교실 구축 지원,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3320373&bbsId=841&mi=11841,ice_future_classroom_2025.hwpx,2025-03-14,2026-09-07,,official_roster,,,,주제: 디지털 미래교실
인천석정초등학교,초등학교,교실형 미래교실,미래교실 구축 지원,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3320373&bbsId=841&mi=11841,ice_future_classroom_2025.hwpx,2025-03-14,2026-09-07,,official_roster,,,,주제: 미래를 품은 책의 숲-꿈을이루는행복한도서관
인천송도초등학교,초등학교,교실형 미래교실,미래교실 구축 지원,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3320373&bbsId=841&mi=11841,ice_future_classroom_2025.hwpx,2025-03-14,2026-09-07,,official_roster,,,,주제: 미래교실 만들기
인천검암초등학교,초등학교,교실형 미래교실,미래교실 구축 지원,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3320373&bbsId=841&mi=11841,ice_future_classroom_2025.hwpx,2025-03-14,2026-09-07,,official_roster,,,,주제: 놀며 배우며 미래를 키우는 교실
인천심곡초등학교,초등학교,교실형 미래교실,미래교실 구축 지원,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3320373&bbsId=841&mi=11841,ice_future_classroom_2025.hwpx,2025-03-14,2026-09-07,,official_roster,,,,"주제: 학습, 놀이, 쉽이 어우러지는 교실"
인천왕길초등학교,초등학교,교실형 미래교실,미래교실 구축 지원,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3320373&bbsId=841&mi=11841,ice_future_classroom_2025.hwpx,2025-03-14,2026-09-07,,official_roster,,,,주제: 결대로 꾸미는 미래교실
인천청람초등학교,초등학교,교실형 미래교실,미래교실 구축 지원,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3320373&bbsId=841&mi=11841,ice_future_classroom_2025.hwpx,2025-03-14,2026-09-07,,official_roster,,,,주제: 청람 SMART 미래교실
백령초등학교,초등학교,도서지역 교실형 미래교실,미래교실 구축 지원,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3320373&bbsId=841&mi=11841,ice_future_classroom_2025.hwpx,2025-03-14,2026-09-07,,official_roster,,,,주제: 배우고 놀고 꿈꾸는 미래교실
북포초등학교,초등학교,도서지역 교실형 미래교실,미래교실 구축 지원,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3320373&bbsId=841&mi=11841,ice_future_classroom_2025.hwpx,2025-03-14,2026-09-07,,official_roster,,,,"주제: 쉼과 놀이, 저학년을 위한 미래교실"
하점초등학교,초등학교,도서지역 교실형 미래교실,미래교실 구축 지원,2025,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3320373&bbsId=841&mi=11841,ice_future_classroom_2025.hwpx,2025-03-14,2026-09-07,,official_roster,,,,주제: 첨단기술과 창의적 공간의 융합:하점초 꿈의 교실
