school_name,school_level,designation_type,program_name,year,source_url,source_file,source_published_date,retrieved_at,financial_support_amount,verification_status
인천바이오과학고등학교,고등학교,다문화교육 연구학교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
인천문남초등학교,초등학교,다문화교육 연구학교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
인천함박초등학교,초등학교,다문화교육 연구학교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
인천남촌초등학교,초등학교,다문화교육 연구학교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
인천가현중학교,중학교,다문화교육 연구학교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
인천부평동초등학교병설유치원,유치원,다문화교육 한국어학급 운영교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
인천축현초등학교병설유치원,유치원,다문화교육 한국어학급 운영교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
인천금곡초등학교병설유치원,유치원,다문화교육 한국어학급 운영교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
인천완정초등학교병설유치원,유치원,다문화교육 한국어학급 운영교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
인천도화초등학교,초등학교,다문화교육 한국어학급 운영교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
인천삼목초등학교,초등학교,다문화교육 한국어학급 운영교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
인천석암초등학교,초등학교,다문화교육 한국어학급 운영교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
인천신흥초등학교,초등학교,다문화교육 한국어학급 운영교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
인천영종초등학교,초등학교,다문화교육 한국어학급 운영교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
인천용일초등학교,초등학교,다문화교육 한국어학급 운영교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
인천용현초등학교,초등학교,다문화교육 한국어학급 운영교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
인천운서초등학교,초등학교,다문화교육 한국어학급 운영교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
인천주안북초등학교,초등학교,다문화교육 한국어학급 운영교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
인천부개서초등학교,초등학교,다문화교육 한국어학급 운영교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
인천부평남초등학교,초등학교,다문화교육 한국어학급 운영교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
인천부평동초등학교,초등학교,다문화교육 한국어학급 운영교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
인천부흥초등학교,초등학교,다문화교육 한국어학급 운영교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
인천십정초등학교,초등학교,다문화교육 한국어학급 운영교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
인천청천초등학교,초등학교,다문화교육 한국어학급 운영교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
인천남촌초등학교,초등학교,다문화교육 한국어학급 운영교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
인천논곡초등학교,초등학교,다문화교육 한국어학급 운영교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
인천능허대초등학교,초등학교,다문화교육 한국어학급 운영교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
인천문남초등학교,초등학교,다문화교육 한국어학급 운영교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
인천선학초등학교,초등학교,다문화교육 한국어학급 운영교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
인천송도초등학교,초등학교,다문화교육 한국어학급 운영교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
인천약산초등학교,초등학교,다문화교육 한국어학급 운영교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
인천연화초등학교,초등학교,다문화교육 한국어학급 운영교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
인천옥련초등학교,초등학교,다문화교육 한국어학급 운영교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
인천주원초등학교,초등학교,다문화교육 한국어학급 운영교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
인천청학초등학교,초등학교,다문화교육 한국어학급 운영교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
인천축현초등학교,초등학교,다문화교육 한국어학급 운영교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
인천함박초등학교,초등학교,다문화교육 한국어학급 운영교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
인천검단초등학교,초등학교,다문화교육 한국어학급 운영교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
인천금곡초등학교,초등학교,다문화교육 한국어학급 운영교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
인천당하초등학교,초등학교,다문화교육 한국어학급 운영교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
인천봉화초등학교,초등학교,다문화교육 한국어학급 운영교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
인천석남서초등학교,초등학교,다문화교육 한국어학급 운영교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
인천석남초등학교,초등학교,다문화교육 한국어학급 운영교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
인천신현북초등학교,초등학교,다문화교육 한국어학급 운영교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
인천신현초등학교,초등학교,다문화교육 한국어학급 운영교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
인천왕길초등학교,초등학교,다문화교육 한국어학급 운영교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
인천천마초등학교,초등학교,다문화교육 한국어학급 운영교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
논곡중학교,중학교,다문화교육 한국어학급 운영교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
선학중학교,중학교,다문화교육 한국어학급 운영교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
연수중학교,중학교,다문화교육 한국어학급 운영교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
옥련중학교,중학교,다문화교육 한국어학급 운영교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
인천중학교,중학교,다문화교육 한국어학급 운영교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
청학중학교,중학교,다문화교육 한국어학급 운영교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
함박중학교,중학교,다문화교육 한국어학급 운영교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
검단중학교,중학교,다문화교육 한국어학급 운영교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
마전중학교,중학교,다문화교육 한국어학급 운영교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
인천석남중학교,중학교,다문화교육 한국어학급 운영교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
문학정보고등학교,고등학교,다문화교육 한국어학급 운영교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
옥련여자고등학교,고등학교,다문화교육 한국어학급 운영교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
인천바이오과학고등학교,고등학교,다문화교육 한국어학급 운영교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
인천해양과학고등학교,고등학교,다문화교육 한국어학급 운영교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
세계로국제중고등학교,각종·기타,다문화교육 한국어학급 운영교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
상아유치원,유치원,다문화교육 선도학교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
인천경서초등학교병설유치원,유치원,다문화교육 선도학교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
인천금곡초등학교병설유치원,유치원,다문화교육 선도학교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
인천신석초등학교병설유치원,유치원,다문화교육 선도학교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
인천완정초등학교병설유치원,유치원,다문화교육 선도학교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
인천왕길초등학교병설유치원,유치원,다문화교육 선도학교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
인천송월초등학교,초등학교,다문화교육 선도학교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
인천영종초등학교,초등학교,다문화교육 선도학교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
인천학산초등학교,초등학교,다문화교육 선도학교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
인천동암초등학교,초등학교,다문화교육 선도학교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
인천부흥초등학교,초등학교,다문화교육 선도학교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
인천십정초등학교,초등학교,다문화교육 선도학교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
상인천초등학교,초등학교,다문화교육 선도학교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
인천남촌초등학교,초등학교,다문화교육 선도학교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
인천능허대초등학교,초등학교,다문화교육 선도학교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
인천문남초등학교,초등학교,다문화교육 선도학교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
인천송도초등학교,초등학교,다문화교육 선도학교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
인천약산초등학교,초등학교,다문화교육 선도학교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
인천옥련초등학교,초등학교,다문화교육 선도학교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
인천주원초등학교,초등학교,다문화교육 선도학교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
인천청학초등학교,초등학교,다문화교육 선도학교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
인천함박초등학교,초등학교,다문화교육 선도학교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
인천금곡초등학교,초등학교,다문화교육 선도학교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
인천능내초등학교,초등학교,다문화교육 선도학교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
광성중학교,중학교,다문화교육 선도학교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
부평여자중학교,중학교,다문화교육 선도학교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
부흥중학교,중학교,다문화교육 선도학교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
인천양촌중학교,중학교,다문화교육 선도학교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
석정중학교,중학교,다문화교육 선도학교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
선학중학교,중학교,다문화교육 선도학교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
연수중학교,중학교,다문화교육 선도학교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
옥련중학교,중학교,다문화교육 선도학교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
청학중학교,중학교,다문화교육 선도학교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
함박중학교,중학교,다문화교육 선도학교,다문화교육,2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3369492&bbsId=720&mi=11841,ice_multicultural_2026_research_korean_leading_schools.hwpx,2026-04-27,2026-09-06,,official_roster
