school_name,school_level,designation_type,program_name,year,source_url,source_file,source_published_date,retrieved_at,financial_support_amount,verification_status,designation_start_date,designation_end_date,period_basis,note
인천학익초등학교,초등학교,사업 대상교,공간재구조화(그린스마트 미래학교),2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3367588&bbsId=840&mi=11841,ice_space_restructure_2026.hwpx,2026-04-10,2026-09-07,,official_roster,2021-01-01,,selection_year_only,"2021년 선정 · 서관동 · 준공 1971 · 재건축 연면적 2,988㎡ · 개축완료"
인천동암초등학교,초등학교,사업 대상교,공간재구조화(그린스마트 미래학교),2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3367588&bbsId=840&mi=11841,ice_space_restructure_2026.hwpx,2026-04-10,2026-09-07,,official_roster,2021-01-01,,selection_year_only,"2021년 선정 · 교사2동 · 준공 1969 · 재건축 연면적 2,896㎡ · 개축완료"
인천동암초등학교,초등학교,사업 대상교,공간재구조화(그린스마트 미래학교),2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3367588&bbsId=840&mi=11841,ice_space_restructure_2026.hwpx,2026-04-10,2026-09-07,,official_roster,2021-01-01,,selection_year_only,"2021년 선정 · 교사3동 · 준공 1980 · 재건축 연면적 2,896㎡ · 개축완료"
인천부평초등학교,초등학교,사업 대상교,공간재구조화(그린스마트 미래학교),2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3367588&bbsId=840&mi=11841,ice_space_restructure_2026.hwpx,2026-04-10,2026-09-07,,official_roster,2021-01-01,,selection_year_only,"2021년 선정 · 교사1동 · 준공 1973 · 재건축 연면적 6,326㎡ · 리모델링완료"
인천부평초등학교,초등학교,사업 대상교,공간재구조화(그린스마트 미래학교),2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3367588&bbsId=840&mi=11841,ice_space_restructure_2026.hwpx,2026-04-10,2026-09-07,,official_roster,2021-01-01,,selection_year_only,"2021년 선정 · 교사2동 · 준공 1980 · 재건축 연면적 6,326㎡ · 리모델링완료"
인천부평서초등학교,초등학교,사업 대상교,공간재구조화(그린스마트 미래학교),2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3367588&bbsId=840&mi=11841,ice_space_restructure_2026.hwpx,2026-04-10,2026-09-07,,official_roster,2021-01-01,,selection_year_only,"2021년 선정 · 교사1동 · 준공 1968 · 재건축 연면적 5,149㎡ · 개축완료"
상인천초등학교,초등학교,사업 대상교,공간재구조화(그린스마트 미래학교),2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3367588&bbsId=840&mi=11841,ice_space_restructure_2026.hwpx,2026-04-10,2026-09-07,,official_roster,2021-01-01,,selection_year_only,"2021년 선정 · 교사1호 · 준공 1975 · 재건축 연면적 5,207㎡ · 개축완료"
상인천초등학교,초등학교,사업 대상교,공간재구조화(그린스마트 미래학교),2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3367588&bbsId=840&mi=11841,ice_space_restructure_2026.hwpx,2026-04-10,2026-09-07,,official_roster,2021-01-01,,selection_year_only,"2021년 선정 · 교사2호 · 준공 1975 · 재건축 연면적 5,207㎡ · 개축완료"
인천석남초등학교,초등학교,사업 대상교,공간재구조화(그린스마트 미래학교),2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3367588&bbsId=840&mi=11841,ice_space_restructure_2026.hwpx,2026-04-10,2026-09-07,,official_roster,2021-01-01,,selection_year_only,"2021년 선정 · 교사2동 · 준공 1971 · 재건축 연면적 2,770㎡ · 개축완료"
인천석남초등학교,초등학교,사업 대상교,공간재구조화(그린스마트 미래학교),2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3367588&bbsId=840&mi=11841,ice_space_restructure_2026.hwpx,2026-04-10,2026-09-07,,official_roster,2021-01-01,,selection_year_only,"2021년 선정 · 교사3동 · 준공 1979 · 재건축 연면적 2,770㎡ · 개축완료"
인천서곶초등학교,초등학교,사업 대상교,공간재구조화(그린스마트 미래학교),2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3367588&bbsId=840&mi=11841,ice_space_restructure_2026.hwpx,2026-04-10,2026-09-07,,official_roster,2021-01-01,,selection_year_only,"2021년 선정 · 교사2동 · 준공 1976 · 재건축 연면적 1,213㎡ · 개축완료"
인천남부초등학교,초등학교,사업 대상교,공간재구조화(그린스마트 미래학교),2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3367588&bbsId=840&mi=11841,ice_space_restructure_2026.hwpx,2026-04-10,2026-09-07,,official_roster,2022-01-01,,selection_year_only,"2022년 선정 · 교사1동 · 준공 1978 · 재건축 연면적 4,068㎡"
인천서흥초등학교,초등학교,사업 대상교,공간재구조화(그린스마트 미래학교),2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3367588&bbsId=840&mi=11841,ice_space_restructure_2026.hwpx,2026-04-10,2026-09-07,,official_roster,2022-01-01,,selection_year_only,"2022년 선정 · 교사2동 · 준공 1969 · 재건축 연면적 2,595㎡ · 개축완료"
인천부평북초등학교,초등학교,사업 대상교,공간재구조화(그린스마트 미래학교),2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3367588&bbsId=840&mi=11841,ice_space_restructure_2026.hwpx,2026-04-10,2026-09-07,,official_roster,2022-01-01,,selection_year_only,"2022년 선정 · 교사1동 · 준공 1968 · 재건축 연면적 5,074㎡ · 개축완료"
인천부평북초등학교,초등학교,사업 대상교,공간재구조화(그린스마트 미래학교),2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3367588&bbsId=840&mi=11841,ice_space_restructure_2026.hwpx,2026-04-10,2026-09-07,,official_roster,2022-01-01,,selection_year_only,"2022년 선정 · 교사2동 · 준공 1972 · 재건축 연면적 5,074㎡ · 개축완료"
인천동춘초등학교,초등학교,사업 대상교,공간재구조화(그린스마트 미래학교),2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3367588&bbsId=840&mi=11841,ice_space_restructure_2026.hwpx,2026-04-10,2026-09-07,,official_roster,2022-01-01,,selection_year_only,"2022년 선정 · 교사B동 · 준공 1971 · 재건축 연면적 1,687㎡ · 개축완료"
선원초등학교,초등학교,사업 대상교,공간재구조화(그린스마트 미래학교),2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3367588&bbsId=840&mi=11841,ice_space_restructure_2026.hwpx,2026-04-10,2026-09-07,,official_roster,2022-01-01,,selection_year_only,"2022년 선정 · 교사1동 · 준공 1972 · 재건축 연면적 2,222㎡ · 개축완료"
선원초등학교,초등학교,사업 대상교,공간재구조화(그린스마트 미래학교),2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3367588&bbsId=840&mi=11841,ice_space_restructure_2026.hwpx,2026-04-10,2026-09-07,,official_roster,2022-01-01,,selection_year_only,"2022년 선정 · 교사6동 · 준공 1972 · 재건축 연면적 2,222㎡ · 개축완료"
선원초등학교,초등학교,사업 대상교,공간재구조화(그린스마트 미래학교),2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3367588&bbsId=840&mi=11841,ice_space_restructure_2026.hwpx,2026-04-10,2026-09-07,,official_roster,2022-01-01,,selection_year_only,"2022년 선정 · 교사7동 · 준공 1972 · 재건축 연면적 2,222㎡ · 개축완료"
인천도화초등학교,초등학교,사업 대상교,공간재구조화(그린스마트 미래학교),2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3367588&bbsId=840&mi=11841,ice_space_restructure_2026.hwpx,2026-04-10,2026-09-07,,official_roster,2023-01-01,,selection_year_only,"2023년 선정 · 교사동3 · 준공 1980 · 재건축 연면적 2,800㎡"
인천도화초등학교,초등학교,사업 대상교,공간재구조화(그린스마트 미래학교),2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3367588&bbsId=840&mi=11841,ice_space_restructure_2026.hwpx,2026-04-10,2026-09-07,,official_roster,2023-01-01,,selection_year_only,"2023년 선정 · 교사동2 · 준공 1979 · 재건축 연면적 2,800㎡"
인천숭의초등학교,초등학교,사업 대상교,공간재구조화(그린스마트 미래학교),2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3367588&bbsId=840&mi=11841,ice_space_restructure_2026.hwpx,2026-04-10,2026-09-07,,official_roster,2023-01-01,,selection_year_only,"2023년 선정 · 교사3동 · 준공 1967 · 재건축 연면적 2,155㎡"
인천신광초등학교,초등학교,사업 대상교,공간재구조화(그린스마트 미래학교),2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3367588&bbsId=840&mi=11841,ice_space_restructure_2026.hwpx,2026-04-10,2026-09-07,,official_roster,2023-01-01,,selection_year_only,"2023년 선정 · 교사2동 · 준공 1968 · 재건축 연면적 2,472㎡"
인천부평동초등학교,초등학교,사업 대상교,공간재구조화(그린스마트 미래학교),2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3367588&bbsId=840&mi=11841,ice_space_restructure_2026.hwpx,2026-04-10,2026-09-07,,official_roster,2023-01-01,,selection_year_only,"2023년 선정 · 교사1동 · 준공 1969 · 재건축 연면적 4,266㎡"
인천신흥초등학교,초등학교,사업 대상교,공간재구조화(그린스마트 미래학교),2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3367588&bbsId=840&mi=11841,ice_space_restructure_2026.hwpx,2026-04-10,2026-09-07,,official_roster,2024-01-01,,selection_year_only,"2024년 선정 · 교사동2 · 준공 1969 · 재건축 연면적 1,109㎡"
영흥초등학교,초등학교,사업 대상교,공간재구조화(그린스마트 미래학교),2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3367588&bbsId=840&mi=11841,ice_space_restructure_2026.hwpx,2026-04-10,2026-09-07,,official_roster,2024-01-01,,selection_year_only,2024년 선정 · 교사2동 · 준공 1972 · 재건축 연면적 810㎡
인천석암초등학교,초등학교,사업 대상교,공간재구조화(그린스마트 미래학교),2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3367588&bbsId=840&mi=11841,ice_space_restructure_2026.hwpx,2026-04-10,2026-09-07,,official_roster,2024-01-01,,selection_year_only,"2024년 선정 · 교사2동 · 준공 1976 · 재건축 연면적 3,283㎡"
인천용일초등학교,초등학교,사업 대상교,공간재구조화(그린스마트 미래학교),2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3367588&bbsId=840&mi=11841,ice_space_restructure_2026.hwpx,2026-04-10,2026-09-07,,official_roster,2024-01-01,,selection_year_only,2024년 선정 · 교사2동 · 준공 1967 · 재건축 연면적 995㎡
인천용일초등학교,초등학교,사업 대상교,공간재구조화(그린스마트 미래학교),2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3367588&bbsId=840&mi=11841,ice_space_restructure_2026.hwpx,2026-04-10,2026-09-07,,official_roster,2024-01-01,,selection_year_only,"2024년 선정 · 교사3동 · 준공 1969 · 재건축 연면적 2,789㎡"
인천용일초등학교,초등학교,사업 대상교,공간재구조화(그린스마트 미래학교),2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3367588&bbsId=840&mi=11841,ice_space_restructure_2026.hwpx,2026-04-10,2026-09-07,,official_roster,2024-01-01,,selection_year_only,2024년 선정 · 교사4동 · 준공 1971 · 재건축 연면적 559㎡
인천간석초등학교,초등학교,사업 대상교,공간재구조화(그린스마트 미래학교),2026,https://www.ice.go.kr/ice/na/ntt/selectNttInfo.do?nttSn=3367588&bbsId=840&mi=11841,ice_space_restructure_2026.hwpx,2026-04-10,2026-09-07,,official_roster,2024-01-01,,selection_year_only,"2024년 선정 · 교사1동 · 준공 1973 · 재건축 연면적 4,709㎡"
