school_name,school_level,designation_type,program_name,year,source_url,source_file,source_published_date,retrieved_at,financial_support_amount,verification_status,designation_start_date,designation_end_date,period_basis,note
경인교육대학교부설초등학교,초등학교,교육실습학교 (2~4학년),교육실습 협력학교(경인교대),2026,https://www.ginue.ac.kr/kor/CMS/Contents/Contents.do?mCode=MN081,ginue_teaching_practice_MN081.html,,2026-09-07,,official_roster,,,,실습 학년 2~4학년 · 인천광역시 계양구 안남로 612
인천별빛초등학교,초등학교,교육실습학교 (2~4학년),교육실습 협력학교(경인교대),2026,https://www.ginue.ac.kr/kor/CMS/Contents/Contents.do?mCode=MN081,ginue_teaching_practice_MN081.html,,2026-09-07,,official_roster,,,,실습 학년 2~4학년 · 인천 중구 은하수로 402
인천서림초등학교,초등학교,교육실습학교 (2~4학년),교육실습 협력학교(경인교대),2026,https://www.ginue.ac.kr/kor/CMS/Contents/Contents.do?mCode=MN081,ginue_teaching_practice_MN081.html,,2026-09-07,,official_roster,,,,실습 학년 2~4학년 · 인천 동구 금곡로 105
인천서화초등학교,초등학교,교육실습학교 (2~4학년),교육실습 협력학교(경인교대),2026,https://www.ginue.ac.kr/kor/CMS/Contents/Contents.do?mCode=MN081,ginue_teaching_practice_MN081.html,,2026-09-07,,official_roster,,,,실습 학년 2~4학년 · 인천 미추홀구 송림로 250
인천석암초등학교,초등학교,교육실습학교 (2~4학년),교육실습 협력학교(경인교대),2026,https://www.ginue.ac.kr/kor/CMS/Contents/Contents.do?mCode=MN081,ginue_teaching_practice_MN081.html,,2026-09-07,,official_roster,,,,실습 학년 2~4학년 · 인천광역시 미추홀구 주안동로 46
인천용학초등학교,초등학교,교육실습학교 (2~4학년),교육실습 협력학교(경인교대),2026,https://www.ginue.ac.kr/kor/CMS/Contents/Contents.do?mCode=MN081,ginue_teaching_practice_MN081.html,,2026-09-07,,official_roster,,,,실습 학년 2~4학년 · 인천 미추홀구 용정공원로83번길 9
인천주안초등학교,초등학교,교육실습학교 (2~4학년),교육실습 협력학교(경인교대),2026,https://www.ginue.ac.kr/kor/CMS/Contents/Contents.do?mCode=MN081,ginue_teaching_practice_MN081.html,,2026-09-07,,official_roster,,,,실습 학년 2~4학년 · 인천 미추홀구 남주길69번길 16
인천도화초등학교,초등학교,교육실습학교 (2~4학년),교육실습 협력학교(경인교대),2026,https://www.ginue.ac.kr/kor/CMS/Contents/Contents.do?mCode=MN081,ginue_teaching_practice_MN081.html,,2026-09-07,,official_roster,,,,실습 학년 2~4학년 · 인천광역시 미추홀구 경인로 242
인천문학초등학교,초등학교,교육실습학교 (2~4학년),교육실습 협력학교(경인교대),2026,https://www.ginue.ac.kr/kor/CMS/Contents/Contents.do?mCode=MN081,ginue_teaching_practice_MN081.html,,2026-09-07,,official_roster,,,,실습 학년 2~4학년 · 인천광역시 미추홀구 매소홀로 553
인천삼목초등학교,초등학교,교육실습학교 (2~4학년),교육실습 협력학교(경인교대),2026,https://www.ginue.ac.kr/kor/CMS/Contents/Contents.do?mCode=MN081,ginue_teaching_practice_MN081.html,,2026-09-07,,official_roster,,,,실습 학년 2~4학년 · 인천 중구 신도시북로 42
인천용현초등학교,초등학교,교육실습학교 (2~4학년),교육실습 협력학교(경인교대),2026,https://www.ginue.ac.kr/kor/CMS/Contents/Contents.do?mCode=MN081,ginue_teaching_practice_MN081.html,,2026-09-07,,official_roster,,,,실습 학년 2~4학년 · 인천광역시 미추홀구 낙섬동로 83
인천갈월초등학교,초등학교,교육실습학교 (2~4학년),교육실습 협력학교(경인교대),2026,https://www.ginue.ac.kr/kor/CMS/Contents/Contents.do?mCode=MN081,ginue_teaching_practice_MN081.html,,2026-09-07,,official_roster,,,,실습 학년 2~4학년 · 인천 부평구 주부토로 165
인천개흥초등학교,초등학교,교육실습학교 (2~4학년),교육실습 협력학교(경인교대),2026,https://www.ginue.ac.kr/kor/CMS/Contents/Contents.do?mCode=MN081,ginue_teaching_practice_MN081.html,,2026-09-07,,official_roster,,,,실습 학년 2~4학년 · 인천 부평구 길주남로65번길 11
인천부현동초등학교,초등학교,교육실습학교 (2~4학년),교육실습 협력학교(경인교대),2026,https://www.ginue.ac.kr/kor/CMS/Contents/Contents.do?mCode=MN081,ginue_teaching_practice_MN081.html,,2026-09-07,,official_roster,,,,실습 학년 2~4학년 · 인천광역시 계양구 용종로 5
