교육청명,교육지원청명,유치원명,설립유형,대표자명,원장명,설립일,개원일,주소,전화번호,팩스번호,홈페이지,운영시간,만3세학급수,만4세학급수,만5세학급수,혼합학급수,특수학급수,인가총정원수,3세모집정원수,4세모집정원수,5세모집정원수,혼합모집정원수,특수학급모집정원수,만3세원아수,만4세원아수,만5세원아수,혼합원아수,특수원아수,위도,경도,
인천광역시교육청,강화교육지원청,갑룡초등학교병설유치원,공립(병설),조윤옥,조윤옥,19850901,19850901,인천광역시 강화군 갑룡길 88,032-934-9515,032-934-9517,http://gabryong.icees.kr/main.do,08시40분~19시00분,1,1,1,0,1,51,11,17,19,0,4,12,17,11,0,4,37.74482666,126.5026254,
인천광역시교육청,강화교육지원청,강화유치원,사립(법인),곽노중,문선영,19260410,19260410,인천광역시 강화군 관청길10번길 7,032-934-2221,032-934-2278, ,09시00분~19시00분,1,1,1,0,0,80,14,18,18,0,0,13,18,8,0,0,37.74991928,126.4873368,
인천광역시교육청,강화교육지원청,강화초등학교병설유치원,공립(병설),하상대,하상대,19870305,19870305,인천광역시 강화군 북문길 36,032-627-6034,032-933-1202,http://ganghwa.icees.kr,08시50분~19시00분,0,0,0,1,0,15,0,0,0,15,0,0,0,0,5,0,37.75122294,126.4853914,
인천광역시교육청,강화교육지원청,교동초등학교병설유치원,공립(병설),홍영미,홍영미,19810307,19810307,인천광역시 강화군 대룡안길29번길 29,032-627-6115,032-933-4012,http://kd.icees.kr,08시30분~18시00분,0,0,0,1,0,15,0,0,0,15,0,0,0,0,4,0,37.78345083,126.284159,
인천광역시교육청,강화교육지원청,내가초등학교병설유치원,공립(병설),김우종,김우종,19810309,19810309,인천광역시 강화군 강화서로 264,032-627-6094,032-627-6102,http://naega.icees.kr,08시30분~18시30분,0,0,0,1,0,15,0,0,0,15,0,0,0,0,9,0,37.72159668,126.3902864,
인천광역시교육청,강화교육지원청,대월초등학교병설유치원,공립(병설),정지영,정지영,19820308,19820308,인천광역시 강화군 대월로 216,032-627-2320,032-932-2954,http://.i-deawol.icees.kr,08시40분~18시00분,0,0,0,1,0,15,0,0,0,15,0,0,0,0,2,0,37.76177001,126.4897098,
인천광역시교육청,강화교육지원청,마니산유치원,공립(단설),장희경,장희경,20110301,20110301,인천광역시 강화군 강화남로 510-1,032-937-3153,032-937-3065,http://manisan.icekg.kr,09시10분~19시00분,1,2,2,0,2,84,12,34,38,0,8,11,19,17,0,7,37.65365313,126.4376274,
인천광역시교육청,강화교육지원청,명신초등학교병설유치원,공립(병설),김형순,김형순,19820309,19820309,인천광역시 강화군 강화서로560번길 22,032-627-6633,032-627-6652,http://ms.icees.kr,08시30분~17시30분,0,0,0,1,0,16,0,0,0,16,0,0,0,0,3,0,37.74460985,126.3896781,
인천광역시교육청,강화교육지원청,삼산초등학교병설유치원,공립(병설),고주희,고주희,19810305,19810305,인천광역시 강화군 삼산북로 451,032-627-1090,032-932-3912,http://samsan.icees.kr/,08시30분~18시00분,0,0,0,1,0,15,0,0,0,15,0,0,0,0,6,0,37.70380877,126.3217336,
인천광역시교육청,강화교육지원청,선원초등학교병설유치원,공립(병설),오연근,오연근,19810301,19810301,인천광역시 강화군 강화동로 924,032-627-5990,032-933-9235,http://sunwon.icees.kr,08시30분~19시00분,1,1,1,0,0,48,12,17,19,0,0,7,11,6,0,0,37.71537215,126.4794419,
