"LBRRY_NM","CTPRVN_NM","SIGNGU_NM","LBRRY_SE","CLOSE_DAY","WEEKDAY_OPER_OPEN_HHMM","WEEKDAY_OPER_COLSE_HHMM","SAT_OPER_OPER_OPEN_HHMM","SAT_OPER_CLOSE_HHMM","HOLIDAY_OPER_OPEN_HHMM","HOLIDAY_CLOSE_OPEN_HHMM","SEAT_CO","BOOK_CO","PBLICTN_CO","NONE_BOOK_CO","LON_CO","LON_DAYCNT","RDNMADR","OPER_INSTITUTION_NM","PHONE_NUMBER","PLOT_AR","BULD_AR","HOMEPAGE_URL","LATITUDE","LONGITUDE","REFERENCE_DATE","INSTT_CODE","INSTT_NM"
"지혜의숲도서관","인천광역시","강화군","공공도서관","금","09:00","22:00","09:00","22:00","09:00","22:00","82","22025","29","0","5","14","인천광역시 강화군 선원면 대문고개로 131","인천광역시 강화군청","032-934-8273","1995","1189","https://lib.ganghwa.go.kr","37.72281752","126.4830801","2026-04-30","3570000","인천광역시 강화군"
"강화도서관","인천광역시","강화군","공공도서관","월","09:00","22:00","09:00","22:00","09:00","22:00","241","85849","47","3584","5","14","인천광역시 강화군 강화읍 북문길9번길 18","인천광역시 강화군청","032-932-8264","1528","2190","https://lib.ganghwa.go.kr","37.7488047","126.4831601","2026-04-30","3570000","인천광역시 강화군"
"내가도서관","인천광역시","강화군","공공도서관","금","09:00","18:00","09:00","18:00","09:00","18:00","60","17837","2","0","5","14","인천광역시 강화군 내가면 강화서로 249","인천광역시 강화군청","032-934-1528","179","378","https://lib.ganghwa.go.kr","37.7193494","126.3898462","2026-04-30","3570000","인천광역시 강화군"
"별똥별어린이도서관","인천광역시","계양구","공공도서관","금","09:00","22:00","09:00","22:00","09:00","18:00","48","15093","12","5542","10","14","인천광역시 계양구 봉오대로 510","(재)인천광역시 계양구 인재양성장학교육재단","032-553-4683","1017","385.84","http://www.gygl.go.kr","37.529267","126.705760","2026-05-19","3550000","인천광역시 계양구"
"임학도서관","인천광역시","계양구","공공도서관","금","06:00","22:00","06:00","22:00","06:00","22:00","109","20884","15","5542","10","14","인천광역시 계양구 임학동로 26-1","(재)인천광역시 계양구 인재양성장학교육재단","032-551-9701","330","727","http://www.gygl.go.kr","37.544347","126.736191","2026-05-19","3550000","인천광역시 계양구"
"동양도서관","인천광역시","계양구","공공도서관","월","06:00","22:00","06:00","22:00","06:00","22:00","393","50477","21","5542","10","14","인천광역시 계양구 당미길 31","(재)인천광역시 계양구 인재양성장학교육재단","032-541-1800","1650","1601","http://www.gygl.go.kr","37.561924","126.757834","2026-05-19","3550000","인천광역시 계양구"
"서운도서관","인천광역시","계양구","공공도서관","월","06:00","22:00","06:00","22:00","06:00","22:00","174","43297","19","5542","10","14","인천광역시 계양구 아나지로 457번길 16","(재)인천광역시 계양구 인재양성장학교육재단","032-556-8597","1598","1051","http://www.gygl.go.kr","37.526429","126.743024","2026-05-19","3550000","인천광역시 계양구"
"효성도서관","인천광역시","계양구","공공도서관","월","06:00","22:00","06:00","22:00","06:00","22:00","281","51383","14","5542","10","14","인천광역시 계양구 봉오대로 600번길 14","(재)인천광역시 계양구 인재양성장학교육재단","032-547-3862","2149","1454","http://www.gygl.go.kr","37.529137","126.715058","2026-05-19","3550000","인천광역시 계양구"
"작전도서관","인천광역시","계양구","공공도서관","금","06:00","22:00","06:00","22:00","06:00","22:00","374","45734","18","5542","10","14","인천광역시 계양구 오조산로 21번길 4","(재)인천광역시 계양구 인재양성장학교육재단","032-555-9734","17043","1684","http://www.gygl.go.kr","37.533007","126.737729","2026-05-19","3550000","인천광역시 계양구"
"송도5동작은도서관","인천광역시","연수구","작은도서관","월+일+국가지정공휴일","10:00","18:00","10:00","18:00","00:00","00:00","34","11787","0","0","5","15","인천광역시 연수구 인천타워대로 501","인천광역시 연수구청","032-721-6330","4000","486","http://www.yspubliclib.go.kr","37.413912","126.623216","2026-04-30","3520000","인천광역시 연수구"
"누리공원작은도서관","인천광역시","연수구","작은도서관","월+일+국가지정공휴일","10:00","18:00","10:00","18:00","00:00","00:00","28","10517","0","0","5","15","인천광역시 연수구 송도문화로 20","인천광역시 연수구청","032-812-7658","176.4","176.4","http://www.yspubliclib.go.kr","37.37861056","126.6555701","2026-04-30","3520000","인천광역시 연수구"
"해찬솔공원작은도서관","인천광역시","연수구","작은도서관","월+일+국가지정공휴일","10:00","18:00","10:00","18:00","00:00","00:00","33","12771","0","0","5","15","인천광역시 연수구 송도과학로 27번길 74","인천광역시 연수구청","032-818-6313","214.59","214.59","http://www.yspubliclib.go.kr","37.38816269","126.6680769","2026-04-30","3520000","인천광역시 연수구"
"솔안공원작은도서관","인천광역시","연수구","작은도서관","월+일+국가지정공휴일","10:00","18:00","10:00","18:00","00:00","00:00","32","11532","0","0","5","15","인천광역시 연수구 원인재로 170","인천광역시 연수구청","032-719-7210","210","259.85","http://www.yspubliclib.go.kr","37.41231176","126.6828579","2026-04-30","3520000","인천광역시 연수구"
"문화공원작은도서관","인천광역시","연수구","작은도서관","월+일+국가지정공휴일","10:00","18:00","10:00","18:00","00:00","00:00","40","3505","0","0","5","15","인천광역시 연수구 새말로 120","인천광역시 연수구청","032-821-0890","77.57","68.77","http://www.yspubliclib.go.kr","37.41812199","126.6823541","2026-04-30","3520000","인천광역시 연수구"
"송도3동작은도서관","인천광역시","연수구","작은도서관","토+일+국가지정공휴일","10:00","18:00","00:00","00:00","00:00","00:00","20","18057","0","0","5","15","인천광역시 연수구 송도교육로 63","인천광역시 연수구청","032-749-6797","797.87","4724.63","http://www.yspubliclib.go.kr","37.37148829","126.6601719","2026-04-30","3520000","인천광역시 연수구"
"송도2동작은도서관","인천광역시","연수구","작은도서관","토+일+국가지정공휴일","10:00","18:00","00:00","00:00","00:00","00:00","20","18709","0","0","5","15","인천광역시 연수구 신송로 248","인천광역시 연수구청","032-749-6595","170.5","4130.87","http://www.yspubliclib.go.kr","37.40321868","126.6416744","2026-04-30","3520000","인천광역시 연수구"
"연수1동작은도서관","인천광역시","연수구","작은도서관","토+일+국가지정공휴일","10:00","18:00","00:00","00:00","00:00","00:00","20","13590","0","0","5","15","인천광역시 연수구 함박뫼로 127","인천광역시 연수구청","032-749-6151","643.27","4102.26","http://www.yspubliclib.go.kr","37.42225406","126.6810562","2026-04-30","3520000","인천광역시 연수구"
"옥련2동작은도서관","인천광역시","연수구","작은도서관","토+일+국가지정공휴일","10:00","18:00","00:00","00:00","00:00","00:00","20","22831","0","0","5","15","인천광역시 연수구 옥련로 82","인천광역시 연수구청","032-749-6084","500.59","3696.82","http://www.yspubliclib.go.kr","37.42619045","126.6482901","2026-04-30","3520000","인천광역시 연수구"
"옥련1동작은도서관","인천광역시","연수구","작은도서관","토+일+국가지정공휴일","10:00","18:00","00:00","00:00","00:00","00:00","34","17134","0","0","5","15","인천광역시 연수구 비류대로 186번길 14","인천광역시 연수구청","032-749-6026","349.04","1647.44","http://www.yspubliclib.go.kr","37.42733824","126.6550908","2026-04-30","3520000","인천광역시 연수구"
"함박비류도서관","인천광역시","연수구","공공도서관","월+일+국가지정공휴일","09:00","18:00","09:00","18:00","00:00","00:00","142","39127","57","2447","5","15","인천광역시 연수구 함박안로 218","인천광역시 연수구청","032-749-6970","7039.1","1019.09","http://www.yspubliclib.go.kr","37.42570148","126.686803","2026-04-30","3520000","인천광역시 연수구"
