연도,시도,행정구,교육지원청,학교급,고등학교유형,학교세부유형,학교명,KEDI학교코드,본분교,설립,상태,지역규모,학교개교일,우편번호,도로명주소,전화번호,팩스번호,홈페이지,학생수,도서관(실)수,좌석수,장서수_계,도서,비도서,사서교사_사서교사_계,사서교사자격증 보유 교사,직원(사서자격증보유여부)_직원수_계,보유,미보유,예산액(단위:원)_계,자료구입비,운영비,좌석당학생수,1인당장서수
2025,인천,중구,남부,초등학교,,초등학교,인천공항초등학교,231021112,본교,공립,기존(원)교,특별/광역시,20020301,22370 ,인천광역시 중구 신도시남로 43 (운서동. 공항초등학교),032-752-2072,032-752-2078,http://gonghang-e.icees.kr,415,1,60,24362,24104,258,0,0,1,1,0,14700000,11700000,3000000,6.9,58.7
2025,인천,중구,남부,초등학교,,초등학교,인천영종초등학교금산분교장,231021171,분교장,공립,기존(원)교,특별/광역시,19560413,22356 ,인천광역시 중구 백운로414번길 63-50 (운북동. 금산초등학교),032-627-9961,032-746-0998,http://yj.icees.kr/,47,0,0,5240,5240,0,0,0,0,0,0,2000000,2000000,0,0,111.5
2025,인천,중구,남부,초등학교,,초등학교,인천별빛초등학교,231021295,본교,공립,기존(원)교,특별/광역시,20200901,22389 ,인천광역시 중구 은하수로 402 . 인천별빛초등학교 (운남동),032-455-8700,032-752-8458,http://starlight.icees.kr,1359,1,80,10721,10721,0,1,1,0,0,0,33900000,20000000,13900000,17,7.9
2025,인천,중구,남부,초등학교,,초등학교,인천송월초등학교,231021348,본교,공립,기존(원)교,특별/광역시,19550502,22309 ,인천광역시 중구 자유공원로 106-8 (전동. 인천송월초등학교),032-764-1901,032-764-3818,http://songwol.icees.kr/main.do,137,1,22,15944,15864,80,0,0,0,0,0,11250000,6500000,4750000,6.2,116.4
2025,인천,중구,남부,초등학교,,초등학교,인천신선초등학교,231021378,본교,공립,기존(원)교,특별/광역시,20020301,22334 ,인천광역시 중구 축항대로291번길 33 (신흥동3가. 신선초등학교),032-650-0800,032-650-0812,http://sinsun.icees.kr,286,1,58,19199,19199,0,0,0,0,0,0,12220000,10000000,2220000,4.9,67.1
2025,인천,중구,남부,초등학교,,초등학교,인천신흥초등학교,231021380,본교,공립,기존(원)교,특별/광역시,19460315,22321 ,인천광역시 중구 제물량로 134 (답동. 인천신흥초등학교),032-629-0440,032-764-0403,http://icsh.icees.kr,312,1,50,19013,18401,612,0,0,1,1,0,11400000,9600000,1800000,6.2,60.9
2025,인천,중구,남부,초등학교,,초등학교,인천연안초등학교,231021404,본교,공립,기존(원)교,특별/광역시,19870901,22348 ,인천광역시 중구 연안부두로33번길 53 . 인천연안초등학교 (항동7가),032-629-1446,032-887-7500,http://yonan.icees.kr,104,1,33,15702,15616,86,0,0,0,0,0,7950000,7500000,450000,3.2,151
2025,인천,중구,남부,초등학교,,초등학교,인천영종초등학교,231021412,본교,공립,기존(원)교,특별/광역시,19200922,22406 ,인천광역시 중구 하늘달빛로 133 . 인천영종초등학교 (중산동),032-627-9961,032-746-0998,http://yj.icees.kr/,1251,1,60,26423,26418,5,0,0,0,0,0,35570000,23500000,12070000,20.9,21.1
2025,인천,중구,남부,초등학교,,초등학교,인천용유초등학교,231021420,본교,공립,기존(원)교,특별/광역시,19351212,22384 ,인천광역시 중구 남북로87번길 4 (남북동. 용유초등학교),032-746-7595,032-746-7597,http://yongyu.icees.kr/main.do,33,1,10,11845,11769,76,0,0,1,1,0,5736000,4736000,1000000,3.3,358.9
2025,인천,중구,남부,초등학교,,초등학교,인천운서초등학교,231021460,본교,공립,기존(원)교,특별/광역시,19530516,22374 ,인천광역시 중구 운서2로 57 (운서동.인천운서초등학교),032-746-5095,032-746-2161,http://unseo.icees.kr,789,1,89,15770,15728,42,1,1,0,0,0,23100000,15000000,8100000,8.9,20
