age,population,source_group_1k,share_within_source_group
0,15433,in_age_001,0.18961555945989114
1,15014,in_age_001,0.18446757012446094
2,16369,in_age_001,0.20111560246218868
3,16845,in_age_001,0.20696391492916907
4,17730,in_age_001,0.21783735302429016
5,19526,in_age_002,0.17157418391107596
6,20660,in_age_002,0.18153859672246386
7,21926,in_age_002,0.19266288827380168
8,24927,in_age_002,0.21903255568735996
9,26766,in_age_002,0.23519177540529854
10,26262,in_age_003,0.19016654598117305
11,26299,in_age_003,0.1904344677769732
12,28903,in_age_003,0.20929036929761044
13,28645,in_age_003,0.20742215785662563
14,27991,in_age_003,0.20268645908761768
