학교ID,학교명,gu,current_beneficiary,cluster,gu_avg_grid_total_pop,redev_완료수,redev_진행중수,redev_예정수,iso_park_count,gap_count,access_ratio,cohort_change_2029,cohort_change_2031,cohort_change_2029_base,cohort_change_2031_base,citywide_birth_factor_2029,citywide_birth_factor_2031,predicted_current,redev_flag,forecast_2029_base,forecast_2031_base,forecast_2029_redev,forecast_2031_redev,forecast_2029,forecast_2031,confidence_low,confidence_high,citywide_child_share
B000002949,인천신흥초등학교,중구,130,0,1708.359,0,0,1,0,-0.9852941176470588,0.0,0.94,0.907,0.895,0.852,0.937,0.913,164,True,147,140,154,149,154,149,0,453,0.090584
B000002950,인천신광초등학교,중구,311,0,1708.359,0,0,2,0,0.5147058823529411,0.0,0.94,0.907,0.895,0.852,0.937,0.913,285,True,255,243,268,259,268,259,0,574,0.090584
B000002951,인천신선초등학교,중구,124,0,1708.359,0,0,1,0,-1.9852941176470589,0.0,0.94,0.907,0.895,0.852,0.937,0.913,128,True,115,109,120,116,120,116,0,417,0.090584
B000002952,인천송월초등학교,중구,79,0,1708.359,0,0,2,1,3.8676470588235294,0.1428571428571428,0.94,0.907,0.895,0.852,0.937,0.913,104,True,93,89,98,94,98,94,0,393,0.090584
B000002953,인천운서초등학교,중구,102,1,1708.359,0,0,0,6,5.867647058823529,0.6,0.94,0.907,0.895,0.852,0.937,0.913,140,False,125,119,125,119,125,119,0,429,0.090584
B000002954,인천용유초등학교,중구,0,0,1708.359,0,0,0,0,-1.1323529411764706,0.0,0.94,0.907,0.895,0.852,0.937,0.913,34,False,30,29,30,29,30,29,0,323,0.090584
B000002955,인천연안초등학교,중구,18,0,1708.359,0,0,0,0,-1.1323529411764706,0.0,0.94,0.907,0.895,0.852,0.937,0.913,34,False,30,29,30,29,30,29,0,323,0.090584
B000002956,인천운남초등학교,중구,34,0,1708.359,0,0,0,3,1.8676470588235288,0.1666666666666666,0.94,0.907,0.895,0.852,0.937,0.913,46,False,41,39,41,39,41,39,0,335,0.090584
B000002957,인천공항초등학교,중구,187,1,1708.359,0,0,0,5,8.014705882352942,0.3571428571428571,0.94,0.907,0.895,0.852,0.937,0.913,179,False,160,153,160,153,160,153,0,468,0.090584
B000002958,인천삼목초등학교,중구,86,0,1708.359,0,0,0,1,5.867647058823529,0.05,0.94,0.907,0.895,0.852,0.937,0.913,64,False,57,55,57,55,57,55,0,353,0.090584
B000002959,인천영종초등학교,중구,439,0,1708.359,0,0,0,1,-0.8823529411764706,0.0666666666666666,0.94,0.907,0.895,0.852,0.937,0.913,372,False,333,317,333,317,333,317,83,661,0.090584
B000002960,인성초등학교,중구,74,0,1708.359,0,1,0,1,2.867647058823529,0.2,0.94,0.907,0.895,0.852,0.937,0.913,61,True,55,52,57,55,57,55,0,350,0.090584
B000002962,인천영종초등학교금산분교장,중구,2,0,1708.359,0,0,0,0,-1.1323529411764706,0.0,0.94,0.907,0.895,0.852,0.937,0.913,34,False,30,29,30,29,30,29,0,323,0.090584
B000002963,인천만석초등학교,동구,123,2,3493.994,0,0,0,3,1.0147058823529411,0.75,1.071,1.112,0.937,0.913,0.937,0.913,145,False,136,132,136,132,136,132,0,434,0.090584
B000002964,인천송현초등학교,동구,328,2,3493.994,0,0,1,2,-0.4852941176470589,0.5,1.071,1.112,0.937,0.913,0.937,0.913,358,True,335,327,383,398,383,398,69,647,0.090584
B000002965,인천창영초등학교,동구,190,0,3493.994,0,1,0,1,-0.9852941176470588,0.25,1.071,1.112,0.937,0.913,0.937,0.913,189,True,177,173,202,210,202,210,0,478,0.090584
B000002966,인천송림초등학교,동구,480,1,3493.994,0,1,2,3,2.117647058823529,0.4285714285714285,1.071,1.112,0.937,0.913,0.937,0.913,481,True,451,439,515,535,515,535,192,770,0.090584
B000002967,인천서흥초등학교,동구,386,2,3493.994,0,0,0,2,-0.4852941176470589,1.0,1.071,1.112,0.937,0.913,0.937,0.913,379,False,355,346,355,346,355,346,90,668,0.090584
B000002968,인천서림초등학교,동구,408,0,3493.994,0,0,2,0,-2.485294117647059,0.0,1.071,1.112,0.937,0.913,0.937,0.913,378,True,354,345,405,420,405,420,89,667,0.090584
B000002969,인천동명초등학교,동구,391,2,3493.994,0,0,1,1,-1.4852941176470589,0.5,1.071,1.112,0.937,0.913,0.937,0.913,401,True,376,366,429,446,429,446,112,690,0.090584
B000002970,영화초등학교,동구,226,0,3493.994,0,1,1,1,-0.9852941176470588,0.25,1.071,1.112,0.937,0.913,0.937,0.913,211,True,198,193,226,235,226,235,0,500,0.090584
B000002971,인천숭의초등학교,미추홀구,239,0,4097.086,0,1,0,1,-2.485294117647059,0.0,1.106,1.167,0.937,0.913,0.937,0.913,259,True,243,236,287,302,287,302,0,548,0.090584
B000002972,인천용정초등학교,미추홀구,366,2,4097.086,0,0,2,1,-1.4852941176470589,1.0,1.106,1.167,0.937,0.913,0.937,0.913,347,True,325,317,384,405,384,405,58,636,0.090584
B000002973,인천용일초등학교,미추홀구,366,2,4097.086,0,0,2,1,-1.4852941176470589,1.0,1.106,1.167,0.937,0.913,0.937,0.913,347,True,325,317,384,405,384,405,58,636,0.090584
