학교ID,학교명,gu,공원명,시설유형,공원면적_원본,apt_added_park_intersect_m2
B000003024,인천갈월초등학교,부평구,새갈놀이공원,어린이공원,2812.0,366.579
B000003024,인천갈월초등학교,부평구,명월놀이공원,어린이공원,2076.0,244.5328
B000003057,인천청량초등학교,연수구,부수지공원,근린공원,19001.3,869.1871
B000003057,인천청량초등학교,연수구,청은공원,어린이공원,4337.2,31.9169
B000026469,인천한별초등학교,서구,도담공원,근린공원,28592.8,1313.9301
B000026469,인천한별초등학교,서구,웃목어린이공원,어린이공원,4699.1,352.8898
B000026469,인천한별초등학교,서구,아라보타닉파크,근린공원,88897.2,21367.4809
B000003098,인천논곡초등학교,남동구,논현포대공원,근린공원,207370.0,22275.5982
B000003098,인천논곡초등학교,남동구,아담공원,어린이공원,2491.0,981.2571
B000003098,인천논곡초등학교,남동구,신흥공원,어린이공원,1500.0,949.8297
B000003098,인천논곡초등학교,남동구,앞골공원,어린이공원,2245.0,2173.6855
B000025228,인천예송초등학교,연수구,송도  14호 어린이공원,어린이공원,1500.3,1171.8039
B000025202,인천장아초등학교,남동구,장아산공원,근린공원,333049.0,20471.2652
B000025202,인천장아초등학교,남동구,물바람수변공원,수변공원,8693.0,2141.603
B000003013,인천영선초등학교,부평구,새갈놀이공원,어린이공원,2812.0,1147.9522
B000003013,인천영선초등학교,부평구,여울공원,어린이공원,5346.0,1157.8825
B000003127,인천부현동초등학교,계양구,도두리공원,어린이공원,3000.2,496.2273
B000003127,인천부현동초등학교,계양구,계양교통공원,근린공원,21091.5,1615.691
B000003012,인천후정초등학교,부평구,도드리놀이공원,어린이공원,3239.0,115.8337
B000003012,인천후정초등학교,부평구,가족놀이공원,어린이공원,1605.0,199.2604
B000003012,인천후정초등학교,부평구,영성공원,근린공원,10523.0,917.0686
B000003012,인천후정초등학교,부평구,동화놀이공원,어린이공원,1514.0,442.8086
B000003012,인천후정초등학교,부평구,꿈동산놀이공원,어린이공원,1693.0,339.6484
B000003012,인천후정초등학교,부평구,후정공원,근린공원,22209.0,3151.5808
B000003007,인천부곡초등학교,부평구,마장공원,근린공원,15020.0,689.9527
B000027505,인천중산초등학교,중구,배곶공원,근린공원,19304.0,6610.156
B000027505,인천중산초등학교,중구,비밀의벽공원,어린이공원,6077.0,678.4811
B000027505,인천중산초등학교,중구,박석공원,근린공원,352000.0,91979.0201
B000027505,인천중산초등학교,중구,박석공원,근린공원,352000.0,91979.0201
B000024924,인천하늘초등학교,중구,선사공원,근린공원,31629.0,97.6666
B000024924,인천하늘초등학교,중구,박석공원,근린공원,351889.5,4348.7827
B000003148,인천가림초등학교,서구,가좌공원,어린이공원,7280.0,1468.6868
B000003131,인천효성서초등학교,계양구,새벌공원,근린공원,131302.0,21858.0655
B000003095,인천구월초등학교,남동구,전재울공원,근린공원,122963.0,9592.4517
B000025677,인천주안초등학교,미추홀구,미추어린이공원,어린이공원,3238.8,1766.5573
B000025677,인천주안초등학교,미추홀구,승기어린이공원,어린이공원,8785.3,3803.7793
B000003074,인천간석초등학교,남동구,용광공원,어린이공원,597.0,14.4434
B000026470,인천이음초등학교,서구,도담공원,근린공원,28592.8,3208.1198
B000003065,인천신정초등학교,연수구,센트럴파크,근린공원,370750.0,91.0831
B000003065,인천신정초등학교,연수구,송도  13호 어린이공원,어린이공원,1499.8,1494.8258
B000003065,인천신정초등학교,연수구,송도  11호 어린이공원,어린이공원,2000.1,672.5994
B000003087,인천원동초등학교,남동구,별빛공원,어린이공원,1591.0,4.9046
B000003087,인천원동초등학교,남동구,한아름공원,근린공원,34712.0,10819.0673
B000003087,인천원동초등학교,남동구,물방울공원,어린이공원,1689.0,1176.6821
B000003087,인천원동초등학교,남동구,하늬공원,근린공원,10633.0,6934.188
B000003087,인천원동초등학교,남동구,돌섬공원,어린이공원,3231.0,769.7724
B000003087,인천원동초등학교,남동구,나루소공원,소공원,6446.0,851.8471
B000003016,인천부일초등학교,부평구,새말놀이공원,어린이공원,3901.0,3876.0786
B000003016,인천부일초등학교,부평구,동소정놀이공원,어린이공원,1550.0,1547.5113
B000003016,인천부일초등학교,부평구,청운공원,근린공원,15587.0,3379.4798
B000003016,인천부일초등학교,부평구,새울놀이공원,어린이공원,1800.0,1795.8094
B000003016,인천부일초등학교,부평구,방촌공원,근린공원,11501.0,3.4685
B000003016,인천부일초등학교,부평구,등세이놀이공원,어린이공원,2200.0,1477.5902
B000003016,인천부일초등학교,부평구,개울놀이공원,어린이공원,2200.0,1951.9282
B000025210,인천연송초등학교,연수구,송도  12호 어린이공원,어린이공원,1500.1,1127.5038
B000025210,인천연송초등학교,연수구,송도  10호 어린이공원,어린이공원,1999.9,1953.5977
B000003101,인천인동초등학교,남동구,한울소공원,소공원,788.0,10.873
B000003101,인천인동초등학교,남동구,양지말소공원,소공원,788.0,786.7348
B000003153,인천완정초등학교,서구,능내공원,근린공원,77340.0,6245.0549
B000003153,인천완정초등학교,서구,검단2지구 2호근린공원,근린공원,12819.0,1795.4486
B000003160,인천창신초등학교,서구,원당지구 2호공원,근린공원,10227.0,1414.7692
B000026332,인천백석초등학교,서구,당하지구6호 어린이공원,어린이공원,1669.0,314.0759
B000026332,인천백석초등학교,서구,당하지구 1호공원,근린공원,28761.0,5973.9977
B000003122,인천계양초등학교,계양구,동산공원,어린이공원,4845.9,190.2208
B000003112,인천성지초등학교,계양구,작전공원,어린이공원,9427.1,1346.2003
B000003112,인천성지초등학교,계양구,효성공원,어린이공원,10877.0,844.6025
B000002967,인천서흥초등학교,동구,돌산공원,어린이공원,8111.0,6337.1939
B000022839,인천청일초등학교,서구,청라호수공원,근린공원,690573.9,65326.2941
B000003141,인천양지초등학교,서구,주마공원,어린이공원,2831.0,6.9637
B000026467,인천해든초등학교,서구,광명큰나무공원,소공원,941.0,120.4921
B000026467,인천해든초등학교,서구,아라센트럴파크,근린공원,55690.3,6460.5996
B000026467,인천해든초등학교,서구,해든공원,어린이공원,8251.8,1724.9384
B000026467,인천해든초등학교,서구,아라노을공원,근린공원,48206.9,15900.6492
B000003083,인천도림초등학교,남동구,도림1공원,어린이공원,1744.0,1451.118
B000003171,인천검암초등학교,서구,장모루공원,근린공원,5704.0,1238.5197
B000003085,인천장도초등학교,남동구,동녘공원,어린이공원,1740.0,1044.8559
B000003161,인천금곡초등학교,서구,왕길새싹공원,어린이공원,3309.0,348.9738
B000025256,인천송원초등학교,연수구,국제화복합단지 1호 근린공원,근린공원,83541.5,15781.2332
B000003082,인천만수초등학교,남동구,장승백이공원,어린이공원,1500.0,0.9503
B000002980,인천관교초등학교,미추홀구,중앙공원,근린공원,351770.8,129.536
B000002980,인천관교초등학교,미추홀구,신비공원,어린이공원,1514.7,1254.3619
B000025196,인천장서초등학교,남동구,물바람수변공원,수변공원,8693.0,3427.4411
B000025196,인천장서초등학교,남동구,어울공원,근린공원,42487.0,2401.4049
B000025196,인천장서초등학교,남동구,흰여울공원,어린이공원,1587.0,941.1857
B000003045,인천한길초등학교,부평구,건강공원,근린공원,16248.0,2489.9053
B000003045,인천한길초등학교,부평구,은행나무놀이공원,어린이공원,1505.0,111.9015
B000003045,인천한길초등학교,부평구,교통공원,근린공원,24077.0,187.2085
B000003045,인천한길초등학교,부평구,영성공원,근린공원,10523.0,621.7945
B000003045,인천한길초등학교,부평구,동화놀이공원,어린이공원,1514.0,442.8086
