grid_id,cx,cy,pred_beneficiary_2029,pred_beneficiary_2031,parent_1km_code,w_hat,gu,priority_score,candidate_rank,nearest_park_dist,nearest_pg_dist,worst_case_type,avg_park_dist_m,avg_playground_count,land_feasibility_level,linked_schools,linked_school_count,candidate_child_current,priority_score_mixed,candidate_rank_mixed,demand_model_version,redev_flag,redev_level,redev_warning_text,avg_green_ratio,demand_scope,demand_status,resident_children_current,straight_500m_children_current,demand_label,demand_note,xgb_predicted_2029,forecast_2029,potential_demand_2029,xgb_predicted_2031,forecast_2031,potential_demand_2031
CG_01293,126.72067830000049,37.49837889999981,47.08,42.18,다사3144,0.04343501703456894,남동구,777.702,243,148.5,824.1,1.0,488.4,0.0,high,"[""['인천부원초등학교' '인천부평동초등학교' '인천부평서초등학교']""]",3,58.95,777.702,243,source_allocation_v2_20260911,False,none,,0.216309,straight_500m,estimated,58.95,1016.03,직선 500m 거주 아동 시나리오,2024년 6~11세 배분 추정에 인천 전체 연령인구 성장률 적용. 보행권·실제 이용자·신규 수혜가 아님. 후보끼리 합산하지 않음.,47.08,47.08,811.47,42.18,42.18,727.05
CG_01323,126.72292830000049,37.49837889999981,40.19,36.01,다사3144,0.035924799263528,남동구,830.6320000000001,199,197.0,521.3,1.0,488.4,0.0,high,"[""['인천부원초등학교' '인천부평동초등학교' '인천부평서초등학교']""]",3,50.32,830.6320000000001,199,source_allocation_v2_20260911,False,none,,0.216309,straight_500m,estimated,50.32,1085.18,직선 500m 거주 아동 시나리오,2024년 6~11세 배분 추정에 인천 전체 연령인구 성장률 적용. 보행권·실제 이용자·신규 수혜가 아님. 후보끼리 합산하지 않음.,40.19,40.19,866.7,36.01,36.01,776.53
CG_01354,126.7251783000005,37.5028788999998,84.44,75.66,다사3145,0.004204781252568274,계양구,893.05,162,675.3,14688.9,1.0,460.4,0.0,high,"[""['인천부원초등학교' '인천개흥초등학교' '인천부평동초등학교']""]",3,105.73,893.05,162,source_allocation_v2_20260911,True,completed,"500m 내 재개발 2건: unknown(290m), completed(363m)",1.281666,straight_500m,estimated,105.73,1166.72,직선 500m 거주 아동 시나리오,2024년 6~11세 배분 추정에 인천 전체 연령인구 성장률 적용. 보행권·실제 이용자·신규 수혜가 아님. 후보끼리 합산하지 않음.,84.44,84.44,931.83,75.66,75.66,834.88
CG_01353,126.7251783000005,37.5006288999998,103.16,92.42,다사3144,0.009708347085248568,계양구,977.9879999999999,126,455.6,9791.1,1.0,460.4,0.0,high,"[""['인천부원초등학교' '인천개흥초등학교' '인천부평동초등학교']""]",3,129.16,977.9879999999999,126,source_allocation_v2_20260911,True,completed,500m 내 재개발 1건: completed(441m),1.281666,straight_500m,estimated,129.16,1277.69,직선 500m 거주 아동 시나리오,2024년 6~11세 배분 추정에 인천 전체 연령인구 성장률 적용. 보행권·실제 이용자·신규 수혜가 아님. 후보끼리 합산하지 않음.,103.16,103.16,1020.46,92.42,92.42,914.28
CG_01325,126.72292830000049,37.5028788999998,77.33,69.28,다사3145,0.14189600316235787,남동구,812.076,218,312.3,631.5,1.0,460.4,0.0,high,"[""['인천부원초등학교' '인천개흥초등학교' '인천부평동초등학교']""]",3,96.82,812.076,218,source_allocation_v2_20260911,True,unknown,"500m 내 재개발 3건: unknown(267m), unknown(464m), unknown(439m)",1.281666,straight_500m,estimated,96.82,1060.94,직선 500m 거주 아동 시나리오,2024년 6~11세 배분 추정에 인천 전체 연령인구 성장률 적용. 보행권·실제 이용자·신규 수혜가 아님. 후보끼리 합산하지 않음.,77.33,77.33,847.34,69.28,69.28,759.18
CG_01384,126.7274283000005,37.49612889999981,65.26,58.47,다사3144,0.04782202608602636,부평구,917.764,151,488.9,6476.1,2.0,291.7,0.0,medium,"[""['인천부흥초등학교' '인천부평동초등학교' '인천부평서초등학교']""]",3,81.71,917.764,151,source_allocation_v2_20260911,False,none,,0.42476,straight_500m,estimated,81.71,1199.01,직선 500m 거주 아동 시나리오,2024년 6~11세 배분 추정에 인천 전체 연령인구 성장률 적용. 보행권·실제 이용자·신규 수혜가 아님. 후보끼리 합산하지 않음.,65.26,65.26,957.62,58.47,58.47,857.98
CG_01386,126.7274283000005,37.5006288999998,87.15,78.08,다사3144,0.085494834561899,계양구,1057.804,94,538.8,7483.2,2.0,263.7,0.0,medium,"[""['인천개흥초등학교' '인천부흥초등학교' '인천부평동초등학교']""]",3,109.12,1057.804,94,source_allocation_v2_20260911,True,completed,500m 내 재개발 1건: completed(299m),1.490117,straight_500m,estimated,109.12,1381.97,직선 500m 거주 아동 시나리오,2024년 6~11세 배분 추정에 인천 전체 연령인구 성장률 적용. 보행권·실제 이용자·신규 수혜가 아님. 후보끼리 합산하지 않음.,87.15,87.15,1103.74,78.08,78.08,988.9
CG_01424,126.7296783000005,37.5006288999998,94.99,85.11,다사3144,0.0694674093462378,부평구,985.7719999999999,123,362.7,6073.6,2.0,263.7,0.0,medium,"[""['인천개흥초등학교' '인천부흥초등학교' '인천부평동초등학교']""]",3,118.94,985.7719999999999,123,source_allocation_v2_20260911,True,completed,"500m 내 재개발 2건: unknown(493m), completed(252m)",1.490117,straight_500m,estimated,118.94,1287.86,직선 500m 거주 아동 시나리오,2024년 6~11세 배분 추정에 인천 전체 연령인구 성장률 적용. 보행권·실제 이용자·신규 수혜가 아님. 후보끼리 합산하지 않음.,94.99,94.99,1028.58,85.11,85.11,921.56
CG_00524,126.6689283000004,37.518628899999776,50.51,45.25,다사2646,0.0837611306314517,서구,1049.428,96,218.7,7338.5,2.0,351.367,0.333,high,"[""['인천신현초등학교' '인천가현초등학교' '인천신현북초등학교']""]",3,63.24,1049.428,96,source_allocation_v2_20260911,True,unknown,500m 내 재개발 1건: unknown(378m),0.862417,straight_500m,estimated,63.24,1371.03,직선 500m 거주 아동 시나리오,2024년 6~11세 배분 추정에 인천 전체 연령인구 성장률 적용. 보행권·실제 이용자·신규 수혜가 아님. 후보끼리 합산하지 않음.,50.51,50.51,1095.0,45.25,45.25,981.07
CG_00242,126.64192830000036,37.47137889999985,15.54,13.93,다사2441,0.06269920323895699,연수구,210.248,1232,281.2,3136.3,1.0,357.9,0.4,high,"[""['인천서림초등학교' '인천창영초등학교' '인천동명초등학교' '인천송림초등학교' '영화초등학교']""]",5,19.46,210.248,1232,source_allocation_v2_20260911,True,planned,"500m 내 재개발 5건: unknown(277m), planned(298m), unknown(258m)",1.214391,straight_500m,estimated,19.46,274.68,직선 500m 거주 아동 시나리오,2024년 6~11세 배분 추정에 인천 전체 연령인구 성장률 적용. 보행권·실제 이용자·신규 수혜가 아님. 후보끼리 합산하지 않음.,15.54,15.54,219.38,13.93,13.93,196.55
CG_00243,126.64192830000036,37.473628899999845,27.55,24.68,다사2441,0.07094938725827529,미추홀구,253.694,1145,992.7,1843.8,1.0,357.9,0.4,high,"[""['인천서림초등학교' '인천창영초등학교' '인천동명초등학교' '인천송림초등학교' '영화초등학교']""]",5,34.49,253.694,1145,source_allocation_v2_20260911,True,planned,"500m 내 재개발 3건: planned(339m), unknown(403m), unknown(287m)",1.214391,straight_500m,estimated,34.49,331.44,직선 500m 거주 아동 시나리오,2024년 6~11세 배분 추정에 인천 전체 연령인구 성장률 적용. 보행권·실제 이용자·신규 수혜가 아님. 후보끼리 합산하지 않음.,27.55,27.55,264.71,24.68,24.68,237.17
CG_00244,126.64192830000036,37.47587889999984,9.94,8.9,다사2442,0.01395098054997475,미추홀구,324.336,1009,0.0,1558.4,1.0,412.25,0.5,high,"[""['인천서림초등학교' '인천서흥초등학교' '인천동명초등학교' '인천송림초등학교']""]",4,12.44,324.336,1009,source_allocation_v2_20260911,True,unknown,500m 내 재개발 1건: unknown(356m),1.376876,straight_500m,estimated,12.44,423.73,직선 500m 거주 아동 시나리오,2024년 6~11세 배분 추정에 인천 전체 연령인구 성장률 적용. 보행권·실제 이용자·신규 수혜가 아님. 후보끼리 합산하지 않음.,9.94,9.94,338.42,8.9,8.9,303.21
CG_01078,126.70717830000046,37.5051288999998,155.1,138.96,다사2945,0.12795915253869578,남동구,1201.034,57,204.8,330.9,1.0,928.033,0.0,high,"[""['인천부마초등학교' '인천마장초등학교' '인천미산초등학교']""]",3,194.2,1201.034,57,source_allocation_v2_20260911,True,planned,500m 내 재개발 1건: planned(476m),0.0,straight_500m,estimated,194.2,1569.09,직선 500m 거주 아동 시나리오,2024년 6~11세 배분 추정에 인천 전체 연령인구 성장률 적용. 보행권·실제 이용자·신규 수혜가 아님. 후보끼리 합산하지 않음.,155.1,155.1,1253.19,138.96,138.96,1122.8
CG_01079,126.70717830000046,37.50737889999979,85.35,76.47,다사2945,0.08478161224822224,남동구,869.11,181,279.8,413.1,1.0,928.033,0.0,high,"[""['인천부마초등학교' '인천마장초등학교' '인천미산초등학교']""]",3,106.86,869.11,181,source_allocation_v2_20260911,True,planned,500m 내 재개발 1건: planned(462m),0.0,straight_500m,estimated,106.86,1135.45,직선 500m 거주 아동 시나리오,2024년 6~11세 배분 추정에 인천 전체 연령인구 성장률 적용. 보행권·실제 이용자·신규 수혜가 아님. 후보끼리 합산하지 않음.,85.35,85.35,906.85,76.47,76.47,812.5
CG_01122,126.70942830000047,37.50737889999979,43.16,38.67,다사3045,0.1605238970850922,계양구,883.83,168,750.5,8139.4,1.0,928.033,0.0,high,"[""['인천부마초등학교' '인천마장초등학교' '인천미산초등학교']""]",3,54.04,883.83,168,source_allocation_v2_20260911,False,none,,0.0,straight_500m,estimated,54.04,1154.68,직선 500m 거주 아동 시나리오,2024년 6~11세 배분 추정에 인천 전체 연령인구 성장률 적용. 보행권·실제 이용자·신규 수혜가 아님. 후보끼리 합산하지 않음.,43.16,43.16,922.21,38.67,38.67,826.26
CG_01121,126.70942830000047,37.5051288999998,54.92,49.2,다사3045,0.0699233142229081,계양구,1181.5059999999999,61,594.2,7983.1,1.0,928.033,0.0,high,"[""['인천부마초등학교' '인천마장초등학교' '인천미산초등학교']""]",3,68.76,1181.5059999999999,61,source_allocation_v2_20260911,False,none,,0.0,straight_500m,estimated,68.76,1543.58,직선 500m 거주 아동 시나리오,2024년 6~11세 배분 추정에 인천 전체 연령인구 성장률 적용. 보행권·실제 이용자·신규 수혜가 아님. 후보끼리 합산하지 않음.,54.92,54.92,1232.81,49.2,49.2,1104.55
CG_01247,126.71842830000048,37.460128899999866,50.43,45.18,다사3040,0.12387563428736842,부평구,739.164,276,38.0,6139.0,2.0,245.7,0.0,low,"[""['인천간석초등학교' '인천인동초등학교' '인천정각초등학교']""]",3,63.14,739.164,276,source_allocation_v2_20260911,False,none,,0.633451,straight_500m,estimated,63.14,965.68,직선 500m 거주 아동 시나리오,2024년 6~11세 배분 추정에 인천 전체 연령인구 성장률 적용. 보행권·실제 이용자·신규 수혜가 아님. 후보끼리 합산하지 않음.,50.43,50.43,771.26,45.18,45.18,691.02
CG_01245,126.71842830000048,37.45562889999987,56.38,50.51,다사3039,0.011967902901275513,부평구,945.0999999999999,137,278.2,5420.5,2.0,266.333,0.0,low,"[""['인천구월초등학교' '인천간석초등학교' '인천정각초등학교']""]",3,70.59,945.0999999999999,137,source_allocation_v2_20260911,False,none,,1.754351,straight_500m,estimated,70.59,1234.73,직선 500m 거주 아동 시나리오,2024년 6~11세 배분 추정에 인천 전체 연령인구 성장률 적용. 보행권·실제 이용자·신규 수혜가 아님. 후보끼리 합산하지 않음.,56.38,56.38,986.14,50.51,50.51,883.54
CG_01044,126.70492830000046,37.5051288999998,104.36,93.5,다사2945,0.1272241092007783,남동구,1034.996,101,456.4,456.4,1.0,613.7,0.0,high,"[""['인천부마초등학교' '인천마장초등학교' '인천산곡초등학교']""]",3,130.67,1034.996,101,source_allocation_v2_20260911,True,planned,500m 내 재개발 1건: planned(295m),0.0,straight_500m,estimated,130.67,1352.17,직선 500m 거주 아동 시나리오,2024년 6~11세 배분 추정에 인천 전체 연령인구 성장률 적용. 보행권·실제 이용자·신규 수혜가 아님. 후보끼리 합산하지 않음.,104.36,104.36,1079.94,93.5,93.5,967.58
CG_01045,126.70492830000046,37.50737889999979,45.73,40.97,다사2945,0.06073129755737468,남동구,789.1320000000001,236,596.8,645.2,1.0,613.7,0.0,high,"[""['인천부마초등학교' '인천마장초등학교' '인천산곡초등학교']""]",3,57.26,789.1320000000001,236,source_allocation_v2_20260911,True,planned,500m 내 재개발 1건: planned(271m),0.0,straight_500m,estimated,57.26,1030.96,직선 500m 거주 아동 시나리오,2024년 6~11세 배분 추정에 인천 전체 연령인구 성장률 적용. 보행권·실제 이용자·신규 수혜가 아님. 후보끼리 합산하지 않음.,45.73,45.73,823.4,40.97,40.97,737.73
CG_01294,126.72067830000049,37.5006288999998,36.83,33.0,다사3144,0.07335006515626535,남동구,972.25,131,0.0,501.3,1.0,580.6,0.0,high,"[""['인천부원초등학교' '인천부평동초등학교']""]",2,46.11,972.25,131,source_allocation_v2_20260911,True,unknown,500m 내 재개발 1건: unknown(477m),0.221542,straight_500m,estimated,46.11,1270.19,직선 500m 거주 아동 시나리오,2024년 6~11세 배분 추정에 인천 전체 연령인구 성장률 적용. 보행권·실제 이용자·신규 수혜가 아님. 후보끼리 합산하지 않음.,36.83,36.83,1014.47,33.0,33.0,908.92
