grid_id,cx,cy,linked_school_count,forecast_2029,forecast_2031,worst_case_type,avg_green_ratio,avg_playground_count,avg_park_dist_m,land_feasibility_level,priority_score,candidate_rank
CG_00795,126.72067830000049,37.49837889999981,3,3287,3290,1.0,0.232,0.0,488.4,high,4932.299999999999,1
CG_00815,126.72292830000049,37.49837889999981,3,3287,3290,1.0,0.232,0.0,488.4,high,4932.299999999999,2
CG_00850,126.7274283000005,37.49612889999981,3,3969,4022,2.0,0.44,0.0,291.7,medium,3990.2000000000003,3
CG_00408,126.6689283000004,37.518628899999776,3,2581,2545,1.0,0.0,0.333,351.367,high,3849.8999999999996,4
CG_00382,126.6666783000004,37.518628899999776,3,2581,2545,1.0,0.0,0.333,351.367,high,3849.8999999999996,5
CG_00682,126.70717830000046,37.50737889999979,3,2202,2233,1.0,0.0,0.0,928.033,high,3321.6000000000004,6
CG_00681,126.70717830000046,37.5051288999998,3,2202,2233,1.0,0.0,0.0,928.033,high,3321.6000000000004,7
CG_00702,126.70942830000047,37.50737889999979,3,2202,2233,1.0,0.0,0.0,928.033,high,3321.6000000000004,8
CG_00701,126.70942830000047,37.5051288999998,3,2202,2233,1.0,0.0,0.0,928.033,high,3321.6000000000004,9
CG_00668,126.70492830000046,37.50737889999979,3,2066,2139,1.0,0.0,0.0,613.7,high,3142.7999999999997,10
CG_00667,126.70492830000046,37.5051288999998,3,2066,2139,1.0,0.0,0.0,613.7,high,3142.7999999999997,11
CG_00837,126.7251783000005,37.5028788999998,2,2080,2114,1.0,0.222,0.0,580.6,high,3140.3999999999996,12
CG_00817,126.72292830000049,37.5028788999998,2,2080,2114,1.0,0.222,0.0,580.6,high,3140.3999999999996,13
CG_00796,126.72067830000049,37.5006288999998,2,2080,2114,1.0,0.222,0.0,580.6,high,3140.3999999999996,14
CG_00816,126.72292830000049,37.5006288999998,2,2080,2114,1.0,0.222,0.0,580.6,high,3140.3999999999996,15
CG_00836,126.7251783000005,37.5006288999998,2,2080,2114,1.0,0.222,0.0,580.6,high,3140.3999999999996,16
CG_00380,126.6666783000004,37.51412889999978,3,1972,1963,1.0,0.0,0.0,492.967,high,2952.6000000000004,17
CG_00873,126.7296783000005,37.5006288999998,2,2762,2846,2.0,0.535,0.0,285.55,medium,2795.6000000000004,18
CG_00851,126.7274283000005,37.49837889999981,2,2762,2846,2.0,0.535,0.0,285.55,medium,2795.6000000000004,19
CG_00852,126.7274283000005,37.5006288999998,2,2762,2846,2.0,0.535,0.0,285.55,medium,2795.6000000000004,20
CG_00849,126.7274283000005,37.493878899999814,2,2762,2846,2.0,0.439,0.0,233.05,medium,2795.6000000000004,21
CG_00872,126.7296783000005,37.49837889999981,2,2762,2846,2.0,0.535,0.0,285.55,medium,2795.6000000000004,22
CG_00195,126.64192830000036,37.473628899999845,4,1770,1820,1.0,0.163,0.0,377.125,high,2685.0,23
CG_00194,126.64192830000036,37.47137889999985,4,1770,1820,1.0,0.163,0.0,377.125,high,2685.0,24
CG_00208,126.64417830000036,37.47137889999985,4,1770,1820,1.0,0.163,0.0,377.125,high,2685.0,25
CG_00435,126.6711783000004,37.51637889999978,2,1684,1671,1.0,0.0,0.0,407.05,high,2518.2000000000003,26
CG_00356,126.6644283000004,37.51637889999978,2,1684,1671,1.0,0.0,0.0,407.05,high,2518.2000000000003,27
CG_00407,126.6689283000004,37.51637889999978,2,1684,1671,1.0,0.0,0.0,407.05,high,2518.2000000000003,28
CG_00436,126.6711783000004,37.518628899999776,2,1684,1671,1.0,0.0,0.0,407.05,high,2518.2000000000003,29
CG_00406,126.6689283000004,37.51412889999978,2,1684,1671,1.0,0.0,0.0,407.05,high,2518.2000000000003,30
CG_00381,126.6666783000004,37.51637889999978,2,1684,1671,1.0,0.0,0.0,407.05,high,2518.2000000000003,31
CG_00920,126.73417830000051,37.532128899999755,3,2464,2478,2.0,0.222,0.0,388.0,medium,2469.6,32
CG_00197,126.64192830000036,37.47812889999984,3,1621,1639,1.0,0.0,0.0,456.0,high,2442.2999999999997,33
CG_00225,126.64642830000037,37.47587889999984,3,1621,1639,1.0,0.0,0.0,456.0,high,2442.2999999999997,34
CG_00211,126.64417830000036,37.47812889999984,3,1621,1639,1.0,0.0,0.0,456.0,high,2442.2999999999997,35
CG_00196,126.64192830000036,37.47587889999984,3,1621,1639,1.0,0.0,0.0,456.0,high,2442.2999999999997,36
