grid_id,cx,cy,gu,gu_assignment_method,linked_schools,linked_school_count,worst_case_type,avg_green_ratio,avg_playground_count,avg_park_dist_m,land_feasibility_level,priority_score,candidate_rank,candidate_total_pop_current,candidate_child_current,gu_predicted_2029,gu_predicted_2031,actual_2025,gu_growth_factor_2029,gu_growth_factor_2031,legacy_forecast_2029,legacy_forecast_2031,legacy_xgb_predicted_2029,legacy_xgb_predicted_2031,forecast_2029,forecast_2031,xgb_predicted_2029,xgb_predicted_2031,nearest_park_dist,nearest_pg_dist,demand_label,demand_note,demand_model_version
CG_01276,126.72489575385184,37.5026537169782,부평구,linked_school_majority,"['인천부원초등학교', '인천개흥초등학교', '인천부평동초등학교']",3,1.0,1.349,0.0,531.9,high,286.8,66,3223.95,229.711,31630,28973,36723,0.8613130735506358,0.7889605969011246,1423,1249,1423,1249,198,181,198,181,16.8,4964.3,잠재수혜인원 예측,구별 Prophet 총량과 1km 아동인구·100m 총인구 비례배분을 결합한 잠재수혜인원입니다.,gu_prophet_grid_alloc_v1_20260419
CG_01275,126.72489575385184,37.500403716978205,부평구,linked_school_majority,"['인천부원초등학교', '인천개흥초등학교', '인천부평동초등학교']",3,1.0,1.349,0.0,531.9,high,294.3,57,3124.748,236.141,31630,28973,36723,0.8613130735506358,0.7889605969011246,1423,1249,1423,1249,203,186,203,186,480.6,4553.3,잠재수혜인원 예측,구별 Prophet 총량과 1km 아동인구·100m 총인구 비례배분을 결합한 잠재수혜인원입니다.,gu_prophet_grid_alloc_v1_20260419
CG_01243,126.72264575385184,37.5026537169782,부평구,linked_school_majority,"['인천부원초등학교', '인천개흥초등학교', '인천부평동초등학교']",3,1.0,1.349,0.0,531.9,high,243.6,96,2742.88,195.396,31630,28973,36723,0.8613130735506358,0.7889605969011246,1423,1249,1423,1249,168,154,168,154,414.6,4805.0,잠재수혜인원 예측,구별 Prophet 총량과 1km 아동인구·100m 총인구 비례배분을 결합한 잠재수혜인원입니다.,gu_prophet_grid_alloc_v1_20260419
CG_01241,126.72264575385184,37.49815371697821,부평구,linked_school_majority,"['인천부원초등학교', '인천부평동초등학교', '인천부평서초등학교']",3,1.0,0.29,0.0,488.4,high,112.8,349,1192.647,90.13,31630,28973,36723,0.8613130735506358,0.7889605969011246,1736,1537,1736,1537,78,71,78,71,721.0,4266.1,잠재수혜인원 예측,구별 Prophet 총량과 1km 아동인구·100m 총인구 비례배분을 결합한 잠재수혜인원입니다.,gu_prophet_grid_alloc_v1_20260419
CG_01242,126.72264575385184,37.500403716978205,부평구,linked_school_majority,"['인천부원초등학교', '인천부평동초등학교', '인천부평서초등학교']",3,1.0,0.29,0.0,488.4,high,185.4,164,1962.545,148.312,31630,28973,36723,0.8613130735506358,0.7889605969011246,1736,1537,1736,1537,128,117,128,117,659.7,4555.8,잠재수혜인원 예측,구별 Prophet 총량과 1km 아동인구·100m 총인구 비례배분을 결합한 잠재수혜인원입니다.,gu_prophet_grid_alloc_v1_20260419
CG_01213,126.72039575385183,37.500403716978205,부평구,linked_school_majority,"['인천부원초등학교', '인천부평동초등학교', '인천부평서초등학교']",3,1.0,0.29,0.0,488.4,high,93.9,449,995.419,74.964,31630,28973,36723,0.8613130735506358,0.7889605969011246,1736,1537,1736,1537,65,59,65,59,759.9,4444.1,잠재수혜인원 예측,구별 Prophet 총량과 1km 아동인구·100m 총인구 비례배분을 결합한 잠재수혜인원입니다.,gu_prophet_grid_alloc_v1_20260419
CG_01212,126.72039575385183,37.49815371697821,부평구,linked_school_majority,"['인천부원초등학교', '인천부평동초등학교', '인천부평서초등학교']",3,1.0,0.29,0.0,488.4,high,157.5,207,1680.034,126.073,31630,28973,36723,0.8613130735506358,0.7889605969011246,1736,1537,1736,1537,109,99,109,99,546.3,4230.5,잠재수혜인원 예측,구별 Prophet 총량과 1km 아동인구·100m 총인구 비례배분을 결합한 잠재수혜인원입니다.,gu_prophet_grid_alloc_v1_20260419
CG_01337,126.72939575385185,37.500403716978205,부평구,linked_school_majority,"['인천개흥초등학교', '인천부흥초등학교', '인천부평동초등학교']",3,2.0,1.624,0.0,335.2,medium,190.2,157,3020.012,228.226,31630,28973,36723,0.8613130735506358,0.7889605969011246,1979,1873,1979,1873,197,180,197,180,403.7,4322.0,잠재수혜인원 예측,구별 Prophet 총량과 1km 아동인구·100m 총인구 비례배분을 결합한 잠재수혜인원입니다.,gu_prophet_grid_alloc_v1_20260419
CG_01302,126.72714575385184,37.500403716978205,부평구,linked_school_majority,"['인천개흥초등학교', '인천부흥초등학교', '인천부평동초등학교']",3,2.0,1.624,0.0,335.2,medium,190.6,155,3029.526,228.945,31630,28973,36723,0.8613130735506358,0.7889605969011246,1979,1873,1979,1873,197,181,197,181,563.1,4473.4,잠재수혜인원 예측,구별 Prophet 총량과 1km 아동인구·100m 총인구 비례배분을 결합한 잠재수혜인원입니다.,gu_prophet_grid_alloc_v1_20260419
CG_01301,126.72714575385184,37.49815371697821,부평구,linked_school_majority,"['인천부흥초등학교', '인천부평동초등학교', '인천부평서초등학교']",3,2.0,0.565,0.0,291.7,medium,107.4,368,1706.602,128.97,31630,28973,36723,0.8613130735506358,0.7889605969011246,2292,2161,2292,2161,111,102,111,102,619.5,4193.4,잠재수혜인원 예측,구별 Prophet 총량과 1km 아동인구·100m 총인구 비례배분을 결합한 잠재수혜인원입니다.,gu_prophet_grid_alloc_v1_20260419
