grid_id,cx,cy,linked_schools,linked_school_count,forecast_2029,forecast_2031,worst_case_type,avg_green_ratio,avg_playground_count,avg_park_dist_m,land_feasibility_level,priority_score,candidate_rank,xgb_predicted_2029,xgb_predicted_2031
CG_00795,126.72067830000049,37.49837889999981,"[""[np.str_('인천부원초등학교'), np.str_('인천부평동초등학교'), np.str_('인천부평서초등학교')]""]",3,3287,3290,1.0,0.232,0.0,488.4,high,4932.3,1,683,681
CG_00815,126.72292830000049,37.49837889999981,"[""[np.str_('인천부원초등학교'), np.str_('인천부평동초등학교'), np.str_('인천부평서초등학교')]""]",3,3287,3290,1.0,0.232,0.0,488.4,high,4932.3,2,702,811
CG_00850,126.7274283000005,37.49612889999981,"[""[np.str_('인천부흥초등학교'), np.str_('인천부평동초등학교'), np.str_('인천부평서초등학교')]""]",3,3969,4022,2.0,0.44,0.0,291.7,medium,3990.2,3,693,788
CG_00408,126.6689283000004,37.518628899999776,"[""[np.str_('인천신현초등학교'), np.str_('인천가현초등학교'), np.str_('인천신현북초등학교')]""]",3,2581,2545,1.0,0.0,0.333,351.367,high,3849.9,4,882,797
CG_00382,126.6666783000004,37.518628899999776,"[""[np.str_('인천신현초등학교'), np.str_('인천가현초등학교'), np.str_('인천신현북초등학교')]""]",3,2581,2545,1.0,0.0,0.333,351.367,high,3849.9,5,893,800
CG_00682,126.70717830000046,37.50737889999979,"[""[np.str_('인천부마초등학교'), np.str_('인천마장초등학교'), np.str_('인천미산초등학교')]""]",3,2202,2233,1.0,0.0,0.0,928.033,high,3321.6,6,488,284
CG_00681,126.70717830000046,37.5051288999998,"[""[np.str_('인천부마초등학교'), np.str_('인천마장초등학교'), np.str_('인천미산초등학교')]""]",3,2202,2233,1.0,0.0,0.0,928.033,high,3321.6,7,425,325
CG_00702,126.70942830000047,37.50737889999979,"[""[np.str_('인천부마초등학교'), np.str_('인천마장초등학교'), np.str_('인천미산초등학교')]""]",3,2202,2233,1.0,0.0,0.0,928.033,high,3321.6,8,586,314
CG_00701,126.70942830000047,37.5051288999998,"[""[np.str_('인천부마초등학교'), np.str_('인천마장초등학교'), np.str_('인천미산초등학교')]""]",3,2202,2233,1.0,0.0,0.0,928.033,high,3321.6,9,524,355
CG_00668,126.70492830000046,37.50737889999979,"[""[np.str_('인천부마초등학교'), np.str_('인천마장초등학교'), np.str_('인천산곡초등학교')]""]",3,2066,2139,1.0,0.0,0.0,613.7,high,3142.8,10,504,285
CG_00667,126.70492830000046,37.5051288999998,"[""[np.str_('인천부마초등학교'), np.str_('인천마장초등학교'), np.str_('인천산곡초등학교')]""]",3,2066,2139,1.0,0.0,0.0,613.7,high,3142.8,11,442,326
CG_00837,126.7251783000005,37.5028788999998,"[""[np.str_('인천부원초등학교'), np.str_('인천부평동초등학교')]""]",2,2080,2114,1.0,0.222,0.0,580.6,high,3140.4,12,518,466
CG_00817,126.72292830000049,37.5028788999998,"[""[np.str_('인천부원초등학교'), np.str_('인천부평동초등학교')]""]",2,2080,2114,1.0,0.222,0.0,580.6,high,3140.4,13,513,466
CG_00796,126.72067830000049,37.5006288999998,"[""[np.str_('인천부원초등학교'), np.str_('인천부평동초등학교')]""]",2,2080,2114,1.0,0.222,0.0,580.6,high,3140.4,14,494,510
CG_00816,126.72292830000049,37.5006288999998,"[""[np.str_('인천부원초등학교'), np.str_('인천부평동초등학교')]""]",2,2080,2114,1.0,0.222,0.0,580.6,high,3140.4,15,513,546
CG_00836,126.7251783000005,37.5006288999998,"[""[np.str_('인천부원초등학교'), np.str_('인천부평동초등학교')]""]",2,2080,2114,1.0,0.222,0.0,580.6,high,3140.4,16,518,546
CG_00380,126.6666783000004,37.51412889999978,"[""[np.str_('인천신현초등학교'), np.str_('인천신석초등학교'), np.str_('인천신현북초등학교')]""]",3,1972,1963,1.0,0.0,0.0,492.967,high,2952.6,17,712,537
CG_00873,126.7296783000005,37.5006288999998,"[""[np.str_('인천부흥초등학교'), np.str_('인천부평동초등학교')]""]",2,2762,2846,2.0,0.535,0.0,285.55,medium,2795.6,18,518,548
CG_00851,126.7274283000005,37.49837889999981,"[""[np.str_('인천부흥초등학교'), np.str_('인천부평동초등학교')]""]",2,2762,2846,2.0,0.535,0.0,285.55,medium,2795.6,19,708,811
CG_00852,126.7274283000005,37.5006288999998,"[""[np.str_('인천부흥초등학교'), np.str_('인천부평동초등학교')]""]",2,2762,2846,2.0,0.535,0.0,285.55,medium,2795.6,20,518,546
CG_00849,126.7274283000005,37.493878899999814,"[""[np.str_('인천부흥초등학교'), np.str_('인천부평서초등학교')]""]",2,2762,2846,2.0,0.439,0.0,233.05,medium,2795.6,21,418,626
CG_00872,126.7296783000005,37.49837889999981,"[""[np.str_('인천부흥초등학교'), np.str_('인천부평동초등학교')]""]",2,2762,2846,2.0,0.535,0.0,285.55,medium,2795.6,22,707,816
CG_00195,126.64192830000036,37.473628899999845,"[""[np.str_('인천서림초등학교'), np.str_('인천창영초등학교'), np.str_('인천동명초등학교'), np.str_('영화초등학교')]""]",4,1770,1820,1.0,0.163,0.0,377.125,high,2685.0,23,290,386
CG_00194,126.64192830000036,37.47137889999985,"[""[np.str_('인천서림초등학교'), np.str_('인천창영초등학교'), np.str_('인천동명초등학교'), np.str_('영화초등학교')]""]",4,1770,1820,1.0,0.163,0.0,377.125,high,2685.0,24,290,386
CG_00208,126.64417830000036,37.47137889999985,"[""[np.str_('인천서림초등학교'), np.str_('인천창영초등학교'), np.str_('인천동명초등학교'), np.str_('영화초등학교')]""]",4,1770,1820,1.0,0.163,0.0,377.125,high,2685.0,25,422,422
CG_00435,126.6711783000004,37.51637889999978,"[""[np.str_('인천신현초등학교'), np.str_('인천신현북초등학교')]""]",2,1684,1671,1.0,0.0,0.0,407.05,high,2518.2,26,698,772
