grid_id,cx,cy,linked_school_count,forecast_2029_x,forecast_2031_x,worst_case_type,avg_green_ratio,avg_playground_count,avg_park_dist_m,land_feasibility_level,priority_score,candidate_rank,xgb_predicted_2029_x,xgb_predicted_2031_x,forecast_2029_y,forecast_2031_y,xgb_predicted_2029_y,xgb_predicted_2031_y,original_forecast_2029,original_forecast_2031,original_xgb_predicted_2029,original_xgb_predicted_2031,forecast_2029,forecast_2031,xgb_predicted_2029,xgb_predicted_2031,nearest_park_dist,nearest_pg_dist,linked_schools
CG_01276,126.72489575385184,37.5026537169782,3,2259,2335,1.0,1.349,0.0,531.9,high,3434.1,1,727,669,1423,1249,1423,1249,,,,,1423,1249,1423,1249,16.8,4964.3,"['인천부원초등학교', '인천개흥초등학교', '인천부평동초등학교']"
CG_01275,126.72489575385184,37.500403716978205,3,2259,2335,1.0,1.349,0.0,531.9,high,3434.1,2,727,669,1423,1249,1423,1249,,,,,1423,1249,1423,1249,480.6,4553.3,"['인천부원초등학교', '인천개흥초등학교', '인천부평동초등학교']"
CG_01243,126.72264575385184,37.5026537169782,3,2259,2335,1.0,1.349,0.0,531.9,high,3434.1,3,727,664,1423,1249,1423,1249,,,,,1423,1249,1423,1249,414.6,4805.0,"['인천부원초등학교', '인천개흥초등학교', '인천부평동초등학교']"
CG_01241,126.72264575385184,37.49815371697821,3,2284,2280,1.0,0.29,0.0,488.4,high,3423.6,4,986,894,1736,1537,1736,1537,,,,,1736,1537,1736,1537,721.0,4266.1,"['인천부원초등학교', '인천부평동초등학교', '인천부평서초등학교']"
CG_01242,126.72264575385184,37.500403716978205,3,2284,2280,1.0,0.29,0.0,488.4,high,3423.6,5,764,720,1736,1537,1736,1537,,,,,1736,1537,1736,1537,659.7,4555.8,"['인천부원초등학교', '인천부평동초등학교', '인천부평서초등학교']"
CG_01213,126.72039575385185,37.500403716978205,3,2284,2280,1.0,0.29,0.0,488.4,high,3423.6,6,748,684,1736,1537,1736,1537,,,,,1736,1537,1736,1537,759.9,4444.1,"['인천부원초등학교', '인천부평동초등학교', '인천부평서초등학교']"
CG_01212,126.72039575385185,37.49815371697821,3,2284,2280,1.0,0.29,0.0,488.4,high,3423.6,7,970,789,1736,1537,1736,1537,,,,,1736,1537,1736,1537,546.3,4230.5,"['인천부원초등학교', '인천부평동초등학교', '인천부평서초등학교']"
CG_01337,126.72939575385185,37.500403716978205,3,2650,2754,2.0,1.624,0.0,335.2,medium,2691.6,8,748,602,1979,1873,1979,1873,,,,,1979,1873,1979,1873,403.7,4322.0,"['인천개흥초등학교', '인천부흥초등학교', '인천부평동초등학교']"
CG_01302,126.72714575385184,37.500403716978205,3,2650,2754,2.0,1.624,0.0,335.2,medium,2691.6,9,752,638,1979,1873,1979,1873,,,,,1979,1873,1979,1873,563.1,4473.4,"['인천개흥초등학교', '인천부흥초등학교', '인천부평동초등학교']"
CG_01301,126.72714575385184,37.49815371697821,3,2675,2699,2.0,0.565,0.0,291.7,medium,2684.6,10,1131,1008,2292,2161,2292,2161,,,,,2292,2161,2292,2161,619.5,4193.4,"['인천부흥초등학교', '인천부평동초등학교', '인천부평서초등학교']"
CG_01300,126.72714575385184,37.49590371697821,3,2675,2699,2.0,0.565,0.0,291.7,medium,2684.6,11,1117,985,2292,2161,2292,2161,,,,,2292,2161,2292,2161,427.8,3921.3,"['인천부흥초등학교', '인천부평동초등학교', '인천부평서초등학교']"
