기관명,기관유형,위도,경도,주소,정원수,출처
LH아이세상어린이집,가정,37.45855567,126.6392181,"인천광역시 미추홀구 낙섬동로 135 208동 102호(용현동, LH미추홀퍼스트)",17.0,어린이집
SK아이숲어린이집,가정,37.44945479,126.6433752,"인천광역시 미추홀구 용정공원로 33 106동 101호(용현동,SK스카이뷰)",20.0,어린이집
SK해사랑어린이집,민간,37.45201513,126.6450629,인천광역시 미추홀구 용정공원로 33 sk스카이뷰아파트 관리동 어린이집,99.0,어린이집
SK행복아이사랑어린이집,가정,37.45083012,126.6453013,인천광역시 미추홀구 용정공원로 33 SK스카이뷰 126동 101호,20.0,어린이집
가온누리어린이집,민간,37.44291314,126.6793403,인천광역시 미추홀구 승학길 77-1,92.0,어린이집
개나리어린이집,국공립,37.44669076,126.6655092,인천광역시 미추홀구 재넘이길19번길 18 (학익동),96.0,어린이집
고운어린이집,국공립,37.56647,126.977963,인천광역시 미추홀구 낙섬동로 134 (관리동 어린이집)105동 맞은편,45.0,어린이집
고은별어린이집,가정,37.4609903,126.69058,인천광역시 미추홀구 경원대로 884 더월드스테이트아파트 106동 101호,20.0,어린이집
곰돌이어린이집,가정,37.44022384,126.6726086,"인천광역시 미추홀구 매소홀로475번길 18 18동 107호(학익동, 신동아아파트)",19.0,어린이집
관교어린이집,민간,37.4430443,126.6938988,인천광역시 미추홀구 경원대로658번길 29-12,73.0,어린이집
국공립예일어린이집,국공립,37.56647,126.977963,"인천광역시 미추홀구 구월로8번길 18-62 (주안동, 더샵아르테)",68.0,어린이집
국현어린이집,민간,37.45171346,126.6832949,인천광역시 미추홀구 미추홀대로614번길 60 국현어린이집 (주안동),129.0,어린이집
그루터기어린이집,민간,37.46604368,126.6767274,인천광역시 미추홀구 염창로 25 그루터기 어린이집 (주안동),67.0,어린이집
글로벌수어린이집,민간,37.46730414,126.6637914,인천광역시 미추홀구 석정로252번길 23,156.0,어린이집
금강꿈채운어린이집,국공립,37.47603881,126.6624793,"인천광역시 미추홀구 송림로257번길 6 (도화동, 도화역금강펜테리움센트럴파크)",26.0,어린이집
금빛어린이집,민간,37.45114832,126.6360895,인천광역시 미추홀구 낙섬서로20번길 28 (용현동),49.0,어린이집
금호어린이집,민간,37.44841398,126.6330283,인천광역시 미추홀구 매소홀로 68 금호2차아파트내 금호어린이집,35.0,어린이집
기쁨숲어린이집,민간,37.46022999,126.6569574,인천광역시 미추홀구 독정이로54번길 46 (숭의동),31.0,어린이집
까꿍어린이집,가정,37.46870144,126.6696227,인천광역시 미추홀구 석정로323번길 27 19통6반 (도화동),20.0,어린이집
꼬마대통령어린이집,민간,37.43953455,126.6615038,인천광역시 미추홀구 한나루로357번길 5-42,96.0,어린이집
꼬마별하어린이집,민간,37.44964791,126.678658,인천광역시 미추홀구 미추홀대로587번길 15 (주안동),73.0,어린이집
꼬마세상어린이집,국공립,37.56647,126.977963,"인천광역시 미추홀구 낙섬동로 9 1동 104호(용현동, 금호타운)",20.0,어린이집
꼬마천국어린이집,가정,37.46125021,126.695336,"인천광역시 미추홀구 경원대로 882 205동 104호(주안동, 주안더월드스테이트)",20.0,어린이집
꽃동네어린이집,민간,37.45609154,126.6940924,인천광역시 미추홀구 문화로169번길 113 (주안동),71.0,어린이집
꾸미어린이집,가정,37.47299765,126.6623884,"인천광역시 미추홀구 숙골로112번길 11 509동104호(도화동, 도화e편한세상)",20.0,어린이집
꿈가득어린이집,국공립,37.56647,126.977963,인천광역시 미추홀구 낙섬동로 134 (관리동어린이집)102동 맞은편,37.0,어린이집
꿈꾸는어린이집,민간,37.4619475,126.6574466,인천광역시 미추홀구 수봉로33번길 69 (숭의동),67.0,어린이집
꿈나무어린이집,민간,37.46186469,126.6769453,인천광역시 미추홀구 주안서로33번길 14 (도화동),88.0,어린이집
꿈노리어린이집,국공립,37.45283098,126.6752981,인천광역시 미추홀구 남주길 150 관리동 어린이집,45.0,어린이집
꿈마루어린이집,직장,37.44317374,126.6692341,인천광역시 미추홀구 소성로163번길 49 인천지방검찰청,79.0,어린이집
꿈별어린이집,국공립,37.45727923,126.6449755,인천광역시 미추홀구 낙섬동로 135 LH미추홀퍼스트 관리동 어린이집,50.0,어린이집
꿈에그린어린이집,가정,37.46749835,126.6500606,"인천광역시 미추홀구 석정로126번길 13 107동 104호(숭의동, 한화꿈에그린)",19.0,어린이집
꿈터어린이집,민간,37.43717965,126.6768218,인천광역시 미추홀구 소성로 270-20,37.0,어린이집
눈초롱어린이집,민간,37.44173409,126.6942154,인천광역시 미추홀구 경원대로652번길 20 (관교동),85.0,어린이집
늘푸른어린이집,민간,37.43925843,126.6691272,인천광역시 미추홀구 매소홀로428번길 14 (학익동),99.0,어린이집
다솜어린이집,민간,37.46845172,126.6779585,인천광역시 미추홀구 길파로27번길 28 (주안동),77.0,어린이집
대우태양어린이집,가정,37.45853374,126.6378621,"인천광역시 미추홀구 아암대로29번길 13 106동 101호(용현동, 용현대우아파트)",20.0,어린이집
더샵나다운어린이집,국공립,37.46942542,126.6632692,"인천광역시 미추홀구 숙골로87번길 5 (도화동, 더샵인천스카이타워 2단지)",45.0,어린이집
더샵노리숲어린이집,국공립,37.46023836,126.6740567,"인천광역시 미추홀구 숙골로88번길 12 (도화동, 더샵인천스카이타워 1단지)",78.0,어린이집
더샵키즈어린이집,가정,37.47049875,126.6652512,"인천광역시 미추홀구 숙골로88번길 12 108동 206호(도화동, 더샵 인천스카이타워 1단지)",20.0,어린이집
도담어린이집,가정,37.44508305,126.6423857,"인천광역시 미추홀구 매소홀로 171 101동 106호(용현동, 신창미션힐)",20.0,어린이집
도화e편한어린이집,국공립,37.47501281,126.6649416,인천광역시 미추홀구 숙골로88번길 56,36.0,어린이집
도화다누리어린이집,국공립,37.47317004,126.6659797,인천광역시 미추홀구 숙골로88번길 46 e편한세상 도화6-1단지 관리동어린이집(도화동),61.0,어린이집
도화보듬이나눔이어린이집,국공립,37.4717624,126.6689263,인천광역시 미추홀구 장고개로50번길 19,69.0,어린이집
도화잘자람어린이집,국공립,37.47348351,126.6621488,인천광역시 미추홀구 숙골로112번길 11 e편한세상 도화5단지 관리동 어린이집(도화동),54.0,어린이집
동화나라어린이집,가정,37.4486597,126.6384334,"인천광역시 미추홀구 낙섬동로 9 8동 104호(용현동, 금호타운아파트)",20.0,어린이집
두리숲어린이집,민간,37.46018775,126.6921416,인천광역시 미추홀구 경원대로852번길 57-17 실제 주소 57-17,104.0,어린이집
두리하나어린이집,국공립,37.47279354,126.6642744,인천광역시 미추홀구 숙골로112번길 22,18.0,어린이집
두산키즈어린이집,민간,37.44270258,126.6557483,인천광역시 미추홀구 노적산로 43 두산위브 아파트 부대복리동 1층,23.0,어린이집
딩동댕어린이집,민간,37.45922536,126.6455119,인천광역시 미추홀구 석정로10번길 70 (숭의동),49.0,어린이집
라온어린이집,가정,37.45312773,126.6936397,"인천광역시 미추홀구 경원대로780번길 22 101동 102호(주안동, 주안캐슬앤더샵에듀포레)",20.0,어린이집
로뎀어린이집,가정,37.4415019,126.6596314,"인천광역시 미추홀구 매소홀로 340 105동 101호(학익동, 풍림아이원)",20.0,어린이집
리틀하버드어린이집,민간,37.4573183,126.6407607,인천광역시 미추홀구 낙섬중로113번길 17-24,49.0,어린이집
릴리어린이집,민간,37.44590022,126.6876867,인천광역시 미추홀구 주승로 153-28,76.0,어린이집
모모어린이집,가정,37.4507374,126.6416445,인천광역시 미추홀구 용정공원로 33 103동101호 (용현동.sk스카이뷰),20.0,어린이집
문학어린이집,법인·단체등,37.43437093,126.6851186,인천광역시 미추홀구 문학길 136 (문학동),120.0,어린이집
미래클어린이집,민간,37.46085754,126.6482246,인천광역시 미추홀구 미추로6번길 5 (숭의동),44.0,어린이집
미추어린이집,국공립,37.46210504,126.6467711,인천광역시 미추홀구 미추로19번길 10-18,64.0,어린이집
미추홀경찰서어린이집,직장,37.44219603,126.6536025,인천광역시 미추홀구 매소홀로290번길 32 미추홀경찰서,60.0,어린이집
미추홀구청어린이집,직장,37.46409198,126.651026,인천광역시 미추홀구 경인로70번길 24 (숭의동),77.0,어린이집
미추홀어린이집,국공립,37.46558148,126.6849406,인천광역시 미추홀구 염창로 97 (주안동),43.0,어린이집
밝음어린이집,민간,37.46846066,126.6789995,인천광역시 미추홀구 길파로29번길 9 (주안동),58.0,어린이집
백암어린이집,사회복지법인,37.43866232,126.6666021,인천광역시 미추홀구 매소홀로418번길 14-57 백암어린이집 (학익동),92.0,어린이집
별가온어린이집,가정,37.45555107,126.6482063,인천광역시 미추홀구 낙섬동로 134 115동 103호,20.0,어린이집
