학교ID,학교명,year,students,special_class_students,source_url,reference_period
KLOCAL-cc7903a205c47f13,갑룡초등학교병설유치원,2016,66,0,https://e-childschoolinfo.moe.go.kr/,2016년 1차 공시
KLOCAL-dd6dbb2a34c3a048,강화유치원,2016,51,0,https://e-childschoolinfo.moe.go.kr/,2016년 1차 공시
KLOCAL-334e28e4065f3ab6,강화초등학교병설유치원,2016,30,0,https://e-childschoolinfo.moe.go.kr/,2016년 1차 공시
KLOCAL-c17af5dbcc9e77c7,교동초등학교병설유치원,2016,13,0,https://e-childschoolinfo.moe.go.kr/,2016년 1차 공시
KLOCAL-3d4efef0184d0107,교동초등학교지석분교장병설유치원,2016,5,0,https://e-childschoolinfo.moe.go.kr/,2016년 1차 공시
KLOCAL-cc0d807663faa10f,난정초등학교병설유치원,2016,9,0,https://e-childschoolinfo.moe.go.kr/,2016년 1차 공시
KLOCAL-3c356c0a84207416,내가초등학교병설유치원,2016,16,0,https://e-childschoolinfo.moe.go.kr/,2016년 1차 공시
KLOCAL-f32b3f18c3c6667b,대월초등학교병설유치원,2016,20,0,https://e-childschoolinfo.moe.go.kr/,2016년 1차 공시
KLOCAL-51c6dc17a37cef2b,마니산유치원,2016,102,9,https://e-childschoolinfo.moe.go.kr/,2016년 1차 공시
KLOCAL-7463c2756c15c1d3,명신초등학교병설유치원,2016,5,0,https://e-childschoolinfo.moe.go.kr/,2016년 1차 공시
KLOCAL-a286fe75086d2d64,삼산초등학교병설유치원,2016,7,0,https://e-childschoolinfo.moe.go.kr/,2016년 1차 공시
KLOCAL-68fe2fb973df07e8,서도초등학교병설유치원,2016,3,0,https://e-childschoolinfo.moe.go.kr/,2016년 1차 공시
KLOCAL-5af4890425fbff3c,선원초등학교병설유치원,2016,63,0,https://e-childschoolinfo.moe.go.kr/,2016년 1차 공시
KLOCAL-08917b6afd819029,송해초등학교병설유치원,2016,10,0,https://e-childschoolinfo.moe.go.kr/,2016년 1차 공시
KLOCAL-a7c30c387636e4fd,양사초등학교병설유치원,2016,4,0,https://e-childschoolinfo.moe.go.kr/,2016년 1차 공시
KLOCAL-54a88136cf70c698,잠두유치원,2016,42,0,https://e-childschoolinfo.moe.go.kr/,2016년 1차 공시
KLOCAL-674ef65b6f0d148e,코끼리유치원,2016,83,0,https://e-childschoolinfo.moe.go.kr/,2016년 1차 공시
KLOCAL-67f73dfaccf6c54c,하점초등학교병설유치원,2016,5,0,https://e-childschoolinfo.moe.go.kr/,2016년 1차 공시
KLOCAL-edc78a00d15f9048,합일초등학교병설유치원,2016,13,4,https://e-childschoolinfo.moe.go.kr/,2016년 1차 공시
KLOCAL-2139f45193aa0f61,해명초등학교병설유치원,2016,10,0,https://e-childschoolinfo.moe.go.kr/,2016년 1차 공시
