학교ID,학교명,학교급,원자료_지역명,학교명_학교급_대조,원자료_기준일,앱_분석,확장_환경_분석,확장_KNN_비교기관수,확장_학교수요_모형,확장_지역전망_연결,확장_공원경로_상태,확장_후보격자수,학원_환경_연결,연결_공시행수,연결_공시항목수,연결_공시항목코드,연결_공시연도,과학전람회_확인기록수,학생발명대회_확인기록수,수능_학교점수,학업성취_학교수치,진로_연결_조사연도,진로_최근_상태,확장_직선권_연령인구_상태,확장_보행권_연령인구_상태,55_최신공시_상태,55_최신공시_연도,56_최신공시_상태,56_최신공시_연도,59_최신공시_상태,59_최신공시_연도,90_최신공시_상태,90_최신공시_연도
B000011417,인천여자상업고등학교,고등학교,중구,명칭상 불일치 없음,2026-03-20,확장 분석,available,4,weighted_trend_lightgbm,중구,available,77,geocoded_observations_only,194,31,0|08|09|10|16|17|18|20|21|22|24|30|34|35|38|43|44|51|55|56|58|59|61|62|63|64|67|68|73|90|94,2020|2021|2022|2023|2024|2025|2026,0,0,미확보,미확보,2025|2026,progression_pending_publication,estimated,estimated,available,2026,available,2026,available,2026,available,2026
B000011418,인천반도체고등학교,고등학교,중구,명칭상 불일치 없음,2026-03-20,확장 분석,available,4,weighted_trend_lightgbm,중구,available,101,geocoded_observations_only,224,31,0|08|09|10|16|17|18|20|21|22|24|30|34|35|38|43|44|51|55|56|58|59|61|62|63|64|67|68|73|90|94,2020|2021|2022|2023|2024|2025|2026,0,0,미확보,미확보,2025|2026,progression_pending_publication,estimated,estimated,available,2026,available,2026,available,2026,available,2026
B000011419,영종국제물류고등학교,고등학교,중구,명칭상 불일치 없음,2026-03-20,확장 분석,available,4,weighted_trend_lightgbm,중구,available,38,geocoded_observations_only,169,31,0|08|09|10|16|17|18|20|21|22|24|30|34|35|38|43|44|51|55|56|58|59|61|62|63|64|67|68|73|90|94,2020|2021|2022|2023|2024|2025|2026,0,0,미확보,미확보,2025|2026,progression_pending_publication,missing_age_observations,estimated,available,2026,available,2026,available,2026,available,2026
B000011420,인천중앙여자고등학교,고등학교,중구,명칭상 불일치 없음,2026-03-20,확장 분석,available,4,weighted_trend_lightgbm,중구,available,100,geocoded_observations_only,193,31,0|08|09|10|16|17|18|20|21|22|24|30|34|35|38|43|44|51|55|56|58|59|61|62|63|64|67|68|73|90|94,2020|2021|2022|2023|2024|2025|2026,0,0,미확보,미확보,2025|2026,progression_pending_publication,estimated,estimated,available,2026,available,2026,available,2026,available,2026
B000011421,인천재능고등학교,고등학교,동구,명칭상 불일치 없음,2026-03-20,확장 분석,available,4,weighted_trend_lightgbm,동구,available,80,geocoded_observations_only,235,31,0|08|09|10|16|17|18|20|21|22|24|30|34|35|38|43|44|51|55|56|58|59|61|62|63|64|67|68|73|90|94,2020|2021|2022|2023|2024|2025|2026,0,0,미확보,미확보,2025|2026,progression_pending_publication,estimated,estimated,available,2026,available,2026,available,2026,available,2026
B000011422,영화국제관광고등학교,고등학교,동구,명칭상 불일치 없음,2026-03-20,확장 분석,available,4,weighted_trend_lightgbm,동구,available,109,geocoded_observations_only,206,31,0|08|09|10|16|17|18|20|21|22|24|30|34|35|38|43|44|51|55|56|58|59|61|62|63|64|67|68|73|90|94,2020|2021|2022|2023|2024|2025|2026,0,0,미확보,미확보,2025|2026,progression_pending_publication,estimated,estimated,available,2026,available,2026,available,2026,available,2026
B000011424,인천기계공업고등학교,고등학교,미추홀구,명칭상 불일치 없음,2026-03-20,확장 분석,available,4,weighted_trend_lightgbm,미추홀구,available,100,geocoded_observations_only,233,31,0|08|09|10|16|17|18|20|21|22|24|30|34|35|38|43|44|51|55|56|58|59|61|62|63|64|67|68|73|90|94,2020|2021|2022|2023|2024|2025|2026,0,0,미확보,미확보,2025|2026,progression_pending_publication,estimated,estimated,available,2026,available,2026,available,2026,available,2026
B000011425,인천소방고등학교,고등학교,미추홀구,명칭상 불일치 없음,2026-03-20,확장 분석,available,4,weighted_trend_lightgbm,미추홀구,available,90,geocoded_observations_only,186,31,0|08|09|10|16|17|18|20|21|22|24|30|34|35|38|43|44|51|55|56|58|59|61|62|63|64|67|68|73|90|94,2020|2021|2022|2023|2024|2025|2026,0,0,미확보,미확보,2025|2026,progression_pending_publication,estimated,estimated,available,2026,available,2026,available,2026,available,2026
B000011426,인천비즈니스고등학교,고등학교,미추홀구,명칭상 불일치 없음,2026-03-20,확장 분석,available,4,weighted_trend_lightgbm,미추홀구,available,69,geocoded_observations_only,188,31,0|08|09|10|16|17|18|20|21|22|24|30|34|35|38|43|44|51|55|56|58|59|61|62|63|64|67|68|73|90|94,2020|2021|2022|2023|2024|2025|2026,0,0,미확보,미확보,2025|2026,progression_pending_publication,estimated,estimated,available,2026,available,2026,available,2026,available,2026
B000011427,문학정보고등학교,고등학교,미추홀구,명칭상 불일치 없음,2026-03-20,확장 분석,available,4,weighted_trend_lightgbm,미추홀구,available,70,geocoded_observations_only,202,31,0|08|09|10|16|17|18|20|21|22|24|30|34|35|38|43|44|51|55|56|58|59|61|62|63|64|67|68|73|90|94,2020|2021|2022|2023|2024|2025|2026,0,0,미확보,미확보,2025|2026,progression_pending_publication,estimated,estimated,exempt_or_unconfirmed,2026,available,2026,available,2026,available,2026
B000011428,정석항공과학고등학교,고등학교,미추홀구,명칭상 불일치 없음,2026-03-20,확장 분석,available,4,weighted_trend_lightgbm,미추홀구,available,97,geocoded_observations_only,185,31,0|08|09|10|16|17|18|20|21|22|24|30|34|35|38|43|44|51|55|56|58|59|61|62|63|64|67|68|73|90|94,2020|2021|2022|2023|2024|2025|2026,0,0,미확보,미확보,2025|2026,progression_pending_publication,estimated,estimated,available,2026,available,2026,available,2026,available,2026
B000011429,인천해양과학고등학교,고등학교,연수구,명칭상 불일치 없음,2026-03-20,확장 분석,available,4,weighted_trend_lightgbm,연수구,available,49,geocoded_observations_only,202,31,0|08|09|10|16|17|18|20|21|22|24|30|34|35|38|43|44|51|55|56|58|59|61|62|63|64|67|68|73|90|94,2020|2021|2022|2023|2024|2025|2026,0,0,미확보,미확보,2025|2026,progression_pending_publication,estimated,estimated,available,2026,available,2026,available,2026,available,2026
