학교ID,학교명,current_students_2025,forecast_2029,forecast_2031,predicted_2029,predicted_2031,selected_model,model_version,validation_scheme
B000003024,인천갈월초등학교,474,318,249,318,249,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003057,인천청량초등학교,450,229,127,229,127,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000025246,인천미송초등학교,1554,1396,1323,1396,1323,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000026469,인천한별초등학교,1599,1464,1416,1464,1416,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000026466,인천아라초등학교,1154,1295,1368,1295,1368,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003178,갑룡초등학교,485,411,370,411,370,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003098,인천논곡초등학교,551,372,281,372,281,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000002959,인천영종초등학교,1251,1091,1025,1091,1025,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000025228,인천예송초등학교,1185,1397,1245,1397,1245,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003150,인천건지초등학교,209,111,67,111,67,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000025202,인천장아초등학교,896,836,780,836,780,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003013,인천영선초등학교,612,434,353,434,353,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003127,인천부현동초등학교,430,221,117,221,117,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003012,인천후정초등학교,297,150,81,150,81,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003007,인천부곡초등학교,912,591,404,591,404,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000027505,인천중산초등학교,1582,1332,1196,1332,1196,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000024924,인천하늘초등학교,1305,1354,1426,1354,1426,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003137,인천간재울초등학교,996,724,545,724,545,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003148,인천가림초등학교,198,91,40,91,40,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003189,해명초등학교,7,2,1,2,1,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
B000003113,인천화전초등학교,688,527,444,527,444,weighted_trend_lightgbm,origin_safe_residual_v2,origin_safe_heldout_target
