학교ID,학교명,method,offset_m,reach_nodes,reach_edge_len_m,n_parts,v3_area_m2,v3_ratio,v2_osmnx_area_m2,valhalla_area_m2,v3_vs_v2,v3_vs_valhalla
B000011443,산마을고등학교,exact_edge_trim_v3,13.8,10,995.1,1,60332,0.0768,,,,
B000012260,숭덕여자고등학교,exact_edge_trim_v3,19.0,41,5313.9,1,304967,0.3883,,,,
B000025212,인천포스코고등학교,exact_edge_trim_v3,58.5,30,3920.9,1,229528,0.2922,,,,
B000012251,인천만수고등학교,exact_edge_trim_v3,75.1,30,3839.7,1,184012,0.2343,,,,
B000008872,인천청라중학교,exact_edge_trim_v3,38.3,183,10202.8,1,270231,0.3441,,,,
B000025754,인천경연중학교,exact_edge_trim_v3,24.4,101,8716.1,1,287572,0.3661,,,,
B000026513,인천루원중학교,exact_edge_trim_v3,84.3,46,4368.8,1,177989,0.2266,,,,
B000025211,인천연송고등학교,exact_edge_trim_v3,53.1,11,1935.2,1,98208,0.125,,,,
B000008861,인천해원중학교,exact_edge_trim_v3,25.3,271,15098.8,1,371980,0.4736,,,,
B000012297,강화여자고등학교,exact_edge_trim_v3,6.2,88,3614.6,1,118635,0.1511,,,,
B000012254,인천남동고등학교,exact_edge_trim_v3,50.8,48,4798.7,1,210550,0.2681,,,,
B000008831,구월여자중학교,exact_edge_trim_v3,18.2,135,10240.6,1,397068,0.5056,,,,
B000008806,인천상정중학교,exact_edge_trim_v3,57.4,9,1102.9,1,71059,0.0905,,,,
B000008797,인천동수중학교,exact_edge_trim_v3,40.6,54,5110.1,1,233862,0.2978,,,,
B000012242,연수고등학교,exact_edge_trim_v3,64.3,102,8073.1,1,339928,0.4328,,,,
B000011829,인천국제고등학교,exact_edge_trim_v3,89.0,2,1074.7,1,81772,0.1041,,,,
B000026476,인천이음고등학교,exact_edge_trim_v3,65.2,12,1959.8,1,126191,0.1607,,,,
B000008830,간석여자중학교,exact_edge_trim_v3,14.5,132,10466.7,1,403510,0.5138,,,,
B000008845,숭덕여자중학교,exact_edge_trim_v3,19.0,41,5313.9,1,304967,0.3883,,,,
B000011427,문학정보고등학교,exact_edge_trim_v3,47.1,65,5291.6,1,211884,0.2698,,,,
B000008881,간재울중학교,exact_edge_trim_v3,43.7,42,5987.3,1,275256,0.3505,,,,
B000008868,가정여자중학교,exact_edge_trim_v3,12.0,101,10070.4,1,419299,0.5339,,,,
B000008808,진산중학교,exact_edge_trim_v3,44.3,50,4345.6,1,223895,0.2851,,,,
B000012275,제일고등학교,exact_edge_trim_v3,13.0,59,5040.8,1,235993,0.3005,,,,
B000008800,청천중학교,exact_edge_trim_v3,8.8,44,5298.0,1,301348,0.3837,,,,
B000012258,인제고등학교,exact_edge_trim_v3,2.3,89,10723.7,1,477993,0.6086,,,,
B000022846,백령고등학교,exact_edge_trim_v3,91.6,10,1826.3,1,119467,0.1521,,,,
B000012292,검단고등학교,exact_edge_trim_v3,34.0,78,7016.1,1,301416,0.3838,,,,
B000011439,인천디자인고등학교,exact_edge_trim_v3,41.1,92,8918.6,1,370122,0.4713,,,,
B000012288,백석고등학교,exact_edge_trim_v3,42.2,16,2468.7,1,151356,0.1927,,,,
B000008870,신현여자중학교,exact_edge_trim_v3,71.3,39,4079.5,1,199187,0.2536,,,,
B000008841,인천논현중학교,exact_edge_trim_v3,59.2,32,4416.4,1,245241,0.3123,,,,
B000011417,인천여자상업고등학교,exact_edge_trim_v3,9.8,74,7881.0,1,391560,0.4985,,,,
B000008833,남동중학교,exact_edge_trim_v3,52.5,16,2609.0,1,153295,0.1952,,,,
B000012264,인천상정고등학교,exact_edge_trim_v3,77.8,29,3479.6,1,221334,0.2818,,,,
B000008774,용현중학교,exact_edge_trim_v3,28.9,16,2591.8,1,151380,0.1927,,,,
B000008776,관교여자중학교,exact_edge_trim_v3,36.3,50,6083.1,1,273464,0.3482,,,,
B000008822,인천해송중학교,exact_edge_trim_v3,78.7,16,2920.9,1,175029,0.2229,,,,
B000008837,인천정각중학교,exact_edge_trim_v3,56.6,17,3188.0,1,194085,0.2471,,,,
B000011432,인천생활과학고등학교,exact_edge_trim_v3,49.6,51,6745.5,1,265561,0.3381,,,,
B000012267,부평여자고등학교,exact_edge_trim_v3,70.7,31,3616.5,1,216719,0.2759,,,,
B000008796,부평여자중학교,exact_edge_trim_v3,27.5,57,3646.4,1,148324,0.1889,,,,
B000012229,인일여자고등학교,exact_edge_trim_v3,106.7,48,4655.2,1,217607,0.2771,,,,
B000012248,송도고등학교,exact_edge_trim_v3,48.4,17,1448.1,1,70475,0.0897,,,,
B000008865,제물포중학교,exact_edge_trim_v3,64.9,62,5909.0,1,278190,0.3542,,,,
B000008766,인성여자중학교,exact_edge_trim_v3,47.3,75,8947.0,1,361226,0.4599,,,,
B000008855,인천동양중학교,exact_edge_trim_v3,33.0,50,4681.6,1,192532,0.2451,,,,
B000008820,옥련중학교,exact_edge_trim_v3,32.4,148,10902.3,1,420550,0.5355,,,,
B000008824,동인천중학교,exact_edge_trim_v3,37.2,124,9687.1,1,413154,0.526,,,,
B000012281,인천세원고등학교,exact_edge_trim_v3,83.7,44,4227.9,1,231256,0.2944,,,,
B000008860,명현중학교,exact_edge_trim_v3,42.7,39,4797.3,1,288677,0.3676,,,,
B000008793,부평서중학교,exact_edge_trim_v3,72.3,45,4836.0,1,228637,0.2911,,,,
B000008799,부평서여자중학교,exact_edge_trim_v3,46.6,74,5696.8,1,245942,0.3131,,,,
B000008819,함박중학교,exact_edge_trim_v3,34.8,64,5043.7,1,227371,0.2895,,,,
B000011429,인천해양과학고등학교,exact_edge_trim_v3,42.1,13,2497.5,1,176779,0.2251,,,,
B000008849,계산여자중학교,exact_edge_trim_v3,7.9,115,9748.1,1,363630,0.463,,,,
