시설명,gu,주소,위도,경도,시설유형,geo_src
전재울근린공원(유아숲),남동구,인천광역시 남동구 구월동 1501,37.449345,126.7080835,놀이터,nominatim
성리어린이공원(물놀이장),남동구,인천광역시 남동구 구월동 1495,37.449345,126.7080835,놀이터,nominatim
찬우물근린공원,남동구,인천광역시 남동구 구월동 1522,37.449345,126.7080835,놀이터,nominatim
무지개어린이공원-1,남동구,인천광역시 남동구 구월동 1509,37.449345,126.7080835,놀이터,nominatim
큰구월어린이공원,남동구,인천광역시 남동구 구월1동 1196-4,37.447919,126.7096663,놀이터,nominatim
만월어린이공원,남동구,인천광역시 남동구 구월1동 1229-2,37.447919,126.7096663,놀이터,nominatim
작은성말어린이공원,남동구,인천광역시 남동구 구월1동 1192-7,37.447919,126.7096663,놀이터,nominatim
구월어린이공원(물놀이장),남동구,인천광역시 남동구 구월동 1246,37.449345,126.7080835,놀이터,nominatim
지상어린이공원,남동구,인천광역시 남동구 구월동 1341-9,37.449345,126.7080835,놀이터,nominatim
반월어린이공원,남동구,인천광역시 남동구 구월동 1390,37.449345,126.7080835,놀이터,nominatim
구월예술어린이공원,남동구,인천광역시 남동구 구월동 1377-5,37.449345,126.7080835,놀이터,nominatim
구월문화어린이공원,남동구,인천광역시 남동구 구월동 1350,37.449345,126.7080835,놀이터,nominatim
장다리어린이공원,남동구,인천광역시 남동구 구월동 1102-14,37.449345,126.7080835,놀이터,nominatim
큰성말어린이공원,남동구,인천광역시 남동구 구월동 1163,37.449345,126.7080835,놀이터,nominatim
붉은고개어린이공원,남동구,인천광역시 남동구 구월동 1093,37.449345,126.7080835,놀이터,nominatim
모래내어린이공원,남동구,인천광역시 남동구 구월동 1258-4,37.449345,126.7080835,놀이터,nominatim
작은구월어린이공원(물놀이장),남동구,인천광역시 남동구 구월동 1281-8,37.449345,126.7080835,놀이터,nominatim
남동문화근린공원(유아숲),남동구,인천광역시 남동구 구월동 643-3,37.449345,126.7080835,놀이터,nominatim
만수천어린이공원,남동구,인천광역시 남동구 만수동 929,37.45291,126.73583,놀이터,nominatim
하촌어린이공원,남동구,인천광역시 남동구 만수동 969,37.45291,126.73583,놀이터,nominatim
새골어린이공원,남동구,인천광역시 남동구 만수동 1005-1,37.45291,126.73583,놀이터,nominatim
쇄판어린이공원,남동구,인천광역시 남동구 만수3동 845-1,37.4658757,126.7266343,놀이터,nominatim
인수어린이공원,남동구,인천광역시 남동구 만수4동 69,37.4568454,126.7371342,놀이터,nominatim
