gu_name,r3_repr,r5_repr,r3_cv,r5_cv,r3_mean,r5_mean,r3_n,r5_n
강화군,1.0296,1.136057,0.0496,0.0581,1.084617,1.194319,9,7
계양구,0.924069,0.919487,0.0293,0.0295,0.942329,0.935592,9,7
남동구,0.808781,0.770368,0.1006,0.1295,1.001252,1.033802,9,7
동구,0.906288,0.880238,0.0524,0.0433,0.924274,0.897584,9,7
미추홀구,1.088426,1.164699,0.0484,0.0427,1.089181,1.171432,9,7
부평구,1.049283,1.064384,0.0519,0.0484,1.016182,1.040354,9,7
서구,1.2589,1.456201,0.0609,0.0619,1.200858,1.388702,9,7
연수구,1.14338,1.3619,0.0756,0.0959,1.232515,1.481426,9,7
옹진군,0.766353,0.752182,0.1117,0.1124,0.961207,0.969294,9,7
중구,1.261891,1.531991,0.0473,0.0354,1.246238,1.515756,9,7
