gu,total_school_count,case_type_1_count,case_type_2_count,case_type_3_count,case_type_4_count,avg_iso_park_count,avg_access_ratio,avg_gap_count,priority_score_3plus_count,iso_park_count_0_count
강화군,20,0,0,0,0,0.3,0.1,-0.818,0,16
계양구,27,0,8,14,5,2.0,0.668,-0.308,8,2
남동구,39,0,9,16,14,3.0,0.595,1.16,9,4
동구,8,1,4,2,1,1.75,0.719,-0.472,5,1
미추홀구,23,1,10,7,5,2.043,0.514,-0.329,11,5
부평구,42,4,13,14,11,2.048,0.444,-0.419,17,10
서구,53,3,16,17,17,1.717,0.54,-0.379,19,12
연수구,34,2,8,6,18,2.559,0.597,0.373,10,4
옹진군,10,0,0,0,0,0.0,0.0,-1.132,0,10
중구,16,6,0,1,9,2.688,0.703,1.698,6,6
