학교ID,학교명,gu,has_large_apt,old_has_large_apt
B000025246,인천미송초등학교,연수구,False,True
B000003012,인천후정초등학교,부평구,False,True
B000025248,인천은송초등학교,연수구,False,True
B000025512,인천용학초등학교,미추홀구,False,True
B000025222,인천현송초등학교,연수구,False,True
B000026504,인천송담초등학교,연수구,False,True
B000025210,인천연송초등학교,연수구,False,True
B000003101,인천인동초등학교,남동구,False,True
B000003153,인천완정초등학교,서구,True,False
B000003161,인천금곡초등학교,서구,False,True
B000025196,인천장서초등학교,남동구,False,True
B000003045,인천한길초등학교,부평구,False,True
B000025206,인천새봄초등학교,연수구,False,True
B000003033,인천부마초등학교,부평구,False,True
B000003009,인천대정초등학교,부평구,False,True
B000003048,인천명선초등학교,연수구,False,True
B000002975,인천용현남초등학교,미추홀구,False,True
B000003027,인천부원초등학교,부평구,False,True
B000003051,인천능허대초등학교,연수구,False,True
B000003035,인천산곡남초등학교,부평구,False,True
B000003019,인천부광초등학교,부평구,False,True
B000003042,인천마장초등학교,부평구,False,True
B000002989,인천주안남초등학교,미추홀구,False,True
B000003032,인천산곡초등학교,부평구,False,True
B000003076,인천상아초등학교,남동구,False,True
B000003155,인천목향초등학교,서구,False,True
B000003073,인천정각초등학교,남동구,False,True
B000003151,인천능내초등학교,서구,False,True
B000003080,인천동부초등학교,남동구,False,True
B000003011,인천갈산초등학교,부평구,False,True
B000003093,인천석천초등학교,남동구,False,True
B000003029,인천부평동초등학교,부평구,True,False
B000003053,인천중앙초등학교,연수구,False,True
B000003147,인천신현북초등학교,서구,False,True
B000025751,인천경연초등학교,서구,False,True
