유치원명,설립유형,주소,위도,경도,인가총정원수,만3세원아수,만4세원아수,만5세원아수,혼합원아수,총원아수
갑룡초등학교병설유치원,공립(병설),인천광역시 강화군 갑룡길 88,37.74482666,126.5026254,49,8,14,15,0,37
강화유치원,사립(법인),인천광역시 강화군 관청길10번길 7,37.74991928,126.4873368,80,6,17,18,0,41
강화초등학교병설유치원,공립(병설),인천광역시 강화군 북문길 36,37.75122294,126.4853914,14,0,0,0,3,3
교동초등학교병설유치원,공립(병설),인천광역시 강화군 대룡안길29번길 29,37.78345083,126.284159,14,0,0,0,6,6
내가초등학교병설유치원,공립(병설),인천광역시 강화군 강화서로 264,37.72159668,126.3902864,14,0,0,0,8,8
대월초등학교병설유치원,공립(병설),인천광역시 강화군 대월로 216,37.76177001,126.4897098,14,0,0,0,4,4
마니산유치원,공립(단설),인천광역시 강화군 강화남로 510-1,37.65365313,126.4376274,79,6,17,19,0,42
명신초등학교병설유치원,공립(병설),인천광역시 강화군 강화서로560번길 22,37.74460985,126.3896781,14,0,0,0,1,1
삼산초등학교병설유치원,공립(병설),인천광역시 강화군 삼산북로 451,37.70380877,126.3217336,16,0,0,0,4,4
선원초등학교병설유치원,공립(병설),인천광역시 강화군 강화동로 924,37.71537215,126.4794419,45,3,8,12,0,23
송해초등학교병설유치원,공립(병설),인천광역시 강화군 전망대로 93-12,37.7704293,126.4592289,14,0,0,0,5,5
양사초등학교병설유치원,공립(병설),인천광역시 강화군 덕하로 145,37.80450143,126.420566,14,0,0,0,1,1
잠두유치원,사립(법인),인천광역시 강화군 청하동길 36,37.74489516,126.4819209,110,15,14,20,0,49
코끼리유치원,사립(법인),인천광역시 강화군 충렬사로 52-2,37.73687764,126.4821144,132,28,25,36,0,89
하점초등학교병설유치원,공립(병설),인천광역시 강화군 강화대로 1190,37.77415761,126.4129788,14,0,0,0,6,6
합일초등학교병설유치원,공립(병설),인천광역시 강화군 합일길 3,37.74485437,126.48246,14,0,0,0,5,5
해명초등학교병설유치원,공립(병설),인천광역시 강화군 삼산남로 345,37.6682981,126.3621342,14,0,0,0,2,2
건영유치원,사립(법인),인천광역시 미추홀구 인하로221번길 19,37.4493506,126.6725892,215,45,73,85,0,203
국현유치원,사립(사인),인천광역시 미추홀구 미추홀대로597번길 42,37.45101979,126.6772203,229,56,57,65,0,178
그림나라유치원,사립(사인),인천광역시 미추홀구 소성로332번길 10,37.4370892,126.6838196,160,27,27,34,0,88
금호유치원,사립(사인),인천광역시 미추홀구 매소홀로 54,37.45034214,126.6318707,142,41,46,55,0,142
노벨유치원,사립(사인),인천광역시 미추홀구 낙섬중로 74,37.45422759,126.6397403,105,18,22,30,0,70
다솜유치원,사립(사인),인천광역시 미추홀구 학익소로23번길 11,37.44559584,126.6697987,49,12,12,18,0,42
대청초등학교병설유치원,공립(병설),인천광역시 옹진군 대청로244번길 110,37.83288072,124.6959348,14,0,0,0,6,6
덕적초등학교병설유치원,공립(병설),인천광역시 옹진군 덕적남로 15,37.22577495,126.1475736,14,0,0,0,5,5
도담유치원,사립(사인),인천광역시 미추홀구 인하로 319,37.4481313,126.6837682,140,0,0,0,0,0
동원유치원,사립(사인),인천광역시 미추홀구 인하로235번길 27,37.44958034,126.6741201,270,48,52,82,0,182
뒤나미스유치원,사립(사인),인천광역시 중구 오작로 116,37.49963413,126.5670097,418,100,130,140,0,370
무지개유치원,사립(사인),인천광역시 중구 눈돌로 35,37.49210783,126.4844801,244,69,75,83,0,227
미주유치원,사립(사인),인천광역시 미추홀구 석정로461번길 19,37.46709427,126.6865693,200,38,57,73,0,168
밀알유치원,사립(법인),인천광역시 미추홀구 장고개로42번길 42,37.4700519,126.6689975,221,67,78,74,0,219
박문유치원,사립(법인),인천광역시 중구 우현로50번길 2,37.47108306,126.629934,168,0,0,0,146,146
반디유치원,사립(사인),인천광역시 미추홀구 매소홀로 340,37.44070696,126.6575763,171,40,52,56,0,148
백령성모유치원,사립(법인),인천광역시 옹진군 백령로254번길 66,37.97278615,124.7198468,70,0,0,0,13,13
북포초등학교병설유치원,공립(병설),인천광역시 옹진군 가을길 117,37.95881414,124.6608253,18,0,0,3,0,3
산새소리유치원,사립(사인),인천광역시 동구 송림로117번길 6,37.47713351,126.6477041,217,1,5,13,0,19
성바오로유치원,사립(법인),인천광역시 미추홀구 경인남길102번길 50,37.4523731,126.6598523,210,0,0,0,127,127
세종유치원,사립(사인),인천광역시 미추홀구 낙섬서로 77,37.45593735,126.637624,107,21,54,30,0,105
소명유치원,사립(사인),인천광역시 미추홀구 낙섬동로 71-1,37.45218468,126.6410398,180,40,48,75,0,163
솔빛유치원,사립(사인),인천광역시 동구 화수로 2,37.48030616,126.636645,168,36,23,44,0,103
솔샘유치원,사립(사인),인천광역시 미추홀구 석산로 38,37.4618494,126.696396,156,36,59,44,0,139
송현유치원,사립(사인),인천광역시 동구 화수로 40,37.48337539,126.6348183,234,20,32,44,0,96
숭의유치원,사립(법인),인천광역시 미추홀구 독배로 485,37.46064213,126.6450328,88,27,21,28,0,76
신동아유치원,사립(사인),인천광역시 미추홀구 매소홀로475번길 18,37.4410578,126.676924,150,2,9,6,0,17
연평초등학교병설유치원,공립(병설),인천광역시 옹진군 연평로137번길 101,37.66432188,125.7012726,14,0,0,0,11,11
연흥유치원,사립(사인),인천광역시 미추홀구 석정로434번길 12,37.46576282,126.6832797,146,25,36,21,0,82
영종유치원,공립(단설),인천광역시 중구 백운로 57-25,37.49918613,126.5500423,192,44,64,72,0,180
