시도,시군구,도로명주소,단지명,단지코드,세대수,X좌표,Y좌표,matched_point_count
인천광역시,중구,인천광역시 중구 축항대로86번길 47,라이프비취3차,50252,608,165231.901,539161.9526,1
인천광역시,중구,인천광역시 중구 축항대로 234,연안아파트,5430,694,166449.257,538978.6293,1
인천광역시,중구,인천광역시 중구 인항로 30,신흥아이파크,5440,1330,167512.7775,539652.30545,2
인천광역시,중구,인천광역시 중구 은하수로 380,영종하늘도시KCC스위첸,20394688,752,160364.25819999998,543736.3927,2
인천광역시,중구,인천광역시 중구 하늘별빛로 111,스카이시티자이,20374040,1034,160945.6016,543513.1643,1
인천광역시,중구,인천광역시 중구 숲쟁이로 12,e편한세상영종하늘도시,20374470,577,159456.21214999998,543246.43055,4
인천광역시,동구,인천광역시 동구 화도진로 187,만석비치타운주공,5460,624,166491.6374,543050.5938,1
인천광역시,동구,인천광역시 동구 화도진로 187,만석비치타운,218616,649,166491.6374,543050.5938,1
인천광역시,동구,인천광역시 동구 인중로 653,송현주공,5475,575,167711.4328,542650.1503,1
인천광역시,동구,인천광역시 동구 화수로 38,동부,5469,1140,167711.4328,542650.1503,1
인천광역시,동구,인천광역시 동구 새천년로38번길 11,동산휴먼시아2단지,20133613,863,169046.4096,541621.3257,1
인천광역시,미추홀구,인천광역시 미추홀구 아암대로29번길 13,용현대우,5498,616,167982.5747,539912.9257,1
인천광역시,미추홀구,인천광역시 미추홀구 낙섬동로 9,금호타운,5479,1170,167456.0788,538950.4552,1
인천광역시,미추홀구,인천광역시 미추홀구 소성로 120,동아풍림,5545,1480,170141.419,538148.5369,1
인천광역시,미추홀구,인천광역시 미추홀구 매소홀로 340,풍림아이원,20089840,2090,169969.79575,537923.72505,2
인천광역시,미추홀구,인천광역시 미추홀구 매소홀로309번길 32,엑슬루타워,20131499,707,169907.0817,538371.3163,1
인천광역시,미추홀구,인천광역시 미추홀구 인하로298번길 33,진흥,5625,828,171852.2907,538722.1766,1
인천광역시,미추홀구,인천광역시 미추홀구 경원대로 884,월드스테이트,20095493,961,172797.29916666666,540219.5414999999,3
인천광역시,미추홀구,인천광역시 미추홀구 경원대로 884,월드스테이트,20095494,1696,172797.29916666666,540219.5414999999,3
인천광역시,미추홀구,인천광역시 미추홀구 경원대로864번길 114,월드스테이트,20095495,503,172797.29916666666,540219.5414999999,3
인천광역시,미추홀구,인천광역시 미추홀구 경원대로 717,관교한신휴플러스,20125298,1509,172300.95805000002,538613.0667,2
인천광역시,연수구,인천광역시 연수구 독배로 58,현대2차아파트,9668,1180,168705.0215,536379.3410499999,2
인천광역시,연수구,인천광역시 연수구 한나루로105번길 68,현대4,9670,1011,169192.30695,536326.2542,2
인천광역시,연수구,인천광역시 연수구 선학로 100,금호타운,9619,540,169508.5052,532541.38855,2
인천광역시,연수구,인천광역시 연수구 원인재로 312,경남,9629,620,172948.8103,535788.3631,1
인천광역시,연수구,인천광역시 연수구 원인재로 300,대림,9631,640,173008.6809,535753.7411,1
인천광역시,연수구,인천광역시 연수구 원인재로 315,연수주공1차,20106432,1654,172348.9706,535059.3844000001,2
인천광역시,연수구,인천광역시 연수구 먼우금로 302,유천,9643,788,172096.3457,535941.4373,1
인천광역시,연수구,인천광역시 연수구 새말로 111,영남,9639,622,171963.7657,535640.9996,1
인천광역시,연수구,인천광역시 연수구 새말로 154,주공3,9646,1170,168274.44542,534250.4968000001,5
인천광역시,연수구,인천광역시 연수구 벚꽃로 172,대동,9630,768,172029.0965,534957.6811,1
인천광역시,연수구,인천광역시 연수구 원인재로 180,우성2,9641,2044,171990.7552,534839.0126,1
인천광역시,연수구,인천광역시 연수구 청능대로 175,우성1,9640,1088,171783.1715,534535.3786,1
인천광역시,연수구,인천광역시 연수구 용담로 3,시대,257861,916,170755.3396,536090.2781,1
인천광역시,연수구,인천광역시 연수구 용담로 25,용담마을,9682,500,170909.9425,535915.8194,1
인천광역시,연수구,인천광역시 연수구 원인재로 14,무지개마을,9604,1068,170981.471,533650.6038,1
인천광역시,연수구,인천광역시 연수구 먼우금로 19,동남,9618,1350,170590.4722,533776.0203,1
인천광역시,연수구,인천광역시 연수구 앵고개로104번길 22,송도파크자이,20387319,1023,168305.12935,532941.5786,2
인천광역시,연수구,인천광역시 연수구 신송로118번길 6,송도풍림아이원1단지,20009222,1024,169529.07365,532954.0595,2
인천광역시,연수구,인천광역시 연수구 신송로82번길 6,송도풍림아이원4단지,448861,504,169690.39265,532690.8168500001,2
