도서관명,유형,구,위도,경도,장서수,열람좌석수,평일운영,휴관일,기준일,좌표출처
강화도서관,공공,강화군,37.7488047,126.4831601,85849,241,09:00~22:00,월,2026-04-30,원본
내가도서관,공공,강화군,37.7193494,126.3898462,17837,60,09:00~18:00,금,2026-04-30,원본
지혜의숲도서관,공공,강화군,37.72281752,126.4830801,22025,82,09:00~22:00,금,2026-04-30,원본
계양도서관,공공,계양구,37.5460036103084,126.730110081149,211481,606,06:00~22:00,매주화요일+법정공휴일,2026-02-09,지오코딩
동양도서관,공공,계양구,37.561924,126.757834,50477,393,06:00~22:00,월,2026-05-19,원본
별똥별어린이도서관,공공,계양구,37.529267,126.70576,15093,48,09:00~22:00,금,2026-05-19,원본
서운도서관,공공,계양구,37.526429,126.743024,43297,174,06:00~22:00,월,2026-05-19,원본
인천광역시교육청계양도서관,공공,계양구,37.54600361,126.7301101,205385,606,06:00~22:00,화+국가지정공휴일,2025-08-07,원본
임학도서관,공공,계양구,37.544347,126.736191,20884,109,06:00~22:00,금,2026-05-19,원본
작전도서관,공공,계양구,37.533007,126.737729,45734,374,06:00~22:00,금,2026-05-19,원본
효성도서관,공공,계양구,37.529137,126.715058,51383,281,06:00~22:00,월,2026-05-19,원본
간석3동어린이도서관,공공,남동구,37.46611169,126.714682,39881,80,09:00~18:00,월+국가지정 공휴일,2026-03-16,원본
남동논현도서관,공공,남동구,37.40243916,126.7264659,54860,333,08:00~22:00,금+국가지정 공휴일,2026-03-16,원본
논현도서관,공공,남동구,37.4024391618622,126.726465928329,46716,36,08:00~22:00,매주금요일+법정공휴일,2026-02-09,지오코딩
만수2동어린이도서관,공공,남동구,37.4613894,126.7311617,35390,65,09:00~18:00,월+국가지정 공휴일,2026-03-16,원본
서창도서관,공공,남동구,37.4363253,126.7462252,89858,183,08:00~22:00,월+국가지정 공휴일,2026-03-16,원본
소래도서관,공공,남동구,37.39318223,126.7231934,118513,150,08:00~22:00,월+국가지정 공휴일,2026-03-16,원본
