관리번호,공원명,공원구분,위도,경도,공원면적,gu,시설유형,park_function_class,park_function_label,park_function_basis
28260-00043,산들바람공원,근린공원,37.60345169,126.7076502,63663.4,서구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상"
28260-00042,아라보타닉파크,근린공원,37.59694362,126.7057071,88897.2,서구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상"
28260-00041,약수공원,근린공원,37.58813039,126.6597086,95261.0,서구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상"
28260-00040,검단중앙공원,근린공원,37.58952551,126.6625746,587601.0,서구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상"
28245-00039,새벌공원,근린공원,37.530225,126.698672,131302.0,계양구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상"
28260-00038,마전근린공원,근린공원,37.59770496,126.6604742,113000.0,서구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상"
28185-00037,무주골공원,근린공원,37.43211381,126.6967883,850681.0,연수구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상"
28185-00036,청솔공원,근린공원,37.4315716,126.6654368,301671.0,연수구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상"
28237-00035,함봉공원(1단계),근린공원,37.48736071,126.7023195,55945.0,부평구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상"
28200-00033,장아산공원,근린공원,37.42468786,126.7533244,333049.0,남동구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상"
28260-00032,장고개근린공원,근린공원,37.49474058,126.6911607,25399.8,서구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상"
28260-00031,경명공원,근린공원,37.5508632,126.6696767,24357.0,서구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상"
28260-00030,연희근린공원,근린공원,37.54285215,126.6628278,1032165.5,서구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상"
28245-00029,계양근린공원,근린공원,37.550131,126.7233835,344582.8,계양구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상"
