관리번호,공원명,공원구분,위도,경도,공원면적,gu,nearest_school,nearest_school_dist_m
28260-00043,산들바람공원,근린공원,37.60345169,126.7076502,63663.4,서구,인천한별초등학교,681.33
28260-00042,아라보타닉파크,근린공원,37.59694362,126.7057071,88897.2,서구,인천한별초등학교,92.93
28260-00041,약수공원,근린공원,37.58813039,126.6597086,95261.0,서구,인천백석초등학교,1079.42
28260-00040,검단중앙공원,근린공원,37.58952551,126.6625746,587601.0,서구,인천백석초등학교,810.8
28245-00039,새벌공원,근린공원,37.530225,126.698672,131302.0,계양구,인천효성서초등학교,248.88
28260-00038,마전근린공원,근린공원,37.59770496,126.6604742,113000.0,서구,인천완정초등학교,343.94
28185-00037,무주골공원,근린공원,37.43211381,126.6967883,850681.0,연수구,인천승학초등학교,920.17
28185-00036,청솔공원,근린공원,37.4315716,126.6654368,301671.0,연수구,인천송도초등학교,806.43
28237-00035,함봉공원(1단계),근린공원,37.48736071,126.7023195,55945.0,부평구,인천신촌초등학교,395.76
28200-00033,장아산공원,근린공원,37.42468786,126.7533244,333049.0,남동구,인천장아초등학교,37.86
28260-00032,장고개근린공원,근린공원,37.49474058,126.6911607,25399.8,서구,인천가정초등학교,418.35
28260-00031,경명공원,근린공원,37.5508632,126.6696767,24357.0,서구,인천서곶초등학교,336.09
28260-00030,연희근린공원,근린공원,37.54285215,126.6628278,1032165.5,서구,인천서곶초등학교,802.92
28245-00029,계양근린공원,근린공원,37.550131,126.7233835,344582.8,계양구,인천계산초등학교,721.99
28110-00028,월미공원,근린공원,37.47110094,126.6038829,590614.0,중구,인성초등학교,1828.91
28185-00027,청능공원,근린공원,37.41649929,126.6693184,224955.0,연수구,인천청학초등학교,398.24
28185-00026,장미공원,근린공원,37.42663202,126.6778426,1025454.0,연수구,인천함박초등학교,268.18
28170-00025,문학공원,근린공원,37.43657703,126.6722983,209546.0,미추홀구,인천백학초등학교,262.06
28110-00024,남항공원,근린공원,37.43526306,126.6286205,95000.0,중구,인천신선초등학교,1791.86
28170-00023,중앙공원,근린공원,37.44078785,126.6986523,351770.8,미추홀구,인천승학초등학교,190.13
28200-00022,소래습지생태공원,근린공원,37.40736572,126.7463366,1511706.0,남동구,인천소래초등학교,1109.05
28237-00021,십정공원,근린공원,37.47976933,126.7062528,110051.0,부평구,인천백운초등학교,126.67
28237-00020,원적산공원,근린공원,37.51289785,126.6933776,215172.0,부평구,인천마곡초등학교,407.82
28237-00019,부평공원,근린공원,37.48934791,126.7146464,113123.0,부평구,인천부평남초등학교,496.48
28200-00018,인천대공원,근린공원,37.45859492,126.7519687,2665463.9,남동구,인천조동초등학교,1106.78
28260-00019,노을공원,근린공원,37.53320392,126.6130722,225188.2,서구,인천경연초등학교,1299.31
28260-00018,해변공원,근린공원,37.53854418,126.6155453,189769.9,서구,인천경연초등학교,942.79
28260-00014,청라호수공원,근린공원,37.5306152,126.6362978,690573.9,서구,인천청일초등학교,177.54
28110-00013,박석공원,근린공원,37.4990143,126.5632013,351889.5,중구,인천하늘초등학교,479.63
28110-00012,은골공원,근린공원,37.48574899,126.4952777,392450.4,중구,인천공항초등학교,1064.66
28110-00011,씨사이드파크,근린공원,37.47860421,126.5571779,1770719.2,중구,인천영종초등학교,1157.01
28185-00014,랜드마크시티 18 근린공원,근린공원,37.4268815,126.6300593,77873.0,연수구,인천은송초등학교,1437.49
28185-00013,랜드마크시티 17 근린공원,근린공원,37.39593939,126.6252889,60158.0,연수구,인천현송초등학교,492.31
28185-00012,랜드마크시티 3호 근린공원,근린공원,37.40831042,126.6208499,81848.7,연수구,인천송담초등학교,562.26
28185-00010,글로벌파크,근린공원,37.3762118,126.6594509,87033.0,연수구,인천송명초등학교,354.91
28185-00009,솔찬공원,근린공원,37.3725361,126.6278979,157445.0,연수구,인천송일초등학교,1443.32
28185-00007,달빛공원,근린공원,37.39543995,126.6593123,862486.0,연수구,인천먼우금초등학교,511.83
28185-00006,신송공원,근린공원,37.39049361,126.6584207,38920.0,연수구,인천신송초등학교,59.91
28185-00005,새아침공원,근린공원,37.39798134,126.6536494,104709.0,연수구,인천먼우금초등학교,521.03
28185-00004,미추홀공원,근린공원,37.38238717,126.6494992,160099.0,연수구,인천해송초등학교,165.01
28185-00003,해돋이공원,근린공원,37.38582193,126.6590477,210468.0,연수구,인천신송초등학교,547.0
28185-00002,센트럴파크,근린공원,37.39036508,126.6435679,370750.0,연수구,인천신정초등학교,777.19
28185-00022,효정공원,어린이공원,37.42318112,126.6719376,5994.0,연수구,인천청학초등학교,379.55
28185-00021,함박공원,어린이공원,37.4222546,126.6810562,5028.0,연수구,인천문남초등학교,209.67
28185-00020,부수지공원,근린공원,37.40810006,126.6778858,19001.3,연수구,인천연성초등학교,140.62
28185-00019,동막공원,근린공원,37.403544,126.6737375,10000.1,연수구,인천동막초등학교,90.94
