격자코드,total_pop,child_pop_0_5,child_pop_6_12
나사4063,68,0,0
나사4064,13,0,0
나사4065,0,0,0
나사4158,144,5,8
나사4163,565,9,6
나사4164,1026,20,15
나사4165,19,0,0
나사4258,5,0,0
나사4264,41,0,0
나사4265,226,9,9
나사6411,23,0,0
나사7300,5,0,0
나사7516,23,0,0
나사7608,28,0,0
나사7609,63,0,0
나사7614,5,0,0
나사7615,43,0,0
나사7616,108,0,2
나사7618,63,0,0
나사7714,231,0,2
나사7715,38,0,0
나사7716,8,0,0
나사7717,128,0,2
나사7718,8,0,0
나사7813,0,0,0
나사7815,53,0,0
나사7816,5,0,0
나사7913,23,0,2
나사7914,173,0,2
나사7915,193,5,7
나사7916,13,0,0
나사7966,8,0,0
나사8014,0,0,0
나사8015,133,0,7
나사8114,93,0,2
나사8213,188,5,7
나사8214,28,0,4
나사8264,8,0,0
나사8364,33,0,0
나사8463,8,0,0
나사8464,43,0,0
나사8465,5,0,0
나사8563,78,0,2
나사8564,73,0,0
나사8609,23,0,0
나사8610,18,0,0
나사8761,18,0,0
나사8762,8,0,0
나사8763,33,0,0
나사8769,5,0,0
나사8774,68,0,2
나사8775,53,0,2
나사8776,33,0,0
나사8809,48,0,0
나사8810,8,0,0
나사8861,63,0,2
나사8862,53,0,4
나사8869,43,0,0
나사8870,13,0,0
나사8873,8,0,0
나사8874,63,0,0
나사8875,158,0,2
나사8876,5,0,0
나사8877,108,0,0
나사8878,13,0,0
나사8879,5,0,0
나사8908,38,0,2
나사8909,154,0,4
나사8960,13,0,0
나사8961,128,0,0
나사8962,23,0,0
나사8974,18,0,0
나사8975,93,0,0
나사8978,5,0,0
나사8979,123,5,0
나사8980,5,0,0
나사9008,5,0,0
나사9009,0,0,0
나사9074,0,0,0
나사9075,139,5,2
나사9077,28,0,2
나사9078,123,5,0
나사9079,78,5,0
나사9106,5,0,0
나사9107,78,0,2
나사9170,13,0,0
나사9171,0,0,0
나사9177,78,5,0
나사9178,58,0,0
나사9180,53,0,0
나사9208,33,0,0
나사9218,73,0,0
나사9219,33,5,0
나사9267,13,0,0
나사9275,58,5,0
나사9276,318,8,7
나사9277,23,0,0
나사9308,188,0,2
나사9317,38,0,0
나사9318,93,0,2
나사9367,78,5,2
나사9368,33,0,0
나사9369,5,0,0
나사9370,73,0,2
나사9371,5,0,0
나사9374,33,0,2
나사9375,158,5,0
나사9376,13,0,0
나사9377,143,5,0
나사9378,5,0,0
나사9407,5,0,0
나사9408,0,0,0
나사9417,158,0,0
나사9418,63,0,0
나사9466,43,0,2
나사9467,88,5,2
나사9468,8,0,0
나사9469,18,0,0
나사9470,48,0,0
나사9471,23,0,0
나사9472,18,0,0
나사9474,13,0,0
나사9475,33,0,2
나사9476,5,0,0
나사9477,63,0,0
나사9478,38,0,0
나사9507,5,0,0
나사9508,5,0,0
나사9517,178,0,0
나사9518,5,0,0
나사9565,68,5,0
나사9566,18,0,0
나사9567,108,5,2
나사9568,8,0,0
나사9571,78,0,0
나사9572,5,0,0
나사9575,18,0,0
나사9576,48,0,0
나사9577,108,0,0
나사9578,43,5,0
나사9617,33,0,0
나사9618,13,0,0
나사9648,8,0,0
나사9649,43,0,0
나사9650,63,0,2
나사9662,38,0,4
나사9665,48,0,0
나사9666,8,0,0
나사9667,183,5,4
나사9668,8,0,0
나사9671,13,0,0
나사9673,8,0,0
나사9676,13,0,0
나사9677,38,0,0
나사9678,18,0,0
나사9706,5,0,0
나사9748,278,0,7
나사9749,58,0,0
나사9750,73,0,0
나사9761,58,0,0
나사9762,63,0,2
나사9763,8,0,0
나사9764,93,0,0
나사9765,0,0,0
나사9766,18,0,0
나사9767,8,0,0
나사9848,23,0,0
나사9861,8,0,0
나사9862,0,0,0
나사9863,113,0,4
나사9864,13,0,0
나사9865,0,0,0
나사9866,48,0,0
나사9868,23,0,0
나사9869,13,5,0
나사9877,18,0,0
나사9940,98,0,4
나사9941,93,0,7
나사9948,18,0,0
나사9963,123,0,0
나사9964,18,0,0
나사9965,83,0,2
나사9966,53,5,4
나사9967,8,0,0
나사9968,133,0,4
