학교ID,학교명,gu,case_type,priority_score,child_pop_quartile,redev_total,outlier_type,rule_based_case_type,ml_case_type,ml_prob_case1,ml_prob_case2,ml_prob_case3,ml_prob_case4,mismatch_flag,mismatch_type
B000002949,인천신흥초등학교,중구,2.0,3.0,Q2,1,normal,2,1,0.4197,0.339,0.1391,0.1022,1,rule_case_vs_ml_case
B000002950,인천신광초등학교,중구,2.0,3.0,Q3,2,normal,2,3,0.2238,0.3276,0.3898,0.0588,1,rule_case_vs_ml_case
B000002951,인천신선초등학교,중구,1.0,4.0,Q2,1,normal,1,2,0.0594,0.6268,0.1497,0.1641,1,rule_case_vs_ml_case
B000002952,인천송월초등학교,중구,4.0,1.0,Q1,2,normal,4,1,0.3802,0.3381,0.2305,0.0511,1,rule_case_vs_ml_case
B000002953,인천운서초등학교,중구,4.0,1.0,Q1,0,normal,4,1,0.4974,0.1784,0.1233,0.2009,1,rule_case_vs_ml_case
B000002954,인천용유초등학교,중구,1.0,4.0,Q1,0,normal,1,1,0.4974,0.1784,0.1233,0.2009,0,match
B000002955,인천연안초등학교,중구,2.0,3.0,Q1,0,normal,2,1,0.4974,0.1784,0.1233,0.2009,1,rule_case_vs_ml_case
B000002956,인천운남초등학교,중구,3.0,2.0,Q1,0,normal,3,1,0.4543,0.1975,0.1349,0.2133,1,rule_case_vs_ml_case
B000002957,인천공항초등학교,중구,4.0,1.0,Q2,0,normal,4,4,0.1631,0.2369,0.2608,0.3392,0,match
B000002958,인천삼목초등학교,중구,2.0,3.0,Q1,0,normal,2,1,0.556,0.1177,0.1631,0.1633,1,rule_case_vs_ml_case
B000002959,인천영종초등학교,중구,3.0,2.0,Q4,0,normal,3,2,0.1374,0.3385,0.2822,0.2419,1,rule_case_vs_ml_case
B000002960,인성초등학교,중구,3.0,2.0,Q1,1,normal,3,2,0.3522,0.4661,0.0927,0.089,1,rule_case_vs_ml_case
B000002963,인천만석초등학교,동구,2.0,3.0,Q2,0,normal,2,4,0.1695,0.2366,0.2847,0.3091,1,rule_case_vs_ml_case
B000002964,인천송현초등학교,동구,2.0,3.0,Q3,1,normal,2,2,0.0563,0.4368,0.1505,0.3564,0,match
B000002965,인천창영초등학교,동구,2.0,3.0,Q2,1,normal,2,2,0.0594,0.6268,0.1497,0.1641,0,match
B000002966,인천송림초등학교,동구,3.0,2.0,Q4,3,normal,3,3,0.3115,0.2512,0.3991,0.0381,0,match
B000002967,인천서흥초등학교,동구,2.0,3.0,Q3,0,normal,2,4,0.1033,0.1422,0.2895,0.465,1,rule_case_vs_ml_case
B000002968,인천서림초등학교,동구,1.0,4.0,Q3,2,normal,1,3,0.0234,0.2877,0.6415,0.0474,1,rule_case_vs_ml_case
B000002969,인천동명초등학교,동구,2.0,3.0,Q3,1,normal,2,3,0.0967,0.3184,0.338,0.2469,1,rule_case_vs_ml_case
B000002970,영화초등학교,동구,2.0,3.0,Q2,2,normal,2,1,0.5911,0.1443,0.198,0.0666,1,rule_case_vs_ml_case
B000002971,인천숭의초등학교,미추홀구,2.0,3.0,Q3,1,normal,2,3,0.0967,0.3184,0.338,0.2469,1,rule_case_vs_ml_case
