학교ID,학교명,gu,current_students_2025,forecast_2029,forecast_2031,predicted_2029,predicted_2031,cohort_change_2029,cohort_change_2031,selected_model,model_version,validation_scheme,one_year_r2,one_year_mae,mid_term_r2,mid_term_mae
B000003178,갑룡초등학교,강화군,485,409,357,409.0,357.0,0.7235993022063265,0.6106308188765137,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000003179,강화초등학교,강화군,209,114,67,114.0,67.0,0.7235993022063265,0.6106308188765137,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000003192,교동초등학교,강화군,18,3,1,3.0,1.0,0.7235993022063265,0.6106308188765137,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000003173,길상초등학교,강화군,140,64,29,64.0,29.0,0.7235993022063265,0.6106308188765137,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000003188,내가초등학교,강화군,57,52,50,52.0,50.0,0.7235993022063265,0.6106308188765137,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000003177,대월초등학교,강화군,107,91,81,91.0,81.0,0.7235993022063265,0.6106308188765137,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000003186,명신초등학교,강화군,45,39,33,39.0,33.0,0.7235993022063265,0.6106308188765137,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000003183,불은초등학교,강화군,51,27,12,27.0,12.0,0.7235993022063265,0.6106308188765137,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000003190,삼산초등학교,강화군,14,11,7,11.0,7.0,0.7235993022063265,0.6106308188765137,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
B000003184,삼성초등학교,강화군,23,4,2,4.0,2.0,0.7235993022063265,0.6106308188765137,weighted_trend_plus_lgbm_residual,school_enrollment_model1_walk_forward_recursive_20260418,walk_forward_recursive,0.9650573704449353,37.275426877748394,0.9320249602452373,54.83589406969098
