candidate_id,excluded_by_school,exclude_reason,matched_inst_name,matched_inst_type,matched_distance_m,polygon_used,radius_rule_applied
CG_01293,False,,,,,False,
CG_01323,False,,,,,False,
CG_01354,False,,,,,False,
CG_01353,False,,,,,False,
CG_01325,False,,,,,False,
CG_01384,False,,,,,False,
CG_01386,False,,,,,False,
CG_01424,False,,,,,False,
CG_00485,True,inside_polygon,인천신현북초등학교,학교,0.0,True,
CG_00524,False,,,,,False,
CG_00242,False,,,,,False,
CG_00243,False,,,,,False,
CG_00244,False,,,,,False,
CG_01078,False,,,,,False,
CG_01079,False,,,,,False,
CG_01122,False,,,,,False,
CG_01121,False,,,,,False,
CG_01247,False,,,,,False,
CG_01245,False,,,,,False,
CG_01044,False,,,,,False,
CG_01045,False,,,,,False,
CG_01294,False,,,,,False,
CG_01324,False,,,,,False,
CG_01012,False,,,,,False,
CG_01326,False,,,,,False,
CG_00483,False,,,,,False,
CG_01423,False,,,,,False,
CG_01385,False,,,,,False,
CG_01383,False,,,,,False,
CG_01154,False,,,,,False,
CG_01153,False,,,,,False,
CG_01213,False,,,,,False,
CG_01189,False,,,,,False,
CG_01188,False,,,,,False,
CG_01212,True,inside_polygon,정각초등학교,학교,0.0,True,
CG_01214,False,,,,,False,
CG_01187,False,,,,,False,
CG_01411,False,,,,,False,
CG_00336,True,inside_polygon,옥련중학교,학교,0.0,True,
CG_00262,False,,,,,False,
CG_00453,False,,,,,False,
CG_00573,False,,,,,False,
CG_00574,False,,,,,False,
CG_00484,False,,,,,False,
CG_00522,False,,,,,False,
CG_00523,False,,,,,False,
CG_01499,False,,,,,False,
CG_01460,False,,,,,False,
CG_01046,False,,,,,False,
CG_01506,False,,,,,False,
CG_00280,True,inside_polygon,서림초등학교,학교,0.0,True,
CG_00245,False,,,,,False,
CG_00265,False,,,,,False,
CG_00264,False,,,,,False,
CG_00335,False,,,,,False,
CG_00312,False,,,,,False,
CG_00311,False,,,,,False,
CG_01322,False,,,,,False,
CG_01292,False,,,,,False,
CG_01352,False,,,,,False,
CG_01351,False,,,,,False,
CG_01387,False,,,,,False,
CG_01558,False,,,,,False,
CG_01530,False,,,,,False,
CG_01343,False,,,,,False,
CG_01345,False,,,,,False,
CG_01344,False,,,,,False,
CG_01315,True,inside_polygon,인동초등학교,학교,0.0,True,
CG_01316,False,,,,,False,
CG_01221,False,,,,,False,
CG_01222,False,,,,,False,
CG_01167,False,,,,,False,
CG_01195,False,,,,,False,
CG_00969,True,inside_polygon,인천주원초등학교,학교,0.0,True,
CG_00937,False,,,,,False,
CG_01246,False,,,,,False,
CG_01494,False,,,,,False,
CG_01528,False,,,,,False,
CG_01495,False,,,,,False,
CG_01456,False,,,,,False,
CG_01496,False,,,,,False,
CG_00263,False,,,,,False,
CG_01248,False,,,,,False,
CG_01215,False,,,,,False,
CG_00313,False,,,,,False,
CG_00291,False,,,,,False,
CG_00292,False,,,,,False,
CG_00276,False,,,,,False,
CG_00290,True,inside_polygon,능허대초등학교,학교,0.0,True,
CG_00289,False,,,,,False,
CG_00275,False,,,,,False,
CG_00274,False,,,,,False,
CG_00256,False,,,,,False,
CG_01412,False,,,,,False,
CG_01557,False,,,,,False,
CG_01556,False,,,,,False,
CG_01555,False,,,,,False,
