학교ID,학교명,nearest_park_name,nearest_park_dist_m,nearest_park_lat,nearest_park_lon
B000002949,인천신흥초등학교,율목공원_37.470_126.633,722.2,37.47040288,126.6328233
B000002950,인천신광초등학교,도원공원_37.467_126.638,533.7,37.46710636,126.6381621
B000002951,인천신선초등학교,햇님공원_37.451_126.636,796.8,37.451449,126.636003
B000002952,인천송월초등학교,자유공원,247.0,37.4788451419739,126.620399551586
B000002953,인천운서초등학교,용샘공원_37.485_126.512,76.3,37.48459863,126.5122676
B000002954,인천용유초등학교,영종하늘도시 6호_37.474_126.520,13471.8,37.47402974,126.5199439
B000002955,인천연안초등학교,해양광장,620.0,37.4517673879313,126.60497770554
B000002956,인천운남초등학교,운남공원,186.0,37.49088179,126.5310506
B000002957,인천공항초등학교,뒷마루공원_37.491_126.488,105.8,37.49145945,126.4876069
B000002958,인천삼목초등학교,나리공원_37.498_126.483,463.4,37.4978014,126.4834584
B000002959,인천영종초등학교,영종하늘체육공원,235.0,,
B000002960,인성초등학교,자유공원_37.475_126.623,382.2,37.47457949,126.6226894
B000002962,인천영종초등학교금산분교장,근처 공원 없음,,,
B000002963,인천만석초등학교,화수3공원_37.486_126.629,110.6,37.48567321,126.6293667
B000002964,인천송현초등학교,화수13공원_37.480_126.633,182.0,37.48044325,126.633242
B000002965,인천창영초등학교,창영공원_37.471_126.639,43.4,37.47077768,126.6391049
B000002966,인천송림초등학교,솔마루어린이공원,281.0,37.4761662,126.635502
B000002967,인천서흥초등학교,송현공원,208.0,37.47777345,126.639225
B000002968,인천서림초등학교,송현공원_37.478_126.639,728.0,37.47777345,126.639225
B000002969,인천동명초등학교,창영공원_37.471_126.639,650.3,37.47077768,126.6391049
B000002970,영화초등학교,창영공원_37.471_126.639,305.1,37.47077768,126.6391049
B000002971,인천숭의초등학교,주인공원_37.458_126.648,1115.2,37.45811288,126.648439
B000002972,인천용정초등학교,주인공원_37.458_126.648,887.7,37.45811288,126.648439
B000002973,인천용일초등학교,용남공원_37.451_126.666,331.7,37.450646,126.666069
B000002974,인천용현초등학교,용정공원_37.451_126.642,299.0,37.450961,126.6419813
B000002975,인천용현남초등학교,????????,497.0,37.447073,126.642974
B000002976,인천학산초등학교,모리포공원_37.440_126.659,74.1,37.439959,126.659325
B000002977,인천백학초등학교,묵동공원_37.439_126.671,56.9,37.439235,126.6710834
B000002978,인천도화초등학교,수봉공원_37.460_126.664,605.3,37.460187,126.664212
B000002979,인천문학초등학교,관청공원_37.440_126.681,241.4,37.43968751,126.680536
B000002980,인천관교초등학교,관교공원_37.446_126.691,201.4,37.445956,126.6908331
B000002981,인천경원초등학교,비선거리공원_37.461_126.698,73.2,37.4609039,126.6977135
B000002982,인천석암초등학교,주안공원_37.463_126.677,947.1,37.462849,126.676809
B000002983,인천남부초등학교,사미공원_37.450_126.673,305.0,37.45008774,126.6727097
B000002984,인천승학초등학교,중앙공원_37.441_126.699,346.7,37.44078785,126.6986523
B000002985,인천서화초등학교,배말근린공원_37.474_126.658,249.1,37.47413782,126.6579618
B000002986,인천대화초등학교,쑥골공원_37.471_126.670,254.6,37.471253,126.669605
B000002987,인천주안북초등학교,염창공원_37.466_126.676,279.4,37.46640235,126.6764205
B000002989,인천주안남초등학교,미니공원_37.449_126.685,60.5,37.449139,126.6850056
B000002990,인천학익초등학교,학익공원_37.444_126.657,784.3,37.44357933,126.6571792
B000002991,인천인주초등학교,나리공원_37.440_126.675,222.5,37.44036588,126.6748498
B000002992,인천연학초등학교,물방울어린이공원_37.445_126.673,121.4,37.4449179436,126.6726131
B000002993,연평초등학교,창포공원_37.492_126.484,16479.1,37.4923136,126.4844559
B000002994,대청초등학교,창포공원_37.492_126.484,16479.1,37.4923136,126.4844559
B000002995,영흥초등학교,영종하늘도시 6호_37.474_126.520,19637.4,37.47402974,126.5199439
B000002996,덕적초등학교,영종하늘도시 6호_37.474_126.520,18983.5,37.47402974,126.5199439
B000002997,북포초등학교,창포공원_37.492_126.484,16479.1,37.4923136,126.4844559
B000002998,백령초등학교,창포공원_37.492_126.484,16479.1,37.4923136,126.4844559
B000002999,인천공항초등학교신도분교장,창포공원_37.492_126.484,6831.7,37.4923136,126.4844559
