학교ID,학교명,nearest_park_name,nearest_park_dist_m
B000003024,인천갈월초등학교,굴포공원,257.9
B000003057,인천청량초등학교,청량공원,296.5
B000025246,인천미송초등학교,송도랜드마크시티9호근린공원,489.0
B000026469,인천한별초등학교,웃목어린이공원,213.0
B000026466,인천아라초등학교,아라노을공원,166.0
B000003178,갑룡초등학교,갑룡공원,285.0
B000003098,인천논곡초등학교,논현포대공원,343.5
B000002959,인천영종초등학교,영종하늘체육공원,235.0
B000025228,인천예송초등학교,송도  14호 어린이공원,0.0
B000003150,인천건지초등학교,건지공원,358.0
B000025202,인천장아초등학교,오름공원,0.0
B000003013,인천영선초등학교,햇살공원,145.9
B000003127,인천부현동초등학교,계양교통공원,285.4
B000003012,인천후정초등학교,동화놀이공원,65.9
B000003007,인천부곡초등학교,마장공원,420.0
B000027505,인천중산초등학교,박석공원,55.7
B000024924,인천하늘초등학교,박석공원,124.0
B000003137,인천간재울초등학교,검암소공원,303.1
B000003148,인천가림초등학교,가좌공원,414.7
B000003189,해명초등학교,제10호근린공원놀이터,327.3
B000003113,인천화전초등학교,하마리공원,425.8
B000003131,인천효성서초등학교,새벌공원,705.2
B000026155,인천한들초등학교,당하어린이공원,884.6
B000025248,인천은송초등학교,랜드마크시티 3호 근린공원,1575.0
B000003095,인천구월초등학교,만월공원,277.8
B000003140,인천초은초등학교,거울어린이공원,96.3
B000025189,인천송명초등학교,마음공원,95.0
B000025677,인천주안초등학교,승기어린이공원,64.8
B000003164,인천가정초등학교,장고개근린공원,663.1
B000003187,양사초등학교,갑룡공원,0.0
B000003133,인천해원초등학교,흰여울공원,117.1
B000002968,인천서림초등학교,송현공원,728.0
B000026333,인천가원초등학교,가경공원,811.7
B000003175,조산초등학교,백석공원(마),4242.4
B000003074,인천간석초등학교,용광공원,185.4
B000002993,연평초등학교,인스파이어호텔 패밀리파크 어린이놀이터,2553.0
B000025236,인천첨단초등학교,어울림공원,100.0
B000026470,인천이음초등학교,아랫목어린이공원,584.1
B000003124,인천안산초등학교,임학공원,722.9
B000003185,하점초등학교,백석공원(마),4242.4
B000003065,인천신정초등학교,송도  11호 어린이공원,270.5
B000002962,인천영종초등학교금산분교장,미단시티 2호,1587.3
B000003158,인천원당초등학교,원당공원,320.0
B000025512,인천용학초등학교,도담어린이공원,0.0
B000003087,인천원동초등학교,돌섬공원,258.7
B000025222,인천현송초등학교,랜드마크시티 3호 근린공원,2024.0
B000003016,인천부일초등학교,동소정놀이공원,0.0
B000003170,인천서곶초등학교,경명공원,477.6
B000026504,인천송담초등학교,송도랜드마크씨티9호근린공원,59.0
B000003176,화도초등학교,제10호근린공원놀이터,327.3
B000003139,인천청라초등학교,연일공원,371.4
B000025210,인천연송초등학교,송도  12호 어린이공원,219.8
B000003179,강화초등학교,갑룡공원,0.0
B000003101,인천인동초등학교,한울소공원,215.9
B000002982,인천석암초등학교,주안공원,947.1
B000002956,인천운남초등학교,운남제1호공원,222.8
B000003153,인천완정초등학교,능내공원,379.2
B000003160,인천창신초등학교,원당지구 4호 어린이공원,290.8
B000026332,인천백석초등학교,당하지구7호 어린이공원,159.3
B000003186,명신초등학교,백석공원(마),4242.4
B000003122,인천계양초등학교,중앙공원,161.3
B000003194,서도초등학교,인스파이어호텔 패밀리파크 어린이놀이터,2270.7
B000003112,인천성지초등학교,효성공원,430.2
B000003120,인천당산초등학교,동양택지2공원,433.0
B000002967,인천서흥초등학교,송현공원,505.5
B000003192,교동초등학교,백석공원(마),4242.4
B000003134,인천경명초등학교,물병자리공원,1119.2
B000003184,삼성초등학교,백석공원(마),4242.4
B000022839,인천청일초등학교,포리공원,596.1
B000026471,인천신검단초등학교,원당지구 4호 어린이공원,1282.0
B000003141,인천양지초등학교,용두공원,230.3
B000003190,삼산초등학교,인스파이어호텔 패밀리파크 어린이놀이터,4919.8
B000026467,인천해든초등학교,해든공원,175.0
B000003083,인천도림초등학교,오봉공원,280.4
B000003177,대월초등학교,불로지구1호 어린이공원,4687.0
B000002997,북포초등학교,인스파이어호텔 패밀리파크 어린이놀이터,2553.0
B000003094,인천신월초등학교,남동문화공원,248.3
B000003171,인천검암초등학교,상동공원,150.6
B000022834,인천청람초등학교,물병자리공원,305.4
B000003169,인천신현초등학교,원신공원,602.1
B000003085,인천장도초등학교,동녘어린이공원,298.0
B000003161,인천금곡초등학교,왕길새싹공원,414.5
B000025256,인천송원초등학교,국제화복합단지 1호 근린공원,219.0
B000003004,인천남부초등학교이작분교장,파라다이스시티 호텔 내 어린이놀이시설물,12865.0
B000003183,불은초등학교,백석공원(마),4242.4
B000003082,인천만수초등학교,창대공원,132.2
B000002980,인천관교초등학교,관교공원,201.4
B000003110,인천해서초등학교,고향골공원,268.2
B000025196,인천장서초등학교,흰여울공원,0.0
B000003045,인천한길초등학교,도드리놀이공원,149.3
B000003167,인천석남서초등학교,신촌공원,863.9
B000003173,길상초등학교,백석공원(마),4242.4
B000025206,인천새봄초등학교,새아침공원,1812.1
B000003033,인천부마초등학교,산곡소공원,801.4
B000003182,선원초등학교,백석공원(마),3971.9
B000003009,인천대정초등학교,마장공원,1287.1
B000003000,인천삼목초등학교장봉분교장,인스파이어호텔 패밀리파크 어린이놀이터,2270.7
B000003119,인천소양초등학교,소양공원,244.0
B000003111,인천안남초등학교,개나리공원,436.0
B000002995,영흥초등학교,파라다이스시티 호텔 내 어린이놀이시설물,13519.0
B000003064,인천옥련초등학교,새싹공원,242.4
B000003063,인천문남초등학교,문남공원,110.1
B000003059,인천동춘초등학교,동춘3공원,388.2
B000003068,인천먼우금초등학교,먼우금공원(송도1호),0.0
B000003023,인천부평북초등학교,삼산어린이공원,827.8
B000003097,인천논현초등학교,아랫말공원,0.0
B000003066,인천해송초등학교,미추홀공원,225.2
B000003132,인천계양초등학교상야분교장,상야공원,342.8
B000003128,인천작전초등학교,된밭공원,420.7
B000003159,인천발산초등학교,원당지구 5호 어린이공원,203.0
B000003138,인천경서초등학교,쑥공원(경서3호),421.2
B000003079,인천만수북초등학교,향촌소공원,563.4
B000003157,인천단봉초등학교,봉화공원,106.1
B000003067,인천신송초등학교,신송공원,0.0
B000003041,인천용마초등학교,다온어린이공원,1060.4
B000003048,인천명선초등학교,학교 앞 수변공원(실측 반영),219.0
B000003109,인천효성초등학교,이촌공원,513.4
B000002975,인천용현남초등학교,미추홀_학익,992.7
B000003114,인천서운초등학교,도두머리공원,323.5
B000003054,인천연화초등학교,샘말공원,413.5
B000002955,인천연안초등학교,비취맨션3단지아파트10동앞놀이터,416.6
B000002965,인천창영초등학교,창영공원,43.4
B000003027,인천부원초등학교,신트리공원,752.2
B000003099,인천새말초등학교,향촌소공원,140.8
B000002960,인성초등학교,인천 중부경찰서 직장어린이집 도담놀이터,182.1
B000003044,인천삼산초등학교,사랑샘공원,337.0
B000003015,인천구산초등학교,부개공원,105.0
B000002950,인천신광초등학교,한별프라이빌 놀이터,61.3
B000002976,인천학산초등학교,모리포공원,74.1
B000003092,인천송천초등학교,고잔,180.7
B000002986,인천대화초등학교,쑥골공원,254.6
B000002992,인천연학초등학교,물방울어린이공원,121.4
B000003123,인천계산초등학교,고향골어린이공원,444.0
B000002987,인천주안북초등학교,염창공원,279.4
B000003144,인천석남초등학교,석곶체육공원,444.0
B000003168,인천가현초등학교,수차공원,240.0
B000003142,인천심곡초등학교,절골공원,163.0
B000002996,덕적초등학교,파라다이스시티 호텔 내 어린이놀이시설물,12865.0
B000003025,인천부개초등학교,마분놀이공원,305.9
B000003103,인천담방초등학교,골마루공원,21.6
B000003088,인천사리울초등학교,해오름공원,404.2
B000002957,인천공항초등학교,금호베스트빌 2차아파트 놀이터(202동 옆),49.8
B000003075,인천구월서초등학교,수봉,45.2
B000002964,인천송현초등학교,화수13공원,182.0
B000003051,인천능허대초등학교,새싹공원,204.8
B000003035,인천산곡남초등학교,마장공원,1002.6
