학교ID,학교명,gu,iso_park_count,iso_park_area,buf_park_count,buf_park_area,iso_child_total,iso_child_6_12,child_pop_quartile,expected_park_count,gap_count,expected_park_area,gap_area,case_type,priority_score,redev_완료수,redev_진행중수,redev_예정수,redev_status,iso_green_ratio,iso_green_ratio_raw,iso_playground_count,is_separate_bundle_tag,is_low_access_tag,is_case_conflict_tag,isochrone_area_m2,iso_park_count_raw,iso_park_area_raw,green_bucket,case_label,priority_rank,is_island_tag,student_slope,is_new_school,nearest_park_dist_m,apt_blocked_m2,apt_gap_ratio,access_ratio,blocked_park_count,blocked_park_intersect_m2,current_green_ratio,corrected_green_ratio,green_ratio_delta,iso_green_ratio_before_apt
B000002949,인천신흥초등학교,중구,0,0.0,1,9769.289135852267,130,85,Q2,1.9852941176470589,-0.9852941176470588,128374.85739705882,-128374.85739705882,1,4.0,0,0,1,예정만,0.0,0.0,1,0,0,0,397709.54,0,0.0,,공원 접근 불가,11,0,-18.31428571428572,0,722.2,10741,0.024,0.0,2,502,0.0,0.0,0.0,0.0
B000002950,인천신광초등학교,중구,0,0.0,1,493.2068301590438,311,188,Q3,2.485294117647059,0.5147058823529411,144452.72647058824,-144452.72647058824,1,4.0,0,0,2,예정만,0.0,0.0,1,0,0,0,345974.72,0,0.0,,공원 접근 불가,12,0,-4.228571428571429,0,533.7,51011,0.104,0.0,6,1165,0.0,0.0,0.0,0.0
B000002951,인천신선초등학교,중구,0,0.0,0,0.0,124,83,Q2,1.9852941176470589,-1.9852941176470589,128374.85739705882,-128374.85739705882,1,4.0,0,0,1,예정만,0.0,0.0,0,0,0,0,273568.4092858165,0,0.0,,공원 접근 불가,6,0,-24.942857142857147,0,796.8,24771,0.038,0.0,0,0,0.0,0.0,0.0,0.0
B000002952,인천송월초등학교,중구,1,12654.398339365744,2,48923.18084692415,79,59,Q1,1.1323529411764706,3.8676470588235294,74437.42647058824,-6325.426470588238,3,2.0,0,0,2,예정만,3.8422547329737498,3.8422547329737498,4,0,1,0,329348.24,1,12654.398339365744,middle,"접근 가능, 중간 수준",81,0,-20.62857142857143,0,247.0,18227,0.03,0.5,2,4800,6.7988,3.8423,-2.9565,4.067352815985348
B000002953,인천운서초등학교,중구,6,21160.32833924544,8,100285.20485958172,102,53,Q1,1.1323529411764706,5.867647058823529,74437.42647058824,10413.573529411762,4,1.0,0,0,0,없음,5.226085402751294,5.226085402751294,1,0,0,0,404898.25,6,21160.32833924544,high,접근 양호,1,0,126.39999999999998,0,76.3,42150,0.086,0.75,4,9136,7.1868,5.2261,-1.9607,6.290111726408025
B000002954,인천용유초등학교,중구,0,0.0,0,0.0,0,0,Q1,1.1323529411764706,-1.1323529411764706,74437.42647058824,-74437.42647058824,1,4.0,0,0,0,없음,0.0,0.0,0,0,0,0,229981.7338228392,0,0.0,,공원 접근 불가,1,0,-1.9714285714285715,0,13471.8,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
B000002955,인천연안초등학교,중구,0,0.0,0,0.0,18,12,Q1,1.1323529411764706,-1.1323529411764706,74437.42647058824,-74437.42647058824,1,4.0,0,0,0,없음,0.0,0.0,0,0,0,0,344775.65,0,0.0,,공원 접근 불가,9,0,-15.971428571428572,0,620.0,57222,0.097,0.0,1,314,0.0,0.0,0.0,0.0
B000002956,인천운남초등학교,중구,3,9412.520578294025,5,50142.18958184175,34,23,Q1,1.1323529411764706,1.8676470588235288,74437.42647058824,-60371.42647058824,3,2.0,0,0,0,없음,2.8596347235286963,2.8596347235286963,0,0,0,0,329151.15,3,9412.520578294025,middle,"접근 가능, 중간 수준",62,0,-14.085714285714284,0,186.0,55989,0.093,0.6,5,1568,5.0792,2.8596,-2.2196,5.141054610911069
B000002957,인천공항초등학교,중구,5,15471.766169290404,5,99035.64694328146,187,135,Q2,1.9852941176470589,8.014705882352942,128374.85739705882,351465.1426029412,3,2.0,0,0,0,없음,3.2181207416071658,3.2181207416071658,4,0,0,0,480770.22,5,15471.766169290404,middle,"접근 가능, 중간 수준",71,0,-25.97142857142858,0,105.8,168331,0.326,1.0,10,21706,5.766,3.2181,-2.5479,7.2842831879072145
B000002958,인천삼목초등학교,중구,1,1976.4483268915828,7,209961.13572197998,86,62,Q1,1.1323529411764706,5.867647058823529,74437.42647058824,-72437.42647058824,2,3.0,0,0,0,없음,0.36067410518896553,0.36067410518896553,3,0,1,0,547987.31,1,1976.4483268915828,low,접근 가능하나 녹지 부족,51,0,-55.25714285714287,0,463.4,426161,0.643,0.14285714285714285,17,129759,1.6223,0.3607,-1.2616,1.622349304395717
B000002959,인천영종초등학교,중구,15,47186.8,3,55923.53142038581,439,284,Q4,2.8823529411764706,-0.8823529411764706,131177.18088235296,-114236.18088235296,4,1.0,0,0,0,없음,7.1998,7.1998,3,0,0,0,655388.51,1,16913.799412419932,high,접근 양호,8,0,-26.51428571428572,0,235.0,413888,0.633,5.0,14,30273,1.7194,7.1998,5.4804,7.003628946502541
B000002960,인성초등학교,중구,1,59796.40023637414,1,68002.63889843354,74,54,Q1,1.1323529411764706,2.867647058823529,74437.42647058824,-6325.426470588238,4,1.0,0,1,0,진행중포함,16.822621992132255,16.822621992132255,3,0,0,0,355452.32047858066,1,59796.40023637414,high,접근 양호,27,0,14.542857142857144,0,382.2,0,0.0,1.0,0,0,18.6082,16.8226,-1.7856,18.438215821402284
B000002962,인천영종초등학교금산분교장,중구,0,0.0,0,0.0,2,1,Q1,1.1323529411764706,-1.1323529411764706,74437.42647058824,-74437.42647058824,1,4.0,0,0,0,없음,0.0,0.0,0,0,0,0,225380.86772627413,0,0.0,,공원 접근 불가,2,0,-2.771428571428572,0,1587.3,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
B000002963,인천만석초등학교,동구,4,8162.82,4,21887.060733202266,123,79,Q2,1.9852941176470589,1.0147058823529411,128374.85739705882,-106889.85739705882,3,2.0,0,0,0,없음,3.0621,3.0621,0,0,0,0,266579.64,3,3597.818399806346,middle,"접근 가능, 중간 수준",67,0,-45.68571428571428,0,110.6,40752,0.073,1.0,1,4565,1.5932,3.0621,1.4689,1.5931700754602478
B000002964,인천송현초등학교,동구,2,505.8652479350755,4,10426.312025327505,328,201,Q3,2.485294117647059,-0.4852941176470589,144452.72647058824,-143402.92647058825,2,3.0,0,0,1,예정만,0.1487532051651918,0.1487532051651918,0,0,1,0,340070.15,2,505.8652479350755,low,접근 가능하나 녹지 부족,37,0,-69.91428571428571,0,182.0,116533,0.208,0.5,2,259,0.2263,0.1488,-0.0775,0.226300307789706
B000002965,인천창영초등학교,동구,1,1027.148151557153,1,1027.148151557153,190,121,Q2,1.9852941176470589,-0.9852941176470588,128374.85739705882,-127346.05739705882,2,3.0,0,1,0,진행중포함,0.32746855481876286,0.32746855481876286,0,0,0,0,313663.14,1,1027.148151557153,low,접근 가능하나 녹지 부족,48,0,15.657142857142857,0,43.4,42436,0.071,1.0,0,0,0.5481,0.3275,-0.2206,0.3787040393844149
B000002966,인천송림초등학교,동구,3,7865.572830310814,4,48465.66283640237,480,301,Q4,2.8823529411764706,2.117647058823529,131177.18088235296,-52210.88088235296,3,2.0,0,1,2,진행중포함,1.634284358754418,1.634284358754418,2,0,0,0,481285.45,3,7865.572830310814,middle,"접근 가능, 중간 수준",31,0,27.0,0,281.0,73707,0.194,0.75,1,10800,1.9298,1.6343,-0.2955,1.9298303990711887
B000002967,인천서흥초등학교,동구,2,19076.754459717264,2,45702.03794615,386,259,Q3,2.485294117647059,-0.4852941176470589,144452.72647058824,-63018.02647058824,3,2.0,0,0,0,없음,4.053095331341624,4.053095331341624,0,0,0,0,470671.25,2,19076.754459717264,middle,"접근 가능, 중간 수준",86,0,-58.14285714285715,0,208.0,76809,0.183,1.0,1,6337,5.239,4.0531,-1.1859,4.843509177887032
B000002968,인천서림초등학교,동구,0,0.0,0,0.0,408,270,Q3,2.485294117647059,-2.485294117647059,144452.72647058824,-144452.72647058824,1,4.0,0,0,2,예정만,0.0,0.0,0,0,0,0,387164.06439021387,0,0.0,,공원 접근 불가,7,0,-36.00000000000001,0,728.0,48573,0.12,0.0,0,0,0.0,0.0,0.0,0.0
B000002969,인천동명초등학교,동구,1,549.5762026223517,2,42242.92338263606,391,253,Q3,2.485294117647059,-1.4852941176470589,144452.72647058824,-71129.02647058824,2,3.0,0,0,1,예정만,0.13603327242239677,0.13603327242239677,0,0,1,0,404001.31,1,549.5762026223517,low,접근 가능하나 녹지 부족,36,0,29.17142857142857,0,432.0,43294,0.102,0.5,1,2650,0.1524,0.136,-0.0164,0.1523607048825642
B000002970,영화초등학교,동구,1,1027.148151557153,1,1027.148151557153,226,143,Q2,1.9852941176470589,-0.9852941176470588,128374.85739705882,-127346.05739705882,2,3.0,0,1,1,진행중포함,0.3329279625624978,0.3329279625624978,0,0,0,0,308519.64,1,1027.148151557153,low,접근 가능하나 녹지 부족,49,0,33.542857142857144,0,305.1,27496,0.048,1.0,0,0,0.4756,0.3329,-0.1427,0.3655023975885281
B000002971,인천숭의초등학교,미추홀구,0,0.0,0,0.0,239,153,Q3,2.485294117647059,-2.485294117647059,144452.72647058824,-144452.72647058824,2,3.0,0,1,0,진행중포함,0.0,0.0,0,0,0,1,301542.2503345469,0,0.0,low,접근 가능하나 녹지 부족,23,0,-27.200000000000003,0,54.0,0,0.0,0.0,0,0,0.0,0.0,0.0,6.353971378591619
B000002972,인천용정초등학교,미추홀구,1,8718.026274925602,1,72496.86870561597,366,238,Q3,2.485294117647059,-1.4852941176470589,144452.72647058824,188241.27352941176,3,2.0,0,0,2,예정만,2.2085337653281605,2.2085337653281605,0,0,0,0,394742.7207946812,1,8718.026274925602,middle,"접근 가능, 중간 수준",47,0,-1.6285714285714283,0,50.0,0,0.0,1.0,0,0,2.6001,2.2085,-0.3916,15.450153003344557
B000002973,인천용일초등학교,미추홀구,1,3433.777835966102,1,3433.777835966102,366,222,Q3,2.485294117647059,-1.4852941176470589,144452.72647058824,-141013.42647058825,2,3.0,0,0,2,예정만,0.8788886166875253,0.8788886166875253,0,0,0,0,390695.45,1,3433.777835966102,low,접근 가능하나 녹지 부족,88,0,-44.62857142857143,0,331.7,6109,0.015,1.0,0,0,0.8928,0.8789,-0.0139,0.892849411454257
B000002974,인천용현초등학교,미추홀구,5,8383.383278563573,7,49123.99038459251,685,441,Q4,2.8823529411764706,2.117647058823529,131177.18088235296,-70319.98088235296,3,2.0,0,0,0,없음,1.4931025624200849,1.4931025624200849,0,0,0,0,561474.04,5,8383.383278563573,middle,"접근 가능, 중간 수준",22,0,40.88571428571429,0,299.0,203281,0.412,0.7142857142857143,2,8147,2.8697,1.4931,-1.3766,3.745600205279626
B000002975,인천용현남초등학교,미추홀구,0,0.0,4,51694.057231147905,27,17,Q1,1.1323529411764706,-1.1323529411764706,74437.42647058824,-74437.42647058824,2,3.0,0,0,0,없음,0.0,0.0,1,0,0,1,535602.06,0,0.0,low,접근 가능하나 녹지 부족,25,0,-8.142857142857142,0,497.0,315827,0.421,0.0,3,10104,0.0,0.0,0.0,3.1688528564512604
B000002976,인천학산초등학교,미추홀구,5,5904.94881397195,7,21213.983902662912,302,218,Q3,2.485294117647059,2.514705882352941,144452.72647058824,-130822.82647058825,3,2.0,0,0,0,없음,1.2380313386652133,1.2380313386652133,0,0,0,0,476962.79,5,5904.94881397195,middle,"접근 가능, 중간 수준",11,0,-35.857142857142854,0,74.1,182537,0.317,0.7142857142857143,4,8785,2.8455,1.238,-1.6075,3.640865533943761
B000002977,인천백학초등학교,미추홀구,5,90116.80527749987,6,214852.43370583587,362,206,Q3,2.485294117647059,2.514705882352941,144452.72647058824,71458.97352941177,4,1.0,0,0,1,예정만,21.79367777081657,21.79367777081657,0,0,0,0,413499.76,5,90116.80527749987,high,접근 양호,36,0,-19.77142857142857,0,56.9,99399,0.211,0.8333333333333334,3,1530,28.6904,21.7937,-6.8967,28.690412983806347
B000002978,인천도화초등학교,미추홀구,1,51475.0597493133,1,168166.1894093416,241,149,Q3,2.485294117647059,-1.4852941176470589,144452.72647058824,188241.27352941176,4,1.0,0,0,0,없음,17.525284811274027,17.525284811274027,0,0,0,1,293718.82,1,51475.0597493133,high,접근 양호,29,0,-27.97142857142857,0,605.3,3597,0.006,1.0,1,3597,26.6005,17.5253,-9.0752,20.541508268734653
B000002979,인천문학초등학교,미추홀구,3,5030.791684510946,7,11474.960075200237,276,183,Q3,2.485294117647059,1.5147058823529411,144452.72647058824,-137547.02647058823,3,2.0,0,0,1,예정만,1.2875000715335447,1.2875000715335447,1,0,1,0,390741.08,3,5030.791684510946,middle,"접근 가능, 중간 수준",16,0,-42.11428571428572,0,241.4,36414,0.068,0.42857142857142855,0,0,2.0089,1.2875,-0.7214,1.641288499542775
B000002980,인천관교초등학교,미추홀구,4,6578.869634218654,7,15312.101675976555,510,331,Q4,2.8823529411764706,1.1176470588235294,131177.18088235296,-124587.48088235296,3,2.0,0,0,1,예정만,1.2745825788597782,1.2745825788597782,0,0,0,0,516158.76,4,6578.869634218654,middle,"접근 가능, 중간 수준",14,0,-54.17142857142858,0,201.4,100285,0.256,0.5714285714285714,2,6788,1.6718,1.2746,-0.3972,1.581939100805698
B000002981,인천경원초등학교,미추홀구,2,2680.05,5,4624.307027751227,595,388,Q4,2.8823529411764706,-0.8823529411764706,131177.18088235296,-128687.98088235296,2,3.0,0,1,1,진행중포함,0.5142,0.5142,0,0,1,0,521190.26,2,2680.0492394304106,low,접근 가능하나 녹지 부족,67,0,-80.1142857142857,0,73.2,125643,0.27,0.4,0,0,0.4461,0.5142,0.0681,0.6775547456040103
B000002982,인천석암초등학교,미추홀구,0,0.0,0,0.0,531,318,Q4,2.8823529411764706,-2.8823529411764706,131177.18088235296,-131177.18088235296,1,4.0,0,0,1,예정만,0.0,0.0,0,0,0,0,236063.3926770427,0,0.0,,공원 접근 불가,4,0,18.142857142857142,0,947.1,69595,0.127,0.0,0,0,0.0,0.0,0.0,0.0
B000002983,인천남부초등학교,미추홀구,2,2248.9553414330376,4,15630.962456805455,631,381,Q4,2.8823529411764706,-0.8823529411764706,131177.18088235296,-126286.38088235295,2,3.0,0,0,1,예정만,0.45369364117539723,0.45369364117539723,0,0,1,0,495699.11,2,2248.9553414330376,low,접근 가능하나 녹지 부족,61,0,-67.34285714285716,0,305.0,99713,0.257,0.5,3,10953,0.5679,0.4537,-0.1142,0.5679379393550716
B000002984,인천승학초등학교,미추홀구,1,114431.70804629337,3,375481.60697279416,127,89,Q2,1.9852941176470589,-0.9852941176470588,128374.85739705882,223395.9426029412,4,1.0,0,0,0,없음,39.41264295395722,39.41264295395722,0,0,1,0,290342.64,1,114431.70804629337,high,접근 양호,42,0,-36.02857142857143,0,346.7,130090,0.209,0.3333333333333333,1,65630,71.4071,39.4126,-31.9945,71.40706740880222
B000002985,인천서화초등학교,미추홀구,3,17950.38814926552,5,47748.61120467987,298,176,Q3,2.485294117647059,2.514705882352941,144452.72647058824,-120244.62647058823,3,2.0,0,0,0,없음,4.007616975404016,4.007616975404016,2,0,0,0,447906.78,3,17950.38814926552,middle,"접근 가능, 중간 수준",84,0,94.68571428571433,0,249.1,86573,0.181,0.6,1,3481,5.8535,4.0076,-1.8459,5.871133013963102
B000002986,인천대화초등학교,미추홀구,1,1849.371399480402,2,4099.667099097874,654,407,Q4,2.8823529411764706,-1.8823529411764703,131177.18088235296,-128798.38088235295,2,3.0,0,1,3,진행중포함,0.4998188958140674,0.4998188958140674,0,0,1,0,370008.3,1,1849.371399480402,low,접근 가능하나 녹지 부족,63,0,-38.82857142857143,0,254.6,71307,0.147,0.5,0,0,0.6191,0.4998,-0.1193,0.6191373845421765
B000002987,인천주안북초등학교,미추홀구,0,0.0,1,2101.9197156562377,271,151,Q3,2.485294117647059,-2.485294117647059,144452.72647058824,-144452.72647058824,2,3.0,0,0,2,예정만,0.0,0.0,0,0,0,1,347178.35,0,0.0,low,접근 가능하나 녹지 부족,10,0,-12.171428571428573,0,279.4,15073,0.029,0.0,0,0,0.0,0.0,0.0,0.3848197888182731
B000002989,인천주안남초등학교,미추홀구,1,1483.5538521874098,1,1650.545610565846,572,345,Q4,2.8823529411764706,-1.8823529411764703,131177.18088235296,-129523.98088235296,2,3.0,0,0,2,예정만,0.3253138758594268,0.3253138758594268,0,0,0,0,456037.68,1,1483.5538521874098,low,접근 가능하나 녹지 부족,47,0,-46.05714285714286,0,60.5,108064,0.248,1.0,0,0,0.4263,0.3253,-0.101,0.4263408185969048
B000002990,인천학익초등학교,미추홀구,1,2116.081262139109,2,14774.539746464645,53,33,Q1,1.1323529411764706,-1.1323529411764706,74437.42647058824,-74437.42647058824,2,3.0,0,0,0,없음,0.8526816371937526,0.8526816371937526,0,0,1,0,248167.80024761785,1,2116.081262139109,low,접근 가능하나 녹지 부족,86,0,-35.45714285714285,0,50.0,101061,0.144,0.5,1,846,0.0,0.8527,0.8527,0.8526816371937526
B000002991,인천인주초등학교,미추홀구,5,5246.7992874289685,9,47733.09163525497,485,294,Q4,2.8823529411764706,2.117647058823529,131177.18088235296,-121120.28088235296,3,2.0,0,0,1,예정만,1.1332076845324945,1.1332076845324945,0,0,0,0,463004.21,5,5246.7992874289685,middle,"접근 가능, 중간 수준",5,0,-66.77142857142857,0,222.5,87963,0.193,0.5555555555555556,5,13592,1.5948,1.1332,-0.4616,1.7580052858313662
B000002992,인천연학초등학교,미추홀구,4,21230.678783553038,8,49760.16201610766,473,273,Q4,2.8823529411764706,1.1176470588235294,131177.18088235296,-49057.18088235296,3,2.0,0,0,1,예정만,3.929464386994936,3.929464386994936,0,0,1,0,540294.47,4,21230.678783553038,middle,"접근 가능, 중간 수준",82,0,32.57142857142857,0,121.4,178443,0.375,0.5,5,28928,6.8852,3.9295,-2.9557,6.138000437508127
B000002993,연평초등학교,옹진군,0,0.0,0,0.0,0,0,Q1,1.1323529411764706,-1.1323529411764706,74437.42647058824,-74437.42647058824,,,0,0,0,없음,0.0,0.0,0,1,0,0,16688.2642213652,0,0.0,,별도 묶음,,1,-5.342857142857143,0,16479.1,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
B000002994,대청초등학교,옹진군,0,0.0,0,0.0,0,0,Q1,1.1323529411764706,-1.1323529411764706,74437.42647058824,-74437.42647058824,,,0,0,0,없음,0.0,0.0,0,1,0,0,16688.2642213652,0,0.0,,별도 묶음,,1,-4.542857142857143,0,16479.1,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
B000002995,영흥초등학교,옹진군,0,0.0,0,0.0,0,0,Q1,1.1323529411764706,-1.1323529411764706,74437.42647058824,-74437.42647058824,,,0,0,0,없음,0.0,0.0,0,1,0,0,37509.70393895965,0,0.0,,별도 묶음,,1,-15.45714285714286,0,19637.4,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
B000002996,덕적초등학교,옹진군,0,0.0,0,0.0,0,0,Q1,1.1323529411764706,-1.1323529411764706,74437.42647058824,-74437.42647058824,,,0,0,0,없음,0.0,0.0,0,1,0,0,9895.053231608046,0,0.0,,별도 묶음,,1,-3.1428571428571423,0,18983.5,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
B000002997,북포초등학교,옹진군,0,0.0,0,0.0,0,0,Q1,1.1323529411764706,-1.1323529411764706,74437.42647058824,-74437.42647058824,,,0,0,0,없음,0.0,0.0,0,1,0,0,16688.2642213652,0,0.0,,별도 묶음,,1,-9.142857142857144,0,16479.1,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
B000002998,백령초등학교,옹진군,0,0.0,0,0.0,0,0,Q1,1.1323529411764706,-1.1323529411764706,74437.42647058824,-74437.42647058824,,,0,0,0,없음,0.0,0.0,0,1,0,0,16688.2642213652,0,0.0,,별도 묶음,,1,-5.885714285714286,0,16479.1,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
B000002999,인천공항초등학교신도분교장,옹진군,0,0.0,0,0.0,0,0,Q1,1.1323529411764706,-1.1323529411764706,74437.42647058824,-74437.42647058824,,,0,0,0,없음,0.0,0.0,0,1,0,0,65973.12538607008,0,0.0,,별도 묶음,,1,-1.2285714285714286,0,6831.7,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
B000003000,인천삼목초등학교장봉분교장,옹진군,0,0.0,0,0.0,3,3,Q1,1.1323529411764706,-1.1323529411764706,74437.42647058824,-74437.42647058824,,,0,0,0,없음,0.0,0.0,0,1,0,0,784137.1226365508,0,0.0,,별도 묶음,,1,-1.9142857142857144,0,16196.8,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
B000003004,인천남부초등학교이작분교장,옹진군,0,0.0,0,0.0,0,0,Q1,1.1323529411764706,-1.1323529411764706,74437.42647058824,-74437.42647058824,,,0,0,0,없음,0.0,0.0,0,1,0,0,9895.053231608046,0,0.0,,별도 묶음,,1,-1.3142857142857145,0,18983.5,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
B000003005,인천용현남초등학교자월분교장,옹진군,0,0.0,0,0.0,0,0,Q1,1.1323529411764706,-1.1323529411764706,74437.42647058824,-74437.42647058824,,,0,0,0,없음,0.0,0.0,0,1,0,0,9895.053231608046,0,0.0,,별도 묶음,,1,-0.5428571428571429,0,18983.5,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
B000003006,인천부평서초등학교,부평구,1,1198.073271643468,1,1198.073271643468,1075,657,Q4,2.8823529411764706,-1.8823529411764703,131177.18088235296,-129977.18088235296,2,3.0,0,0,0,없음,0.20584194422963725,0.20584194422963725,0,0,0,0,582035.54,1,1198.073271643468,low,접근 가능하나 녹지 부족,41,0,-29.60000000000001,0,304.0,170647,0.458,1.0,0,0,0.2912,0.2058,-0.0854,0.2912266991658248
B000003007,인천부곡초등학교,부평구,1,557.5664542104203,1,14995.883783395004,147,96,Q2,1.9852941176470589,-0.9852941176470588,128374.85739705882,-113354.85739705882,2,3.0,0,0,0,없음,0.12206456662926578,0.12206456662926578,0,0,0,0,456779.94,1,557.5664542104203,low,접근 가능하나 녹지 부족,35,0,-76.94285714285715,0,420.0,392342,0.545,1.0,1,690,0.8653,0.1221,-0.7432,0.8652766612928748
B000003008,인천마곡초등학교,부평구,2,1719.0510845374115,5,152434.6017434685,281,139,Q3,2.485294117647059,-0.4852941176470589,144452.72647058824,-142096.72647058824,2,3.0,0,0,0,없음,0.4437281380784689,0.4437281380784689,0,0,1,0,387410.88,2,1719.0510845374115,low,접근 가능하나 녹지 부족,60,0,7.2857142857142865,0,0.0,144689,0.215,0.4,2,4188,1.5676,0.4437,-1.1239,9.943248646990908
B000003009,인천대정초등학교,부평구,0,0.0,1,16994.16843014128,257,173,Q3,2.485294117647059,-2.485294117647059,144452.72647058824,-144452.72647058824,2,3.0,0,0,0,없음,0.0,0.0,0,0,0,1,379347.22,0,0.0,low,접근 가능하나 녹지 부족,7,0,-73.77142857142859,0,317.0,178722,0.304,0.0,0,0,0.0,0.0,0.0,31.098836707466244
B000003010,인천청천초등학교,부평구,4,10239.93859439055,5,17901.13871616494,264,144,Q3,2.485294117647059,1.5147058823529411,144452.72647058824,-131086.72647058824,3,2.0,0,1,0,진행중포함,3.317320340155192,3.317320340155192,0,0,0,0,308681.03,4,10239.93859439055,middle,"접근 가능, 중간 수준",72,0,140.45714285714286,0,113.7,107451,0.184,0.8,1,56,5.0887,3.3173,-1.7714,5.088673306687804
B000003011,인천갈산초등학교,부평구,2,3571.7034488613926,7,18934.459693807632,98,62,Q1,1.1323529411764706,0.8676470588235294,74437.42647058824,-67859.42647058824,2,3.0,0,0,0,없음,0.7288598104312075,0.7288598104312075,0,0,1,0,490039.84,2,3571.7034488613926,low,접근 가능하나 녹지 부족,81,0,-18.142857142857142,0,212.0,247379,0.356,0.2857142857142857,4,4170,4.0095,0.7289,-3.2806,2.8846552111122645
B000003012,인천후정초등학교,부평구,2,1889.881372513143,9,45628.650875187464,119,76,Q2,1.9852941176470589,0.0147058823529411,128374.85739705882,-125255.85739705882,2,3.0,0,0,0,없음,0.5455648330370527,0.5455648330370527,0,0,1,0,346408.21,2,1889.881372513143,low,접근 가능하나 녹지 부족,70,0,-44.31428571428573,0,65.9,103603,0.153,0.2222222222222222,7,5456,1.7474,0.5456,-1.2018,10.935393515594876
B000003013,인천영선초등학교,부평구,2,2691.8955566472805,7,45787.18941934536,316,211,Q3,2.485294117647059,-0.4852941176470589,144452.72647058824,-120761.72647058824,2,3.0,0,0,2,예정만,0.5141392748558226,0.5141392748558226,0,0,1,0,523573.22,2,2691.8955566472805,low,접근 가능하나 녹지 부족,65,0,-48.457142857142856,0,145.9,275899,0.437,0.2857142857142857,4,3420,1.7627,0.5141,-1.2486,1.5220543439888587
B000003014,인천진산초등학교,부평구,2,6070.8244127202925,6,52583.03201250648,86,58,Q1,1.1323529411764706,0.8676470588235294,74437.42647058824,-64996.42647058824,3,2.0,0,0,0,없음,1.1956216280284764,1.1956216280284764,0,0,1,0,507754.65,2,6070.8244127202925,middle,"접근 가능, 중간 수준",8,0,-36.28571428571428,0,152.0,299507,0.404,0.3333333333333333,4,6949,14.021,1.1956,-12.8254,3.314945267010984
B000003015,인천구산초등학교,부평구,6,17152.817473550953,9,66644.73774332815,519,377,Q4,2.8823529411764706,3.117647058823529,131177.18088235296,-68431.18088235296,3,2.0,0,0,0,없음,3.390331381498732,3.390331381498732,0,0,0,0,505933.36,6,17152.817473550953,middle,"접근 가능, 중간 수준",74,0,-50.22857142857144,0,105.0,189384,0.38,0.6666666666666666,7,10119,6.0071,3.3903,-2.6168,7.333558879720495
B000003016,인천부일초등학교,부평구,4,6761.337809030278,11,60500.785477501995,399,248,Q3,2.485294117647059,1.5147058823529411,144452.72647058824,-114348.72647058824,3,2.0,0,0,0,없음,1.5021366351799392,1.5021366351799392,0,0,1,0,450114.7,4,6761.337809030278,middle,"접근 가능, 중간 수준",23,0,-25.31428571428572,0,0.0,174769,0.273,0.36363636363636365,9,15434,4.6878,1.5021,-3.1857,8.089542979419905
