학교ID,학교명,gu,iso_child_total,iso_child_6_12,child_pop_quartile,expected_park_count,gap_count,expected_park_area,gap_area,case_type,priority_score,redev_완료수,redev_진행중수,redev_예정수,redev_status,trend_score,priority_rank,student_slope,is_new_school,cohort_change_2029,cohort_change_2031,cohort_change_2029_prophet,cohort_change_2031_prophet,nearest_park_dist_m,case_label,is_island_tag,is_walk_fallback_tag,iso_park_count,iso_park_area,buf_park_count,buf_park_area,access_ratio,iso_green_ratio,iso_playground_count,is_separate_bundle_tag,is_low_access_tag,is_case_conflict_tag,isochrone_area_m2,iso_park_count_raw,iso_park_area_raw,green_bucket,iso_green_ratio_raw
B000002949,인천신흥초등학교,중구,230,150,Q2,1.8823529411764703,0.1176470588235294,13001.352985294116,-13001.352985294116,1,4.0,0,0,1,예정만,,16,-18.31428571428572,0,0.946,0.917,1.0988462025271857,1.138599925583395,722.2,공원 접근 불가,0,0,0,0.0,1,9785.0,0.0,0.0,2,0,0,0,548639.6613326702,0,0.0,,0.0
B000002950,인천신광초등학교,중구,463,280,Q3,2.544117647058824,4.455882352941177,37061.58676470589,-37061.58676470589,1,4.0,0,0,2,예정만,,10,-4.228571428571429,0,0.946,0.917,1.0988462025271857,1.138599925583395,533.7,공원 접근 불가,0,0,0,0.0,1,494.0,0.0,0.0,7,0,0,0,440059.1296648619,0,0.0,,0.0
B000002951,인천신선초등학교,중구,193,126,Q2,1.8823529411764703,-0.8823529411764706,13001.352985294116,-13001.352985294116,1,4.0,0,0,1,예정만,,15,-24.942857142857147,0,0.946,0.917,1.0988462025271857,1.138599925583395,796.8,공원 접근 불가,0,0,0,0.0,0,0.0,0.0,0.0,1,0,0,0,294914.61717833043,0,0.0,,0.0
B000002952,인천송월초등학교,중구,104,77,Q1,1.088235294117647,2.9117647058823533,5676.2411764705885,-5676.2411764705885,2,3.0,0,0,2,예정만,,,-20.62857142857143,0,0.946,0.917,1.0988462025271857,1.138599925583395,247.0,접근 가능하나 녹지 부족,0,0,1,0.0,1,20830.0,1.0,0.0,4,0,0,0,245400.040860768,0,0.0,low,0.0
B000002953,인천운서초등학교,중구,149,78,Q1,1.088235294117647,5.911764705882353,5676.2411764705885,55736.75882352941,4,1.0,0,0,0,없음,,,126.39999999999998,0,0.946,0.917,1.0988462025271857,1.138599925583395,76.3,접근 양호,0,0,6,46554.20632838855,8,131508.0,0.75,12.236339395756575,1,0,0,0,380458.6063094411,6,46554.20632838855,high,12.236339395756575
B000002954,인천용유초등학교,중구,1,1,Q1,1.088235294117647,-1.088235294117647,5676.2411764705885,-5676.2411764705885,1,4.0,0,0,0,없음,,17,-1.9714285714285715,0,0.946,0.917,1.0988462025271857,1.138599925583395,13471.8,공원 접근 불가,0,1,0,0.0,0,0.0,0.0,0.0,0,0,0,0,205104.27919935962,0,0.0,,0.0
B000002955,인천연안초등학교,중구,34,23,Q1,1.088235294117647,-0.0882352941176469,5676.2411764705885,-5676.2411764705885,1,4.0,0,0,0,없음,,25,-15.971428571428572,0,0.946,0.917,1.0988462025271857,1.138599925583395,620.0,공원 접근 불가,0,0,0,0.0,0,0.0,0.0,0.0,1,0,0,0,381515.15386813384,0,0.0,,0.0
B000002956,인천운남초등학교,중구,57,39,Q1,1.088235294117647,9.911764705882351,5676.2411764705885,8389.758823529412,4,1.0,0,0,0,없음,,,-14.085714285714284,0,0.946,0.917,1.0988462025271857,1.138599925583395,186.0,접근 양호,0,0,3,14043.415532437677,4,68751.0,0.75,4.803094586920451,8,0,0,0,292382.656187534,3,14043.415532437677,high,4.803094586920451
B000002957,인천공항초등학교,중구,294,212,Q2,1.8823529411764703,6.117647058823529,13001.352985294116,14722.647014705884,4,1.0,0,0,0,없음,,,-25.97142857142858,0,0.946,0.917,1.0988462025271857,1.138599925583395,105.8,접근 양호,0,0,3,26937.29599595872,4,87840.0,0.75,6.574478852664065,5,0,0,0,409725.19038590224,3,26937.29599595872,high,6.574478852664065
B000002958,인천삼목초등학교,중구,176,127,Q1,1.088235294117647,8.911764705882353,5676.2411764705885,-1790.2411764705885,3,2.0,0,0,0,없음,,,-55.25714285714287,0,0.946,0.917,1.0988462025271857,1.138599925583395,463.4,"접근 가능, 중간 수준",0,0,2,3879.7606113394304,5,79461.0,0.4,1.4977486617040108,8,0,1,0,259039.49778365146,2,3879.7606113394304,middle,1.4977486617040108
