학교ID,학교명,gu,iso_park_count,iso_park_area,buf_park_count,buf_park_area,iso_child_total,iso_child_6_12,child_pop_quartile,expected_park_count,gap_count,expected_park_area,gap_area,case_type,priority_score,redev_완료수,redev_진행중수,redev_예정수,redev_status,iso_green_ratio,iso_green_ratio_raw,iso_playground_count,is_separate_bundle_tag,is_low_access_tag,is_case_conflict_tag,isochrone_area_m2,iso_park_count_raw,iso_park_area_raw,green_bucket,case_label,priority_rank,is_island_tag,student_slope,is_new_school,nearest_park_dist_m,apt_blocked_m2,apt_gap_ratio,access_ratio,blocked_park_count,blocked_park_intersect_m2,current_green_ratio,corrected_green_ratio,green_ratio_delta,iso_green_ratio_before_apt,nearest_park_name,iso_official_park_count,iso_functional_park_count,iso_neighborhood_scale_park_count,iso_playground_like_count,iso_small_child_park_count,iso_mid_activity_park_count,graph_nearest_official_park_dist_m,graph_nearest_official_park_name,nearest_functional_park_dist_m,nearest_functional_park_name,nearest_functional_park_area_m2,nearest_functional_park_function_class,nearest_neighborhood_scale_park_dist_m,nearest_neighborhood_scale_park_name,nearest_neighborhood_scale_park_area_m2,nearest_official_route_dist_m,nearest_official_route_detour_ratio,nearest_official_major_road_crossing_count,nearest_official_large_intersection_flag,nearest_official_accident_hotspot_flag,nearest_official_barrier_level,nearest_official_barrier_label,nearest_official_barrier_summary,nearest_official_barrier_description,nearest_functional_route_dist_m,nearest_functional_route_detour_ratio,nearest_functional_major_road_crossing_count,nearest_functional_large_intersection_flag,nearest_functional_accident_hotspot_flag,nearest_functional_barrier_level,nearest_functional_barrier_label,nearest_functional_barrier_summary,nearest_functional_barrier_description,nearest_official_park_dist_m,nearest_official_park_name,nearest_official_park_type,nearest_official_park_area_m2,nearest_official_park_function_class,nearest_official_park_function_label,official_to_functional_gap_m,official_to_neighborhood_gap_m,no_official_park_flag,only_micro_park_flag,no_functional_park_flag,no_neighborhood_scale_park_flag,activity_space_limited_flag,nominal_access_gap_flag,neighborhood_scale_gap_flag,near_park_low_green_imbalance_flag,access_condition_type,access_condition_label,access_condition_description,access_condition_priority
B000002949,인천신흥초등학교,중구,0,0.0,1,9769.289135852268,130,85,Q2,1.9852941176470589,-0.9852941176470588,128374.85739705882,-128374.85739705882,1.0,4.0,0,0,1,예정만,0.0,0.0,1,0,0,0,335199.19236705283,0,0.0,,공원 접근 결핍,11.0,0,-18.31428571428572,0,722.2,10717.2036,0.013646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,율목공원,0,0,0,0,0,0,121.0,답동로얄맨션 놀이터,722.2,율목공원,9785.0,mid_activity_park,1164.0,자유공원,68112.0,121.0,0.844,1,False,True,3,접근 주의,중간급 간선도로 1회 · 사고위험 지점 인접,"거리상 접근 가능하더라도, 초등학생 보행 기준에서는 간선도로·교차로·우회 부담을 함께 검토해야 합니다.",722.2,1.769,1,False,True,3,접근 주의,중간급 간선도로 1회 · 사고위험 지점 인접 · 우회 부담,"거리상 접근 가능하더라도, 초등학생 보행 기준에서는 간선도로·교차로·우회 부담을 함께 검토해야 합니다.",722.2,율목공원,어린이공원,9785.0,mid_activity_park,중간 규모 활동공간,0.0,441.79999999999995,True,False,True,True,False,False,False,False,no_official_park,공원 접근 결핍형,도보생활권 내 공식 공원이 확인되지 않아 야외활동 인프라 자체가 부족한 유형입니다.,1
B000002950,인천신광초등학교,중구,0,0.0,1,493.2068301590438,311,188,Q3,2.485294117647059,0.5147058823529411,144452.72647058824,-144452.72647058824,1.0,4.0,0,0,2,예정만,0.0,0.0,1,0,0,0,294963.71673306765,0,0.0,,공원 접근 결핍,12.0,0,-4.228571428571429,0,533.7,36367.3773,0.046304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,도원공원,1,0,0,1,0,0,61.3,한별프라이빌 놀이터,711.9,용마루어린이공원,3784.9,mid_activity_park,1461.6,주인공원,29775.0,61.3,1.472,0,False,True,2,보행 부담 높음,사고위험 지점 인접,"도보 경로에 간선도로 횡단, 대형 교차로 인접, 또는 우회 부담이 포함됩니다.",711.9,0.971,2,True,True,3,접근 주의,주요 도시 간선도로 1회 · 중간급 간선도로 1회 · 대형 교차로 인접 · 사고위험 지점 인접,"거리상 접근 가능하더라도, 초등학생 보행 기준에서는 간선도로·교차로·우회 부담을 함께 검토해야 합니다.",533.7,도원공원,어린이공원,494.0,playground_like,놀이터급·초소형 공간,178.19999999999993,927.8999999999999,False,True,True,True,True,True,False,False,nominal_access_only,명목 접근성 착시형,"공원은 있으나 대부분 초소형 공간으로, 단순 공원 개수만으로는 야외활동 환경을 과대평가할 수 있습니다.",2
B000002951,인천신선초등학교,중구,0,0.0,0,0.0,124,83,Q2,1.9852941176470589,-1.9852941176470589,128374.85739705882,-128374.85739705882,1.0,4.0,0,0,1,예정만,0.0,0.0,0,0,0,0,142048.8300928771,0,0.0,,공원 접근 결핍,6.0,0,-24.942857142857147,0,796.8,22320.0708,0.028419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,햇님공원,0,0,0,0,0,0,579.7,인천유림노르웨이숲 에듀오션 103동부 놀이터,1578.5,용정공원,29552.0,neighborhood_park_scale,1578.5,용정공원,29552.0,579.7,1.542,1,False,False,2,보행 부담 높음,중간급 간선도로 1회,"도보 경로에 간선도로 횡단, 대형 교차로 인접, 또는 우회 부담이 포함됩니다.",1578.5,1.24,2,False,True,3,접근 주의,주요 도시 간선도로 2회 · 사고위험 지점 인접,"거리상 접근 가능하더라도, 초등학생 보행 기준에서는 간선도로·교차로·우회 부담을 함께 검토해야 합니다.",796.8,햇님공원,어린이공원,601.1,playground_like,놀이터급·초소형 공간,781.7,781.7,True,False,True,True,True,False,False,False,no_official_park,공원 접근 결핍형,도보생활권 내 공식 공원이 확인되지 않아 야외활동 인프라 자체가 부족한 유형입니다.,1
B000002952,인천송월초등학교,중구,1,12654.398339365744,2,48923.18084692415,79,59,Q1,1.1323529411764706,3.8676470588235294,74437.42647058824,-6325.426470588238,4.0,1.0,0,0,2,예정만,6.798768043878933,6.798768043878933,4,0,1,0,186127.814005344,1,12654.398339365744,high,접근 양호,19.0,0,-20.62857142857143,0,247.0,7359.4195,0.00937,0.5,0.0,0.0,6.798768,6.540172,-0.258596,6.798768,자유공원,4,0,0,4,0,0,374.4,동화마을 어린이놀이터,491.2,자유공원,68112.0,neighborhood_park_scale,491.2,자유공원,68112.0,374.4,0.991,0,False,False,0,보행 부담 낮음,보행 부담 낮음,생활도로 중심의 접근 경로로 보행 부담이 낮은 편입니다.,491.2,0.964,0,False,False,0,보행 부담 낮음,보행 부담 낮음,생활도로 중심의 접근 경로로 보행 부담이 낮은 편입니다.,247.0,자유공원,근린공원,68112.0,neighborhood_park_scale,근린공원급 활동공간,244.2,244.2,False,False,False,False,False,False,False,False,functional_access_available,활동공원 접근 가능형,도보권 내 활동 가능 공원이 확인되는 유형입니다.,5
B000002953,인천운서초등학교,중구,6,21160.32833924544,8,100285.20485958172,102,53,Q1,1.1323529411764706,5.867647058823529,74437.42647058824,10413.573529411762,4.0,1.0,0,0,0,없음,7.186789084640512,7.186789084640512,1,0,0,0,294433.6906236604,6,21160.32833924544,high,접근 양호,24.0,0,126.39999999999998,0,76.3,28880.1755,0.036771,0.75,1.0,5882.1179,7.186789,8.364147,1.177358,7.186789,용샘공원,4,2,0,1,1,2,76.3,용샘공원,243.1,눈돌공원,6166.0,mid_activity_park,614.7,새부리공원,14967.0,76.3,0.631,0,False,False,0,보행 부담 낮음,보행 부담 낮음,생활도로 중심의 접근 경로로 보행 부담이 낮은 편입니다.,243.1,0.899,0,False,False,0,보행 부담 낮음,보행 부담 낮음,생활도로 중심의 접근 경로로 보행 부담이 낮은 편입니다.,76.3,용샘공원,어린이공원,2805.0,small_child_park,소규모 어린이공원급,166.8,538.4000000000001,False,False,False,True,False,False,True,False,functional_access_available,활동공원 접근 가능형,도보권 내 활동 가능 공원이 확인되는 유형입니다.,5
B000002954,인천용유초등학교,중구,0,0.0,0,0.0,0,0,Q1,1.1323529411764706,-1.1323529411764706,74437.42647058824,-74437.42647058824,1.0,4.0,0,0,0,없음,0.0,0.0,0,0,0,0,112246.91989108516,0,0.0,,공원 접근 결핍,1.0,0,-1.9714285714285715,0,13471.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,영종하늘도시 6호,0,0,0,0,0,0,4482.3,인스파이어호텔 패밀리파크 어린이놀이터,,,,,,,,4482.3,1.196,1,False,False,2,보행 부담 높음,중간급 간선도로 1회,"도보 경로에 간선도로 횡단, 대형 교차로 인접, 또는 우회 부담이 포함됩니다.",,,,,,,자료 없음,자료 없음,경로 자료가 없어 보행부담을 추정할 수 없습니다.,13471.8,영종하늘도시 6호,근린공원,59927.0,neighborhood_park_scale,근린공원급 활동공간,,,True,False,True,True,False,False,False,False,no_official_park,공원 접근 결핍형,도보생활권 내 공식 공원이 확인되지 않아 야외활동 인프라 자체가 부족한 유형입니다.,1
B000002955,인천연안초등학교,중구,0,0.0,0,0.0,18,12,Q1,1.1323529411764706,-1.1323529411764706,74437.42647058824,-74437.42647058824,1.0,4.0,0,0,0,없음,0.0,0.0,0,0,0,0,196543.5348366733,0,0.0,,공원 접근 결핍,9.0,0,-15.971428571428572,0,620.0,57222.487,0.072858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,햇님공원,0,0,0,0,0,0,416.6,비취맨션3단지아파트10동앞놀이터,4041.7,용정공원,29552.0,neighborhood_park_scale,4041.7,용정공원,29552.0,416.6,1.316,0,False,True,2,보행 부담 높음,사고위험 지점 인접,"도보 경로에 간선도로 횡단, 대형 교차로 인접, 또는 우회 부담이 포함됩니다.",4041.7,1.326,9,False,True,3,접근 주의,주요 도시 간선도로 2회 · 중간급 간선도로 7회 · 사고위험 지점 인접,"거리상 접근 가능하더라도, 초등학생 보행 기준에서는 간선도로·교차로·우회 부담을 함께 검토해야 합니다.",620.0,햇님공원,어린이공원,601.1,playground_like,놀이터급·초소형 공간,3421.7,3421.7,True,False,True,True,True,False,False,False,no_official_park,공원 접근 결핍형,도보생활권 내 공식 공원이 확인되지 않아 야외활동 인프라 자체가 부족한 유형입니다.,1
B000002956,인천운남초등학교,중구,3,9412.520578294025,5,50142.18958184175,34,23,Q1,1.1323529411764706,1.8676470588235288,74437.42647058824,-60371.42647058824,4.0,1.0,0,0,0,없음,5.079155588874079,5.079155588874079,0,0,0,0,185316.6419810452,3,9412.520578294025,high,접근 양호,1.0,0,-14.085714285714284,0,186.0,55989.2976,0.071288,0.6,0.0,0.0,5.079156,3.900658,-1.178497,5.079156,운남제1호공원,3,1,1,0,2,0,222.8,운남제1호공원,222.8,운남제1호공원,11065.0,neighborhood_park_scale,222.8,운남제1호공원,11065.0,222.8,2.829,0,False,False,3,접근 주의,우회 부담,"거리상 접근 가능하더라도, 초등학생 보행 기준에서는 간선도로·교차로·우회 부담을 함께 검토해야 합니다.",222.8,2.829,0,False,False,3,접근 주의,우회 부담,"거리상 접근 가능하더라도, 초등학생 보행 기준에서는 간선도로·교차로·우회 부담을 함께 검토해야 합니다.",186.0,운남제1호공원,근린공원,11065.0,neighborhood_park_scale,근린공원급 활동공간,36.80000000000001,36.80000000000001,False,False,False,False,False,False,False,True,near_park_low_green_imbalance,근접 공원-녹지환경 불균형형,"가까운 활동 가능 공원은 있으나, 학교 도보생활권 전체의 녹지 비율은 낮은 유형입니다.",3
B000002957,인천공항초등학교,중구,5,15471.766169290404,5,99035.64694328146,187,135,Q2,1.9852941176470589,8.014705882352942,128374.85739705882,351465.1426029412,4.0,1.0,0,0,0,없음,5.766016684276104,5.766016684276104,4,0,0,0,268326.7672721417,5,15471.766169290404,high,접근 양호,12.0,0,-25.97142857142858,0,105.8,110234.7876,0.140355,1.0,4.0,12699.7641,5.766017,7.44173,1.675714,5.766017,뒷마루공원,4,0,0,4,0,0,49.8,금호베스트빌 2차아파트 놀이터(202동 옆),105.8,뒷마루공원,12500.0,neighborhood_park_scale,105.8,뒷마루공원,12500.0,49.8,0.625,0,False,False,0,보행 부담 낮음,보행 부담 낮음,생활도로 중심의 접근 경로로 보행 부담이 낮은 편입니다.,105.8,0.712,0,False,False,0,보행 부담 낮음,보행 부담 낮음,생활도로 중심의 접근 경로로 보행 부담이 낮은 편입니다.,105.8,뒷마루공원,근린공원,12500.0,neighborhood_park_scale,근린공원급 활동공간,0.0,0.0,False,False,False,False,False,False,False,False,functional_access_available,활동공원 접근 가능형,도보권 내 활동 가능 공원이 확인되는 유형입니다.,5
B000002958,인천삼목초등학교,중구,1,1976.4483268915828,7,209961.13572198,86,62,Q1,1.1323529411764706,5.867647058823529,74437.42647058824,-72437.42647058824,3.0,2.0,0,0,0,없음,1.622349304404343,1.622349304404343,3,0,1,0,121826.31209727364,1,1976.4483268915828,middle,"접근 가능, 중간 수준",18.0,0,-55.25714285714287,0,463.4,180384.3823,0.229673,0.1428571428571428,3.0,14893.7878,1.622349,5.582276,3.959927,1.622349,나리공원,4,0,0,3,1,0,303.7,풍림아이원 3-1-1단지 놀이터,758.1,영마루공원,60116.0,neighborhood_park_scale,758.1,영마루공원,60116.0,303.7,1.435,0,False,False,1,일부 보행 부담,지구 내 간선도로 2회,일부 우회 또는 일반 횡단 구간이 포함됩니다.,758.1,2.163,0,False,False,3,접근 주의,지구 내 간선도로 1회 · 우회 부담,"거리상 접근 가능하더라도, 초등학생 보행 기준에서는 간선도로·교차로·우회 부담을 함께 검토해야 합니다.",463.4,나리공원,어린이공원,2000.0,small_child_park,소규모 어린이공원급,294.70000000000005,294.70000000000005,False,True,True,True,True,True,False,False,nominal_access_only,명목 접근성 착시형,"공원은 있으나 대부분 초소형 공간으로, 단순 공원 개수만으로는 야외활동 환경을 과대평가할 수 있습니다.",2
B000002959,인천영종초등학교,중구,15,9352.01297892306,3,55923.53142038581,439,284,Q4,2.8823529411764706,-0.8823529411764706,131177.18088235296,-114236.18088235296,4.0,1.0,0,0,0,없음,7.1998,7.1998,3,0,0,0,129892.67728163365,1,9352.01297892306,high,접근 양호,25.0,0,-26.51428571428572,0,235.0,0.0,0.0,5.0,0.0,0.0,7.1998,7.1998,0.0,7.1998,파크골프공원,1,0,0,1,0,0,41.4,파크골프공원,41.4,파크골프공원,16941.0,neighborhood_park_scale,41.4,파크골프공원,16941.0,41.4,0.302,0,False,False,0,보행 부담 낮음,보행 부담 낮음,생활도로 중심의 접근 경로로 보행 부담이 낮은 편입니다.,41.4,0.302,0,False,False,0,보행 부담 낮음,보행 부담 낮음,생활도로 중심의 접근 경로로 보행 부담이 낮은 편입니다.,235.0,파크골프공원,근린공원,16941.0,neighborhood_park_scale,근린공원급 활동공간,-193.6,-193.6,False,False,False,False,False,False,False,False,functional_access_available,활동공원 접근 가능형,도보권 내 활동 가능 공원이 확인되는 유형입니다.,5
B000002960,인성초등학교,중구,1,59796.40023637414,1,68002.63889843354,74,54,Q1,1.1323529411764706,2.867647058823529,74437.42647058824,-6325.426470588238,4.0,1.0,0,1,0,진행중포함,18.608229145254416,18.608229145254416,3,0,0,0,321343.85152723565,1,59796.40023637414,high,접근 양호,50.0,0,14.542857142857144,0,382.2,0.0,0.0,1.0,0.0,0.0,18.608229,18.608229,0.0,18.608229,자유공원,4,1,1,3,0,0,182.1,인천 중부경찰서 직장어린이집 도담놀이터,382.2,자유공원,68112.0,neighborhood_park_scale,382.2,자유공원,68112.0,182.1,1.012,0,False,True,2,보행 부담 높음,지구 내 간선도로 1회 · 사고위험 지점 인접,"도보 경로에 간선도로 횡단, 대형 교차로 인접, 또는 우회 부담이 포함됩니다.",382.2,2.473,0,False,False,3,접근 주의,우회 부담,"거리상 접근 가능하더라도, 초등학생 보행 기준에서는 간선도로·교차로·우회 부담을 함께 검토해야 합니다.",382.2,자유공원,근린공원,68112.0,neighborhood_park_scale,근린공원급 활동공간,0.0,0.0,False,False,False,False,False,False,False,False,functional_access_with_barrier,보행부담 동반형,"활동 가능 공원은 있으나, 도달 경로에 간선도로 횡단 또는 교차로 부담이 포함될 수 있습니다.",4
B000002962,인천영종초등학교금산분교장,중구,0,0.0,0,0.0,2,1,Q1,1.1323529411764706,-1.1323529411764706,74437.42647058824,-74437.42647058824,1.0,4.0,0,0,0,없음,0.0,0.0,0,0,0,0,67578.66471555413,0,0.0,,공원 접근 결핍,2.0,0,-2.771428571428572,0,1587.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,미단시티 2호,0,0,0,0,0,0,1181.1,금산어린이집 놀이터,1587.3,미단시티 2호,66408.0,neighborhood_park_scale,1587.3,미단시티 2호,66408.0,1181.1,1.383,0,False,False,1,일부 보행 부담,지구 내 간선도로 2회,일부 우회 또는 일반 횡단 구간이 포함됩니다.,1587.3,1.532,0,False,False,1,일부 보행 부담,일부 보행 부담,일부 우회 또는 일반 횡단 구간이 포함됩니다.,1587.3,미단시티 2호,근린공원,66408.0,neighborhood_park_scale,근린공원급 활동공간,0.0,0.0,True,False,True,True,False,False,False,False,no_official_park,공원 접근 결핍형,도보생활권 내 공식 공원이 확인되지 않아 야외활동 인프라 자체가 부족한 유형입니다.,1
B000002963,인천만석초등학교,동구,4,6915.068197517222,4,21887.060733202263,123,79,Q2,1.9852941176470589,1.0147058823529411,128374.85739705882,-106889.85739705882,3.0,2.0,0,0,0,없음,3.0621,3.0621,0,0,0,0,225827.6410802136,3,6915.068197517222,middle,"접근 가능, 중간 수준",54.0,0,-45.68571428571428,0,110.6,0.0,0.0,1.0,0.0,0.0,3.0621,3.0621,0.0,3.0621,화수3공원,2,0,0,2,0,0,110.6,화수3공원,397.7,화도진공원,20830.0,neighborhood_park_scale,397.7,화도진공원,20830.0,110.6,0.61,1,False,False,2,보행 부담 높음,주요 도시 간선도로 1회,"도보 경로에 간선도로 횡단, 대형 교차로 인접, 또는 우회 부담이 포함됩니다.",397.7,1.178,0,False,False,0,보행 부담 낮음,보행 부담 낮음,생활도로 중심의 접근 경로로 보행 부담이 낮은 편입니다.,110.6,화수3공원,어린이공원,411.5,playground_like,놀이터급·초소형 공간,287.1,287.1,False,False,False,False,False,False,False,True,near_park_low_green_imbalance,근접 공원-녹지환경 불균형형,"가까운 활동 가능 공원은 있으나, 학교 도보생활권 전체의 녹지 비율은 낮은 유형입니다.",3
