학교ID,학교명,gu,similarity_group,knn_k,similarity_features,selection_features,comparison_features,redev_status_simple,large_apt_flag,redev_none,redev_completed,redev_planned,large_apt_count_500m,large_apt_households_500m,current_students_2025,student_slope,recent_student_change_pct,trend_volatility,common_points,relative_strengths,relative_weaknesses,peer_avg_nearest_park_dist_m,peer_avg_iso_green_ratio,peer_avg_iso_playground_count,similar_school_1_id,similar_school_1_name,similar_school_1_gu,similar_school_1_distance,similar_school_1_nearest_park_dist_m,similar_school_1_iso_green_ratio,similar_school_1_iso_playground_count,similar_school_2_id,similar_school_2_name,similar_school_2_gu,similar_school_2_distance,similar_school_2_nearest_park_dist_m,similar_school_2_iso_green_ratio,similar_school_2_iso_playground_count,similar_school_3_id,similar_school_3_name,similar_school_3_gu,similar_school_3_distance,similar_school_3_nearest_park_dist_m,similar_school_3_iso_green_ratio,similar_school_3_iso_playground_count,similar_school_4_id,similar_school_4_name,similar_school_4_gu,similar_school_4_distance,similar_school_4_nearest_park_dist_m,similar_school_4_iso_green_ratio,similar_school_4_iso_playground_count,similar_school_5_id,similar_school_5_name,similar_school_5_gu,similar_school_5_distance,similar_school_5_nearest_park_dist_m,similar_school_5_iso_green_ratio,similar_school_5_iso_playground_count
B000003106,경인교육대학교부설초등학교,계양구,mainstream,4,"current_students_2025, student_slope, recent_student_change_pct, trend_volatility, iso_child_total, large_apt_count_500m, large_apt_households_500m, redev_완료수, redev_진행중수, redev_예정수, is_new_school","current_students_2025, student_slope, recent_student_change_pct, trend_volatility, iso_child_total, large_apt_count_500m, large_apt_households_500m, redev_완료수, redev_진행중수, redev_예정수, is_new_school","nearest_park_dist_m, iso_green_ratio, iso_playground_count",계획·진행,1,0,0,1,3,2182,560,-1.914,-0.0227,7.694,"학교 주변 아동 규모는 168명으로, KNN 비교군 72~253명 범위와 비슷합니다 (평균 158명). | 학생수 추세는 연간 -1.9명 수준으로, KNN 비교군 평균 -23.1명과 비슷한 학생 수가 대체로 안정적인 흐름입니다. | 재개발 상태는 '계획·진행'이며, KNN 비교군의 100%도 같은 단계입니다.",유사학교 평균보다 녹지 비율이 6.2%p 더 높습니다 | 유사학교 평균보다 최근접 공원 거리가 651.2m 더 가깝습니다,유사학교 평균 대비 두드러진 상대 약점이 크지 않습니다,705.1,1.27,0.0,B000003035,인천산곡남초등학교,부평구,1.1016,1002.6,0.0,0,B000003109,인천효성초등학교,계양구,1.5253,513.4,3.8,0,B000003119,인천소양초등학교,계양구,1.5585,244.0,1.27,0,B000003041,인천용마초등학교,부평구,1.6284,1060.4,0.0,0,,,,,,,
B000003123,인천계산초등학교,계양구,mainstream,4,"current_students_2025, student_slope, recent_student_change_pct, trend_volatility, iso_child_total, large_apt_count_500m, large_apt_households_500m, redev_완료수, redev_진행중수, redev_예정수, is_new_school","current_students_2025, student_slope, recent_student_change_pct, trend_volatility, iso_child_total, large_apt_count_500m, large_apt_households_500m, redev_완료수, redev_진행중수, redev_예정수, is_new_school","nearest_park_dist_m, iso_green_ratio, iso_playground_count",계획·진행,0,0,0,1,0,0,162,-16.057,-0.069,10.092,"500m 안 대단지 아파트는 0개로, KNN 비교군도 0~0개 범위에 몰려 있습니다 (세대수 평균 0세대). | 최근 1년 학생수 증감률은 -6.9%로, KNN 비교군 -15.3~4.3% 범위와 유사합니다 (평균 -5.8%). | 재개발 상태는 '계획·진행'이며, KNN 비교군의 100%도 같은 단계입니다.",유사학교 평균보다 녹지 비율이 1.6%p 더 높습니다 | 유사학교 평균보다 최근접 공원 거리가 153.2m 더 가깝습니다,유사학교 평균 대비 두드러진 상대 약점이 크지 않습니다,597.2,1.29,0.0,B000002972,인천용정초등학교,미추홀구,0.8773,887.7,2.6,0,B000003167,인천석남서초등학교,서구,1.1399,863.9,0.0,0,B000003150,인천건지초등학교,서구,1.2092,358.0,2.57,0,B000002987,인천주안북초등학교,미추홀구,1.2563,279.4,0.0,0,,,,,,,
B000003122,인천계양초등학교,계양구,mainstream,4,"current_students_2025, student_slope, recent_student_change_pct, trend_volatility, iso_child_total, large_apt_count_500m, large_apt_households_500m, redev_완료수, redev_진행중수, redev_예정수, is_new_school","current_students_2025, student_slope, recent_student_change_pct, trend_volatility, iso_child_total, large_apt_count_500m, large_apt_households_500m, redev_완료수, redev_진행중수, redev_예정수, is_new_school","nearest_park_dist_m, iso_green_ratio, iso_playground_count",없음,1,1,0,0,1,1192,307,-41.286,-0.1153,21.141,"현재 학생수는 307명으로, KNN 비교군 186~415명 범위에 가깝습니다 (평균 265명). | 500m 안 대단지 아파트는 1개로, KNN 비교군도 1~2개 범위에 몰려 있습니다 (세대수 평균 886세대). | 재개발 상태는 '없음'이며, KNN 비교군의 100%도 같은 단계입니다.",유사학교 평균보다 최근접 공원 거리가 19.6m 더 가깝습니다,유사학교 평균보다 녹지 비율이 3.7%p 더 낮습니다 | 유사학교 평균보다 도보권 놀이터 수가 1개 더 적습니다,180.9,5.84,1.0,B000003142,인천심곡초등학교,서구,0.5172,163.0,14.35,0,B000003118,인천양촌초등학교,계양구,0.5501,400.2,1.63,0,B000002963,인천만석초등학교,동구,0.5821,110.6,1.59,0,B000002957,인천공항초등학교,중구,0.6547,49.8,5.77,4,,,,,,,
B000003121,인천귤현초등학교,계양구,mainstream,4,"current_students_2025, student_slope, recent_student_change_pct, trend_volatility, iso_child_total, large_apt_count_500m, large_apt_households_500m, redev_완료수, redev_진행중수, redev_예정수, is_new_school","current_students_2025, student_slope, recent_student_change_pct, trend_volatility, iso_child_total, large_apt_count_500m, large_apt_households_500m, redev_완료수, redev_진행중수, redev_예정수, is_new_school","nearest_park_dist_m, iso_green_ratio, iso_playground_count",없음,1,1,0,0,1,715,498,-56.429,-0.1324,20.736,"최근 1년 학생수 증감률은 -13.2%로, KNN 비교군 -16.5~-10.6% 범위와 유사합니다 (평균 -13.3%). | 500m 안 대단지 아파트는 1개로, KNN 비교군도 1~2개 범위에 몰려 있습니다 (세대수 평균 948세대). | 재개발 상태는 '없음'이며, KNN 비교군의 100%도 같은 단계입니다.",유사학교 평균보다 녹지 비율이 0.6%p 더 높습니다 | 유사학교 평균보다 최근접 공원 거리가 21.7m 더 가깝습니다,유사학교 평균보다 도보권 놀이터 수가 2개 더 적습니다,156.3,2.77,1.75,B000002958,인천삼목초등학교,중구,0.5823,303.7,1.62,3,B000003122,인천계양초등학교,계양구,0.7,161.3,2.09,0,B000002957,인천공항초등학교,중구,0.8232,49.8,5.77,4,B000002963,인천만석초등학교,동구,0.8343,110.6,1.59,0,,,,,,,
B000003116,인천길주초등학교,계양구,mainstream,4,"current_students_2025, student_slope, recent_student_change_pct, trend_volatility, iso_child_total, large_apt_count_500m, large_apt_households_500m, redev_완료수, redev_진행중수, redev_예정수, is_new_school","current_students_2025, student_slope, recent_student_change_pct, trend_volatility, iso_child_total, large_apt_count_500m, large_apt_households_500m, redev_완료수, redev_진행중수, redev_예정수, is_new_school","nearest_park_dist_m, iso_green_ratio, iso_playground_count",없음,1,1,0,0,8,7370,454,-44.143,-0.1133,20.605,"학생수 추세는 연간 -44.1명 수준으로, KNN 비교군 평균 -45.7명과 비슷한 학생 수가 줄어드는 흐름입니다. | 학교 주변 아동 규모는 175명으로, KNN 비교군 101~390명 범위와 비슷합니다 (평균 213명). | 재개발 상태는 '없음'이며, KNN 비교군의 100%도 같은 단계입니다.",유사학교 평균보다 최근접 공원 거리가 186.2m 더 가깝습니다,유사학교 평균보다 녹지 비율이 1.3%p 더 낮습니다,255.8,6.3,0.0,B000003053,인천중앙초등학교,연수구,0.7812,355.5,10.18,0,B000003103,인천담방초등학교,남동구,0.9481,21.6,5.21,0,B000003127,인천부현동초등학교,계양구,1.1677,285.4,7.18,0,B000003060,인천동막초등학교,연수구,1.1817,360.8,2.65,0,,,,,,,
B000003120,인천당산초등학교,계양구,mainstream,4,"current_students_2025, student_slope, recent_student_change_pct, trend_volatility, iso_child_total, large_apt_count_500m, large_apt_households_500m, redev_완료수, redev_진행중수, redev_예정수, is_new_school","current_students_2025, student_slope, recent_student_change_pct, trend_volatility, iso_child_total, large_apt_count_500m, large_apt_households_500m, redev_완료수, redev_진행중수, redev_예정수, is_new_school","nearest_park_dist_m, iso_green_ratio, iso_playground_count",없음,1,1,0,0,1,630,721,-117.4,-0.1313,16.824,"최근 1년 학생수 증감률은 -13.1%로, KNN 비교군 -14.6~-6.2% 범위와 유사합니다 (평균 -11.4%). | 500m 안 대단지 아파트는 1개로, KNN 비교군도 1~2개 범위에 몰려 있습니다 (세대수 평균 1,222세대). | 재개발 상태는 '없음'이며, KNN 비교군의 100%도 같은 단계입니다.",유사학교 평균 대비 두드러진 상대 강점이 크지 않습니다,유사학교 평균보다 최근접 공원 거리가 171.9m 더 멉니다 | 유사학교 평균보다 도보권 놀이터 수가 1개 더 적습니다,261.1,6.79,0.75,B000002958,인천삼목초등학교,중구,1.2749,303.7,1.62,3,B000025256,인천송원초등학교,연수구,1.2918,219.0,20.73,0,B000003121,인천귤현초등학교,계양구,1.3076,134.7,3.38,0,B000003166,인천마전초등학교,서구,1.5462,386.8,1.44,0,,,,,,,
B000003130,인천명현초등학교,계양구,mainstream,4,"current_students_2025, student_slope, recent_student_change_pct, trend_volatility, iso_child_total, large_apt_count_500m, large_apt_households_500m, redev_완료수, redev_진행중수, redev_예정수, is_new_school","current_students_2025, student_slope, recent_student_change_pct, trend_volatility, iso_child_total, large_apt_count_500m, large_apt_households_500m, redev_완료수, redev_진행중수, redev_예정수, is_new_school","nearest_park_dist_m, iso_green_ratio, iso_playground_count",계획·진행,1,0,0,1,3,2871,223,-34.314,-0.063,14.037,"500m 안 대단지 아파트는 3개로, KNN 비교군도 2~5개 범위에 몰려 있습니다 (세대수 평균 3,418세대). | 최근 1년 학생수 증감률은 -6.3%로, KNN 비교군 -13.8~-4.7% 범위와 유사합니다 (평균 -9.2%). | 재개발 상태는 '계획·진행'이며, KNN 비교군의 100%도 같은 단계입니다.",유사학교 평균보다 최근접 공원 거리가 0.9m 더 가깝습니다,유사학교 평균보다 도보권 놀이터 수가 2개 더 적습니다 | 유사학교 평균보다 녹지 비율이 0.0%p 더 낮습니다,369.5,1.31,2.0,B000003077,상인천초등학교,남동구,1.5649,473.0,0.11,0,B000003163,인천가좌초등학교,서구,1.5683,192.3,4.7,1,B000002989,인천주안남초등학교,미추홀구,1.5979,60.5,0.43,0,B000003027,인천부원초등학교,부평구,1.6194,752.2,0.0,7,,,,,,,
B000003117,인천병방초등학교,계양구,mainstream,4,"current_students_2025, student_slope, recent_student_change_pct, trend_volatility, iso_child_total, large_apt_count_500m, large_apt_households_500m, redev_완료수, redev_진행중수, redev_예정수, is_new_school","current_students_2025, student_slope, recent_student_change_pct, trend_volatility, iso_child_total, large_apt_count_500m, large_apt_households_500m, redev_완료수, redev_진행중수, redev_예정수, is_new_school","nearest_park_dist_m, iso_green_ratio, iso_playground_count",없음,1,1,0,0,5,5058,290,-42.114,-0.1159,13.303,"500m 안 대단지 아파트는 5개로, KNN 비교군도 4~6개 범위에 몰려 있습니다 (세대수 평균 5,604세대). | 최근 1년 학생수 증감률은 -11.6%로, KNN 비교군 -14.8~-8.9% 범위와 유사합니다 (평균 -11.6%). | 재개발 상태는 '없음'이며, KNN 비교군의 100%도 같은 단계입니다.",유사학교 평균 대비 두드러진 상대 강점이 크지 않습니다,유사학교 평균보다 녹지 비율이 4.6%p 더 낮습니다 | 유사학교 평균보다 최근접 공원 거리가 44.4m 더 멉니다,246.7,5.36,0.0,B000003016,인천부일초등학교,부평구,0.3572,0.0,4.69,0,B000003100,인천조동초등학교,남동구,0.6771,287.3,7.57,0,B000003061,인천서면초등학교,연수구,0.6997,594.5,3.18,0,B000003015,인천구산초등학교,부평구,0.8171,105.0,6.01,0,,,,,,,
B000003125,인천부평초등학교,계양구,mainstream,4,"current_students_2025, student_slope, recent_student_change_pct, trend_volatility, iso_child_total, large_apt_count_500m, large_apt_households_500m, redev_완료수, redev_진행중수, redev_예정수, is_new_school","current_students_2025, student_slope, recent_student_change_pct, trend_volatility, iso_child_total, large_apt_count_500m, large_apt_households_500m, redev_완료수, redev_진행중수, redev_예정수, is_new_school","nearest_park_dist_m, iso_green_ratio, iso_playground_count",계획·진행,0,0,0,1,0,0,245,-36.629,-0.1155,7.483,"500m 안 대단지 아파트는 0개로, KNN 비교군도 0~0개 범위에 몰려 있습니다 (세대수 평균 0세대). | 최근 1년 학생수 증감률은 -11.6%로, KNN 비교군 -14.1~-8.6% 범위와 유사합니다 (평균 -11.5%). | 재개발 상태는 '계획·진행'이며, KNN 비교군의 100%도 같은 단계입니다.",유사학교 평균보다 최근접 공원 거리가 66.6m 더 가깝습니다,유사학교 평균보다 녹지 비율이 1.7%p 더 낮습니다,210.8,2.36,0.0,B000003040,인천동암초등학교,부평구,0.2973,152.1,1.14,0,B000003094,인천신월초등학교,남동구,0.4283,248.3,4.63,0,B000002980,인천관교초등학교,미추홀구,0.7299,201.4,1.67,0,B000002979,인천문학초등학교,미추홀구,1.1287,241.4,2.01,0,,,,,,,
B000003127,인천부현동초등학교,계양구,mainstream,4,"current_students_2025, student_slope, recent_student_change_pct, trend_volatility, iso_child_total, large_apt_count_500m, large_apt_households_500m, redev_완료수, redev_진행중수, redev_예정수, is_new_school","current_students_2025, student_slope, recent_student_change_pct, trend_volatility, iso_child_total, large_apt_count_500m, large_apt_households_500m, redev_완료수, redev_진행중수, redev_예정수, is_new_school","nearest_park_dist_m, iso_green_ratio, iso_playground_count",없음,1,1,0,0,8,6203,430,-69.143,-0.126,14.5,"최근 1년 학생수 증감률은 -12.6%로, KNN 비교군 -15.9~-9.9% 범위와 유사합니다 (평균 -12.3%). | 학교 주변 아동 규모는 390명으로, KNN 비교군 175~519명 범위와 비슷합니다 (평균 322명). | 재개발 상태는 '없음'이며, KNN 비교군의 100%도 같은 단계입니다.",유사학교 평균보다 녹지 비율이 2.9%p 더 높습니다,유사학교 평균보다 최근접 공원 거리가 142.4m 더 멉니다,143.0,4.31,0.0,B000003104,인천남동초등학교,남동구,0.7869,36.5,3.58,0,B000003116,인천길주초등학교,계양구,1.1677,69.6,4.99,0,B000003015,인천구산초등학교,부평구,1.1923,105.0,6.01,0,B000003060,인천동막초등학교,연수구,1.2882,360.8,2.65,0,,,,,,,
