학교ID,학교명,method,offset_m,reach_nodes,reach_edge_len_m,n_parts,v3_area_m2,v3_ratio,v2_osmnx_area_m2,valhalla_area_m2,v3_vs_v2,v3_vs_valhalla
B000003024,인천갈월초등학교,exact_edge_trim_v3,7.4,197,13120.8,1,440996,0.5615,306711,473799,1.438,0.931
B000003057,인천청량초등학교,exact_edge_trim_v3,36.2,98,7807.3,1,334862,0.4264,257691,416680,1.299,0.804
B000025246,인천미송초등학교,exact_edge_trim_v3,61.2,28,3155.0,1,150795,0.192,78369,182105,1.924,0.828
B000026469,인천한별초등학교,exact_edge_trim_v3,71.0,6,1548.9,1,100593,0.1281,94276,109588,1.067,0.918
B000026466,인천아라초등학교,exact_edge_trim_v3,46.5,7,1388.8,1,97669,0.1244,56199,99570,1.738,0.981
B000003178,갑룡초등학교,exact_edge_trim_v3,67.3,50,3014.8,1,155326,0.1978,22568,270951,6.883,0.573
B000003098,인천논곡초등학교,exact_edge_trim_v3,47.1,25,3883.9,1,255322,0.3251,176227,418281,1.449,0.61
B000002959,인천영종초등학교,exact_edge_trim_v3,37.0,35,3336.5,1,166598,0.2121,129893,220743,1.283,0.755
B000025228,인천예송초등학교,exact_edge_trim_v3,36.4,16,4027.6,1,272150,0.3465,98619,342271,2.76,0.795
B000003150,인천건지초등학교,exact_edge_trim_v3,24.1,28,4845.7,1,309058,0.3935,216674,413818,1.426,0.747
B000025202,인천장아초등학교,exact_edge_trim_v3,109.7,13,1965.7,1,89793,0.1143,79894,189411,1.124,0.474
B000003013,인천영선초등학교,exact_edge_trim_v3,52.0,47,4782.0,1,224645,0.286,152715,422685,1.471,0.531
B000003127,인천부현동초등학교,exact_edge_trim_v3,35.4,74,6749.8,1,312154,0.3974,249543,369605,1.251,0.845
B000003012,인천후정초등학교,exact_edge_trim_v3,58.6,42,2549.8,1,115061,0.1465,108151,200982,1.064,0.572
B000003007,인천부곡초등학교,exact_edge_trim_v3,20.7,16,2609.2,1,168686,0.2148,64438,261256,2.618,0.646
B000027505,인천중산초등학교,exact_edge_trim_v3,53.9,39,5311.2,1,269104,0.3426,153348,244935,1.755,1.099
B000024924,인천하늘초등학교,exact_edge_trim_v3,68.2,10,2196.5,1,144240,0.1837,101508,215839,1.421,0.668
B000003137,인천간재울초등학교,exact_edge_trim_v3,39.6,31,4640.1,1,246636,0.314,265503,301076,0.929,0.819
B000003148,인천가림초등학교,exact_edge_trim_v3,40.4,148,11452.3,1,431995,0.55,290788,519449,1.486,0.832
B000003189,해명초등학교,exact_edge_trim_v3,4.1,37,4115.3,1,248209,0.316,38138,284048,6.508,0.874
B000003113,인천화전초등학교,exact_edge_trim_v3,18.2,238,14531.2,1,449026,0.5717,360977,485740,1.244,0.924
B000003131,인천효성서초등학교,exact_edge_trim_v3,22.2,66,6221.2,1,255090,0.3248,204403,303091,1.248,0.842
B000026155,인천한들초등학교,exact_edge_trim_v3,64.8,20,3353.7,1,187435,0.2386,148239,180624,1.264,1.038
B000025248,인천은송초등학교,exact_edge_trim_v3,48.6,15,2782.5,1,123403,0.1571,121361,130778,1.017,0.944
B000003095,인천구월초등학교,exact_edge_trim_v3,50.8,67,7840.9,1,363687,0.4631,340053,508918,1.07,0.715
B000003140,인천초은초등학교,exact_edge_trim_v3,7.8,120,7623.9,1,238566,0.3038,202913,255235,1.176,0.935
B000025189,인천송명초등학교,exact_edge_trim_v3,110.6,4,1229.7,1,84794,0.108,70088,143560,1.21,0.591
B000025677,인천주안초등학교,exact_edge_trim_v3,48.8,58,7038.2,1,344548,0.4387,286073,445184,1.204,0.774
B000003164,인천가정초등학교,exact_edge_trim_v3,51.0,33,3031.1,1,152610,0.1943,122137,252786,1.249,0.604
B000003187,양사초등학교,exact_edge_trim_v3,20.0,36,4327.3,1,262670,0.3344,784137,285278,0.335,0.921
B000003133,인천해원초등학교,exact_edge_trim_v3,50.0,256,14328.1,1,348417,0.4436,311117,447031,1.12,0.779
B000002968,인천서림초등학교,exact_edge_trim_v3,17.5,187,15900.3,1,440923,0.5614,387164,507063,1.139,0.87
B000026333,인천가원초등학교,exact_edge_trim_v3,40.8,149,10013.6,1,278335,0.3544,213291,372447,1.305,0.747
B000003175,조산초등학교,exact_edge_trim_v3,24.3,22,2971.5,1,181150,0.2306,15500,216894,11.687,0.835
B000003074,인천간석초등학교,exact_edge_trim_v3,12.4,101,9336.6,1,409773,0.5217,297891,468103,1.376,0.875
B000002993,연평초등학교,exact_edge_trim_v3,3.5,53,3639.5,1,182541,0.2324,16688,201679,10.938,0.905
B000025236,인천첨단초등학교,exact_edge_trim_v3,66.7,6,1485.7,1,99714,0.127,68500,146451,1.456,0.681
B000026470,인천이음초등학교,exact_edge_trim_v3,68.5,7,1813.5,1,125836,0.1602,89369,230172,1.408,0.547
B000003124,인천안산초등학교,exact_edge_trim_v3,17.5,61,5716.4,1,254987,0.3247,206722,293145,1.233,0.87
B000003185,하점초등학교,exact_edge_trim_v3,85.9,35,3682.5,1,217694,0.2772,15500,296505,14.045,0.734
B000003065,인천신정초등학교,exact_edge_trim_v3,22.0,54,5607.5,1,279469,0.3558,197771,355548,1.413,0.786
B000002962,인천영종초등학교금산분교장,exact_edge_trim_v3,6.6,80,4824.1,1,128574,0.1637,67579,154914,1.903,0.83
B000003158,인천원당초등학교,exact_edge_trim_v3,49.1,17,2152.4,1,117653,0.1498,121480,117876,0.968,0.998
B000025512,인천용학초등학교,exact_edge_trim_v3,54.9,9,1194.4,1,76082,0.0969,19482,75067,3.905,1.014
B000003087,인천원동초등학교,exact_edge_trim_v3,59.6,5,807.4,1,56064,0.0714,110903,121460,0.506,0.462
B000025222,인천현송초등학교,exact_edge_trim_v3,57.5,22,4312.5,1,139435,0.1775,98083,187487,1.422,0.744
B000003016,인천부일초등학교,exact_edge_trim_v3,86.9,31,2975.1,1,182070,0.2318,144232,318236,1.262,0.572
B000003170,인천서곶초등학교,exact_edge_trim_v3,27.8,45,5778.7,1,288853,0.3678,104957,339386,2.752,0.851
B000026504,인천송담초등학교,exact_edge_trim_v3,96.1,23,2952.7,1,118152,0.1504,87899,201208,1.344,0.587
B000003176,화도초등학교,exact_edge_trim_v3,41.3,33,4038.2,1,252075,0.321,38138,311366,6.61,0.81
B000003139,인천청라초등학교,exact_edge_trim_v3,50.2,145,9646.1,1,263122,0.335,322155,346513,0.817,0.759
B000025210,인천연송초등학교,exact_edge_trim_v3,51.7,13,3100.3,1,241984,0.3081,118468,310870,2.043,0.778
B000003179,강화초등학교,exact_edge_trim_v3,23.0,103,6972.7,1,315455,0.4017,784137,329426,0.402,0.958
B000003101,인천인동초등학교,exact_edge_trim_v3,46.6,77,6738.7,1,346833,0.4416,272745,429331,1.272,0.808
B000002982,인천석암초등학교,exact_edge_trim_v3,11.2,56,6316.0,1,294656,0.3752,236063,312279,1.248,0.944
B000002956,인천운남초등학교,exact_edge_trim_v3,62.4,31,4264.0,1,237648,0.3026,185317,292383,1.282,0.813
B000003153,인천완정초등학교,exact_edge_trim_v3,54.3,76,5771.7,1,272782,0.3473,208485,379691,1.308,0.718
B000003160,인천창신초등학교,exact_edge_trim_v3,33.2,26,3988.5,1,225721,0.2874,199781,244274,1.13,0.924
B000026332,인천백석초등학교,exact_edge_trim_v3,33.6,18,4075.8,1,252753,0.3218,171318,274071,1.475,0.922
B000003186,명신초등학교,exact_edge_trim_v3,40.2,30,3107.6,1,197794,0.2518,15500,257825,12.761,0.767
B000003122,인천계양초등학교,exact_edge_trim_v3,11.5,66,8028.6,1,370384,0.4716,250770,408503,1.477,0.907
B000003194,서도초등학교,exact_edge_trim_v3,186.0,0,627.9,1,47466,0.0604,784137,73024,0.061,0.65
B000003112,인천성지초등학교,exact_edge_trim_v3,39.8,67,6180.6,1,321766,0.4097,215078,399102,1.496,0.806
B000003120,인천당산초등학교,exact_edge_trim_v3,27.1,30,2783.7,1,130235,0.1658,72290,223561,1.802,0.583
