학교ID,학교명,위도,경도,소재지도로명주소,시도교육청명
B000003024,인천갈월초등학교,37.51033274,126.7250527,인천광역시 부평구 주부토로 165,인천광역시교육청
B000003057,인천청량초등학교,37.41192857,126.6747258,인천광역시 연수구 먼우금로 158,인천광역시교육청
B000025246,인천미송초등학교,37.41477678,126.6133042,인천광역시 연수구 아카데미로 667,인천광역시교육청
B000026469,인천한별초등학교,37.59736864,126.7066138,인천광역시 서구 서로3로 201,인천광역시교육청
B000026466,인천아라초등학교,37.58493755,126.7033388,인천광역시 서구 서로2로 42(당하동),인천광역시교육청
B000003178,갑룡초등학교,37.74321915,126.5036224,인천광역시 강화군 강화읍 갑룡길 88,인천광역시교육청
B000003098,인천논곡초등학교,37.41056023,126.709953,인천광역시 남동구 함박뫼로 429,인천광역시교육청
B000002959,인천영종초등학교,37.48865901,126.5537236,인천광역시 중구 하늘달빛로 133,인천광역시교육청
B000025228,인천예송초등학교,37.38745671,126.6303141,인천광역시 연수구 컨벤시아대로252번길 75,인천광역시교육청
B000003150,인천건지초등학교,37.49548863,126.6774856,인천광역시 서구 건지로318번길 39,인천광역시교육청
B000025202,인천장아초등학교,37.42451149,126.7536905,인천광역시 남동구 서창방산로 93,인천광역시교육청
B000003013,인천영선초등학교,37.51537396,126.7344356,인천광역시 부평구 충선로 293,인천광역시교육청
B000003127,인천부현동초등학교,37.53456549,126.7404465,인천광역시 계양구 용종로 5,인천광역시교육청
B000003012,인천후정초등학교,37.5231572,126.743587,인천광역시 부평구 영성서로 56,인천광역시교육청
B000003007,인천부곡초등학교,37.50351243,126.707099,인천광역시 부평구 마장로272번길 73,인천광역시교육청
B000027505,인천중산초등학교,37.49471569,126.5653914,인천광역시 중구 두미포로 100,인천광역시교육청
B000024924,인천하늘초등학교,37.49794594,126.5579456,인천광역시 중구 은하수로 294,인천광역시교육청
B000003137,인천간재울초등학교,37.56033764,126.6722937,인천광역시 서구 승학로 433,인천광역시교육청
B000003148,인천가림초등학교,37.49058351,126.6810501,인천광역시 서구 장고개로293번길 29,인천광역시교육청
B000003189,해명초등학교,37.66870002,126.362707,인천광역시 강화군 삼산면 삼산남로 345,인천광역시교육청
B000003113,인천화전초등학교,37.52846783,126.7315531,인천광역시 계양구 효서로303번길 8,인천광역시교육청
B000003131,인천효성서초등학교,37.5279826,126.6986766,인천광역시 계양구 봉오대로 457,인천광역시교육청
B000026155,인천한들초등학교,37.57963661,126.6728081,인천광역시 서구 한중로 25,인천광역시교육청
B000025248,인천은송초등학교,37.4139322,126.6297242,인천광역시 연수구 센트럴로 460,인천광역시교육청
