학교ID,학교명,위도,경도,소재지도로명주소,시도교육청명
B000025677,인천주안초등학교,37.45465257,126.6738236,인천광역시 미추홀구 남주길69번길 16,인천광역시교육청
B000025512,인천용학초등학교,37.44676348,126.6434992,인천광역시 미추홀구 용정공원로83번길 9,인천광역시교육청
B000002982,인천석암초등학교,37.46235,126.6867275,인천광역시 미추홀구 주안동로 46,인천광역시교육청
B000002980,인천관교초등학교,37.44625655,126.69278,인천광역시 미추홀구 인하로 414,인천광역시교육청
B000002975,인천용현남초등학교,37.4478941,126.64196,인천광역시 미추홀구 매소홀로 133,인천광역시교육청
B000002976,인천학산초등학교,37.43982892,126.65816,인천광역시 미추홀구 한나루로357번길 66,인천광역시교육청
B000002986,인천대화초등학교,37.46903368,126.6685133,인천광역시 미추홀구 석정로301번길 13,인천광역시교육청
B000002992,인천연학초등학교,37.44356467,126.6719174,인천광역시 미추홀구 주승로 20,인천광역시교육청
B000002987,인천주안북초등학교,37.46816063,126.6780956,인천광역시 미추홀구 석정로375번길 14,인천광역시교육청
B000002979,인천문학초등학교,37.4398904,126.6828332,인천광역시 미추홀구 매소홀로 553,인천광역시교육청
B000002984,인천승학초등학교,37.44040271,126.6965588,인천광역시 미추홀구 주승로 259,인천광역시교육청
B000002991,인천인주초등학교,37.44238998,126.6737257,인천광역시 미추홀구 매소홀로475번길 53,인천광역시교육청
B000002989,인천주안남초등학교,37.44955342,126.6850024,인천광역시 미추홀구 인주대로434번길 11,인천광역시교육청
B000002990,인천학익초등학교,37.44706316,126.6586364,인천광역시 미추홀구 한나루로403번길 122,인천광역시교육청
B000002973,인천용일초등학교,37.45245007,126.6633622,인천광역시 미추홀구 인주대로 244,인천광역시교육청
B000002977,인천백학초등학교,37.43892166,126.671948,인천광역시 미추홀구 매소홀로446번길 25,인천광역시교육청
B000002974,인천용현초등학교,37.45311116,126.6408079,인천광역시 미추홀구 낙섬동로 83,인천광역시교육청
B000002978,인천도화초등학교,37.46314321,126.667845,인천광역시 미추홀구 경인로 242,인천광역시교육청
B000002972,인천용정초등학교,37.45943698,126.657235,인천광역시 미추홀구 독정안길 26,인천광역시교육청
B000002971,인천숭의초등학교,37.46371972,126.6557067,인천광역시 미추홀구 장천로 99,인천광역시교육청
B000002983,인천남부초등학교,37.45036277,126.6758729,인천광역시 미추홀구 인주대로366번길 22,인천광역시교육청
B000002985,인천서화초등학교,37.47398641,126.6608141,인천광역시 미추홀구 송림로 250,인천광역시교육청
B000002981,인천경원초등학교,37.46136602,126.6957692,인천광역시 미추홀구 경인로 511,인천광역시교육청
