학교ID,학교명,사업,검토상태,관측시설수,판단근거
B000003024,인천갈월초등학교,library,판단 보류,2,수집 목록에서 주변 시설을 찾았습니다. 실제 출입구 경로와 이용조건은 추가 확인이 필요합니다.
B000003024,인천갈월초등학교,books,판단 보류,,학교 내부 자료를 확인했습니다. 장서 구성·노후도·이용수요는 추가 확인이 필요합니다.
B000003024,인천갈월초등학교,sports,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.; 25곳 모두 부평구 소재이며 부평구를 포함해 전수 조사한 지역은 없습니다.
B000003024,인천갈월초등학교,welfare,판단 보류,1,수집 목록에서 주변 시설을 찾았습니다. 실제 출입구 경로와 이용조건은 추가 확인이 필요합니다.
B000003057,인천청량초등학교,library,판단 보류,1,수집 목록에서 주변 시설을 찾았습니다. 실제 출입구 경로와 이용조건은 추가 확인이 필요합니다.
B000003057,인천청량초등학교,books,판단 보류,,학교 내부 자료를 확인했습니다. 장서 구성·노후도·이용수요는 추가 확인이 필요합니다.
B000003057,인천청량초등학교,sports,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.; 25곳 모두 부평구 소재이며 부평구를 포함해 전수 조사한 지역은 없습니다.
B000003057,인천청량초등학교,welfare,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.
B000025246,인천미송초등학교,library,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.
B000025246,인천미송초등학교,books,판단 보류,,학교 내부 자료를 확인했습니다. 장서 구성·노후도·이용수요는 추가 확인이 필요합니다.
B000025246,인천미송초등학교,sports,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.; 25곳 모두 부평구 소재이며 부평구를 포함해 전수 조사한 지역은 없습니다.
B000025246,인천미송초등학교,welfare,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.
B000026469,인천한별초등학교,library,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.
B000026469,인천한별초등학교,books,판단 보류,,학교 내부 자료를 확인했습니다. 장서 구성·노후도·이용수요는 추가 확인이 필요합니다.
B000026469,인천한별초등학교,sports,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.; 25곳 모두 부평구 소재이며 부평구를 포함해 전수 조사한 지역은 없습니다.
B000026469,인천한별초등학교,welfare,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.
B000026466,인천아라초등학교,library,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.
B000026466,인천아라초등학교,books,판단 보류,,학교 내부 자료를 확인했습니다. 장서 구성·노후도·이용수요는 추가 확인이 필요합니다.
B000026466,인천아라초등학교,sports,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.; 25곳 모두 부평구 소재이며 부평구를 포함해 전수 조사한 지역은 없습니다.
B000026466,인천아라초등학교,welfare,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.
B000003178,갑룡초등학교,library,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.; 도서지역은 도시형 500m 기준과 분리해 검토합니다.
B000003178,갑룡초등학교,books,판단 보류,,학교 내부 자료를 확인했습니다. 장서 구성·노후도·이용수요는 추가 확인이 필요합니다.; 도서지역은 도시형 500m 기준과 분리해 검토합니다.
B000003178,갑룡초등학교,sports,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.; 25곳 모두 부평구 소재이며 부평구를 포함해 전수 조사한 지역은 없습니다.; 도서지역은 도시형 500m 기준과 분리해 검토합니다.
B000003178,갑룡초등학교,welfare,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.; 도서지역은 도시형 500m 기준과 분리해 검토합니다.
B000003098,인천논곡초등학교,library,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.
B000003098,인천논곡초등학교,books,판단 보류,,학교 내부 자료를 확인했습니다. 장서 구성·노후도·이용수요는 추가 확인이 필요합니다.
B000003098,인천논곡초등학교,sports,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.; 25곳 모두 부평구 소재이며 부평구를 포함해 전수 조사한 지역은 없습니다.
B000003098,인천논곡초등학교,welfare,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.
B000002959,인천영종초등학교,library,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.
B000002959,인천영종초등학교,books,판단 보류,,학교 내부 자료를 확인했습니다. 장서 구성·노후도·이용수요는 추가 확인이 필요합니다.
B000002959,인천영종초등학교,sports,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.; 25곳 모두 부평구 소재이며 부평구를 포함해 전수 조사한 지역은 없습니다.
B000002959,인천영종초등학교,welfare,판단 보류,1,수집 목록에서 주변 시설을 찾았습니다. 실제 출입구 경로와 이용조건은 추가 확인이 필요합니다.
B000025228,인천예송초등학교,library,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.
B000025228,인천예송초등학교,books,판단 보류,,학교 내부 자료를 확인했습니다. 장서 구성·노후도·이용수요는 추가 확인이 필요합니다.
B000025228,인천예송초등학교,sports,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.; 25곳 모두 부평구 소재이며 부평구를 포함해 전수 조사한 지역은 없습니다.
B000025228,인천예송초등학교,welfare,판단 보류,0,수집 목록에서 주변 시설을 확인하지 못했습니다. 시설이 없다는 뜻은 아닙니다.
