학교ID,학교명,연도,학생수
B000003178,갑룡초등학교,2020,554
B000003178,갑룡초등학교,2021,556
B000003178,갑룡초등학교,2022,536
B000003178,갑룡초등학교,2023,551
B000003178,갑룡초등학교,2024,547
B000003178,갑룡초등학교,2025,485
B000003179,강화초등학교,2020,367
B000003179,강화초등학교,2021,342
B000003179,강화초등학교,2022,308
B000003179,강화초등학교,2023,281
B000003179,강화초등학교,2024,249
B000003179,강화초등학교,2025,209
B000003106,경인교육대학교부설초등학교,2020,570
B000003106,경인교육대학교부설초등학교,2021,579
B000003106,경인교육대학교부설초등학교,2022,571
B000003106,경인교육대학교부설초등학교,2023,572
B000003106,경인교육대학교부설초등학교,2024,573
B000003106,경인교육대학교부설초등학교,2025,560
B000003192,교동초등학교,2020,47
B000003192,교동초등학교,2021,44
B000003192,교동초등학교,2022,34
B000003192,교동초등학교,2023,32
B000003192,교동초등학교,2024,25
B000003192,교동초등학교,2025,18
B000003173,길상초등학교,2020,219
B000003173,길상초등학교,2021,212
B000003173,길상초등학교,2022,214
B000003173,길상초등학교,2023,185
B000003173,길상초등학교,2024,156
B000003173,길상초등학교,2025,140
B000003188,내가초등학교,2020,40
B000003188,내가초등학교,2021,39
B000003188,내가초등학교,2022,37
B000003188,내가초등학교,2023,39
B000003188,내가초등학교,2024,47
B000003188,내가초등학교,2025,57
B000003177,대월초등학교,2020,114
B000003177,대월초등학교,2021,115
B000003177,대월초등학교,2022,117
B000003177,대월초등학교,2023,111
B000003177,대월초등학교,2024,119
B000003177,대월초등학교,2025,107
B000002994,대청초등학교,2020,38
B000002994,대청초등학교,2021,33
B000002994,대청초등학교,2022,26
B000002994,대청초등학교,2023,22
B000002994,대청초등학교,2024,18
B000002994,대청초등학교,2025,16
B000002996,덕적초등학교,2020,28
B000002996,덕적초등학교,2021,33
B000002996,덕적초등학교,2022,26
B000002996,덕적초등학교,2023,22
B000002996,덕적초등학교,2024,16
B000002996,덕적초등학교,2025,17
B000003186,명신초등학교,2020,46
B000003186,명신초등학교,2021,53
B000003186,명신초등학교,2022,60
B000003186,명신초등학교,2023,56
B000003186,명신초등학교,2024,46
B000003186,명신초등학교,2025,45
B000002998,백령초등학교,2020,67
B000002998,백령초등학교,2021,66
B000002998,백령초등학교,2022,69
B000002998,백령초등학교,2023,59
B000002998,백령초등학교,2024,44
B000002998,백령초등학교,2025,41
B000002997,북포초등학교,2020,110
B000002997,북포초등학교,2021,118
B000002997,북포초등학교,2022,131
B000002997,북포초등학교,2023,108
B000002997,북포초등학교,2024,94
B000002997,북포초등학교,2025,65
B000003183,불은초등학교,2020,84
B000003183,불은초등학교,2021,86
B000003183,불은초등학교,2022,83
B000003183,불은초등학교,2023,81
B000003183,불은초등학교,2024,69
B000003183,불은초등학교,2025,51
B000003190,삼산초등학교,2020,14
B000003190,삼산초등학교,2021,12
B000003190,삼산초등학교,2022,17
B000003190,삼산초등학교,2023,11
B000003190,삼산초등학교,2024,11
B000003190,삼산초등학교,2025,14
B000003184,삼성초등학교,2020,45
B000003184,삼성초등학교,2021,40
B000003184,삼성초등학교,2022,34
B000003184,삼성초등학교,2023,27
B000003184,삼성초등학교,2024,18
B000003184,삼성초등학교,2025,23
B000003077,상인천초등학교,2020,643
B000003077,상인천초등학교,2021,603
B000003077,상인천초등학교,2022,558
B000003077,상인천초등학교,2023,473
B000003077,상인천초등학교,2024,446
