관리번호,공원명,공원구분,위도,경도,공원면적,gu,시설유형,park_function_class,park_function_label,park_function_basis,review_reason
28245-00057,귤현공원,근린공원,37.567293,126.747116,33.003,계양구,근린공원,playground_like,놀이터급·초소형 공간,"어린이공원 최소 규모 기준인 1,500㎡ 미만 또는 면적 정보 없음",근린공원인데 공원면적 500㎡ 미만
28170-00023,중앙공원,근린공원,37.44078785,126.6986523,351770.8,미추홀구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상",같은 공원명 내 면적 차이 큼
28185-00010,글로벌파크,근린공원,37.3762118,126.6594509,87033.0,연수구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상",같은 공원명 내 면적 차이 큼
28185-00009,솔찬공원,근린공원,37.3725361,126.6278979,157445.0,연수구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상",같은 공원명 내 면적 차이 큼
28185-00004,미추홀공원,근린공원,37.38238717,126.6494992,160099.0,연수구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상",같은 공원명 내 면적 차이 큼
28245-00014,동양공원,근린공원,37.561536,126.75937,16261.4,계양구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상",같은 공원명 내 면적 차이 큼
28245-00012,서운공원,근린공원,37.527778,126.740492,12822.4,계양구,근린공원,neighborhood_park_scale,근린공원급 활동규모 공원,"근린생활권 근린공원 규모 기준 10,000㎡ 이상",같은 공원명 내 면적 차이 큼
28245-00004,살나리공원,소공원,37.537913,126.745137,669.0,계양구,소공원,playground_like,놀이터급·초소형 공간,"어린이공원 최소 규모 기준인 1,500㎡ 미만 또는 면적 정보 없음",같은 공원명 내 면적 차이 큼
28245-00002,동양공원,소공원,37.561633,126.757908,837.6,계양구,소공원,playground_like,놀이터급·초소형 공간,"어린이공원 최소 규모 기준인 1,500㎡ 미만 또는 면적 정보 없음",같은 공원명 내 면적 차이 큼
28245-00044,살나리공원,어린이공원,37.536298,126.746173,2053.5,계양구,어린이공원,small_child_park,소규모 어린이공원급,"어린이공원 최소 규모 기준 이상이나 분석상 운영 기준 3,000㎡ 미만",같은 공원명 내 면적 차이 큼
28245-00039,중앙공원,어린이공원,37.577607,126.734374,2384.5,계양구,어린이공원,small_child_park,소규모 어린이공원급,"어린이공원 최소 규모 기준 이상이나 분석상 운영 기준 3,000㎡ 미만",같은 공원명 내 면적 차이 큼
