school_id,school_name,gu,case_type,case_label,is_separate_bundle_tag,iso_green_ratio,iso_official_park_count,iso_playground_like_count,iso_small_child_park_count,iso_functional_park_count,nearest_official_park_dist_m,nearest_official_park_name,nearest_official_park_function_class,nearest_functional_park_dist_m,nearest_functional_park_name,nearest_functional_park_function_class,access_condition_type,access_condition_label,baseline_all_classes,exclude_playground_and_small_child,exclude_playground_like,baseline_all_classes_count,exclude_playground_like_count,exclude_playground_and_small_child_count,baseline_all_classes_case_type,baseline_all_classes_case_label_en,baseline_all_classes_priority_score,exclude_playground_like_case_type,exclude_playground_like_case_label_en,exclude_playground_like_priority_score,exclude_playground_and_small_child_case_type,exclude_playground_and_small_child_case_label_en,exclude_playground_and_small_child_priority_score,stored_current_case_type_norm,exclude_playground_like_changed_vs_stored_current,exclude_playground_like_changed_vs_same_basis_baseline,exclude_playground_and_small_child_changed_vs_stored_current,exclude_playground_and_small_child_changed_vs_same_basis_baseline
B000002949,인천신흥초등학교,중구,1.0,공원 접근 결핍,0,0.0,0,0,0,0,722.2,율목공원,mid_activity_park,722.2,율목공원,mid_activity_park,no_official_park,공원 접근 결핍형,143.6,409.0,409.0,0,0,0,2,case2_access_low_green,3.0,2,case2_access_low_green,3.0,2,case2_access_low_green,3.0,1,True,False,True,False
B000002950,인천신광초등학교,중구,1.0,공원 접근 결핍,0,0.0,1,1,0,0,533.7,도원공원,playground_like,711.9,용마루어린이공원,mid_activity_park,nominal_access_only,명목 접근성 착시형,41.7,733.5,733.5,1,0,0,2,case2_access_low_green,3.0,1,case1_access_deficit,4.0,1,case1_access_deficit,4.0,1,False,True,False,True
B000002951,인천신선초등학교,중구,1.0,공원 접근 결핍,0,0.0,0,0,0,0,796.8,햇님공원,playground_like,1578.5,용정공원,neighborhood_park_scale,no_official_park,공원 접근 결핍형,375.2,1275.3,1275.3,0,0,0,2,case2_access_low_green,3.0,1,case1_access_deficit,4.0,1,case1_access_deficit,4.0,1,False,True,False,True
B000002952,인천송월초등학교,중구,4.0,접근 양호,0,6.798768043878933,4,4,0,0,247.0,자유공원,neighborhood_park_scale,491.2,자유공원,neighborhood_park_scale,functional_access_available,활동규모 공원 접근 가능형,107.5,434.4,434.4,4,0,0,4,case4_good_access,1.0,4,case4_good_access,1.0,4,case4_good_access,1.0,4,False,False,False,False
B000002953,인천운서초등학교,중구,4.0,접근 양호,0,7.186789084640512,4,1,1,2,76.3,용샘공원,small_child_park,243.1,눈돌공원,mid_activity_park,functional_access_available,활동규모 공원 접근 가능형,120.6,259.5,120.6,4,3,2,4,case4_good_access,1.0,4,case4_good_access,1.0,4,case4_good_access,1.0,4,False,False,False,False
B000002954,인천용유초등학교,중구,1.0,공원 접근 결핍,0,0.0,0,0,0,0,13471.8,영종하늘도시 6호,neighborhood_park_scale,,,,no_official_park,공원 접근 결핍형,3750.1,8203.7,8036.7,0,0,0,1,case1_access_deficit,4.0,1,case1_access_deficit,4.0,1,case1_access_deficit,4.0,1,False,False,False,False
B000002955,인천연안초등학교,중구,1.0,공원 접근 결핍,0,0.0,0,0,0,0,620.0,햇님공원,playground_like,4041.7,용정공원,neighborhood_park_scale,no_official_park,공원 접근 결핍형,316.6,1960.2,1960.2,0,0,0,2,case2_access_low_green,3.0,1,case1_access_deficit,4.0,1,case1_access_deficit,4.0,1,False,True,False,True
B000002956,인천운남초등학교,중구,4.0,접근 양호,0,5.079155588874079,3,0,2,1,186.0,운남제1호공원,neighborhood_park_scale,222.8,운남제1호공원,neighborhood_park_scale,near_park_low_green_imbalance,근접 공원-녹지환경 불균형형,78.8,78.8,78.8,3,3,1,3,case3_access_mid_green,2.0,3,case3_access_mid_green,2.0,3,case3_access_mid_green,2.0,4,True,False,True,False
B000002957,인천공항초등학교,중구,4.0,접근 양호,0,5.766016684276104,4,4,0,0,105.8,뒷마루공원,neighborhood_park_scale,105.8,뒷마루공원,neighborhood_park_scale,functional_access_available,활동규모 공원 접근 가능형,79.7,148.9,145.5,4,0,0,4,case4_good_access,1.0,4,case4_good_access,1.0,3,case3_access_mid_green,2.0,4,False,False,True,True
B000002958,인천삼목초등학교,중구,3.0,"접근 가능, 중간 수준",0,1.622349304404343,4,3,1,0,463.4,나리공원,small_child_park,758.1,영마루공원,neighborhood_park_scale,nominal_access_only,명목 접근성 착시형,115.9,349.9,272.1,4,1,0,3,case3_access_mid_green,2.0,3,case3_access_mid_green,2.0,2,case2_access_low_green,3.0,3,False,False,True,True
