case_basis,case_type,school_count
stored_current_case_type_norm,1,17
stored_current_case_type_norm,2,68
stored_current_case_type_norm,3,77
stored_current_case_type_norm,4,80
stored_current_case_type_norm,NA,30
baseline_all_classes_case_type,1,16
baseline_all_classes_case_type,2,74
baseline_all_classes_case_type,3,74
baseline_all_classes_case_type,4,74
baseline_all_classes_case_type,NA,34
exclude_playground_like_case_type,1,22
exclude_playground_like_case_type,2,69
exclude_playground_like_case_type,3,68
exclude_playground_like_case_type,4,68
exclude_playground_like_case_type,NA,45
exclude_playground_and_small_child_case_type,1,27
exclude_playground_and_small_child_case_type,2,59
exclude_playground_and_small_child_case_type,3,59
exclude_playground_and_small_child_case_type,4,59
exclude_playground_and_small_child_case_type,NA,68
