school_id,school_name,scenario,nearest_eligible_park_name_straight,nearest_eligible_park_class,nearest_eligible_park_area_m2,nearest_eligible_park_dist_m_straight
B000003024,인천갈월초등학교,baseline_all_classes,명월놀이공원,small_child_park,2076.0,134.2
B000003024,인천갈월초등학교,exclude_playground_like,명월놀이공원,small_child_park,2076.0,134.2
B000003024,인천갈월초등학교,exclude_playground_and_small_child,굴포공원,neighborhood_park_scale,20529.0,143.0
B000003057,인천청량초등학교,baseline_all_classes,청량공원,mid_activity_park,8583.0,121.8
B000003057,인천청량초등학교,exclude_playground_like,청량공원,mid_activity_park,8583.0,121.8
B000003057,인천청량초등학교,exclude_playground_and_small_child,청량공원,mid_activity_park,8583.0,121.8
B000025246,인천미송초등학교,baseline_all_classes,랜드마크시티 1호 수변공원,neighborhood_park_scale,77873.0,396.5
B000025246,인천미송초등학교,exclude_playground_like,랜드마크시티 1호 수변공원,neighborhood_park_scale,77873.0,396.5
B000025246,인천미송초등학교,exclude_playground_and_small_child,랜드마크시티 1호 수변공원,neighborhood_park_scale,77873.0,396.5
B000026469,인천한별초등학교,baseline_all_classes,웃목어린이공원,mid_activity_park,4699.1,89.2
B000026469,인천한별초등학교,exclude_playground_like,웃목어린이공원,mid_activity_park,4699.1,89.2
B000026469,인천한별초등학교,exclude_playground_and_small_child,웃목어린이공원,mid_activity_park,4699.1,89.2
B000026466,인천아라초등학교,baseline_all_classes,아라노을공원,neighborhood_park_scale,48206.9,156.4
B000026466,인천아라초등학교,exclude_playground_like,아라노을공원,neighborhood_park_scale,48206.9,156.4
B000026466,인천아라초등학교,exclude_playground_and_small_child,아라노을공원,neighborhood_park_scale,48206.9,156.4
B000003178,갑룡초등학교,baseline_all_classes,갑룡공원,neighborhood_park_scale,18605.0,92.6
B000003178,갑룡초등학교,exclude_playground_like,갑룡공원,neighborhood_park_scale,18605.0,92.6
B000003178,갑룡초등학교,exclude_playground_and_small_child,갑룡공원,neighborhood_park_scale,18605.0,92.6
B000003098,인천논곡초등학교,baseline_all_classes,아담공원,small_child_park,2491.0,179.4
B000003098,인천논곡초등학교,exclude_playground_like,아담공원,small_child_park,2491.0,179.4
B000003098,인천논곡초등학교,exclude_playground_and_small_child,논현포대공원,neighborhood_park_scale,207370.0,327.3
B000002959,인천영종초등학교,baseline_all_classes,파크골프공원,neighborhood_park_scale,16941.0,136.6
B000002959,인천영종초등학교,exclude_playground_like,파크골프공원,neighborhood_park_scale,16941.0,136.6
B000002959,인천영종초등학교,exclude_playground_and_small_child,파크골프공원,neighborhood_park_scale,16941.0,136.6
B000025228,인천예송초등학교,baseline_all_classes,송도  14호 어린이공원,small_child_park,1500.3,110.3
B000025228,인천예송초등학교,exclude_playground_like,송도  14호 어린이공원,small_child_park,1500.3,110.3
B000025228,인천예송초등학교,exclude_playground_and_small_child,센트럴파크,neighborhood_park_scale,351113.9,754.7
B000003150,인천건지초등학교,baseline_all_classes,건지공원,mid_activity_park,7988.0,236.7
B000003150,인천건지초등학교,exclude_playground_like,건지공원,mid_activity_park,7988.0,236.7
B000003150,인천건지초등학교,exclude_playground_and_small_child,건지공원,mid_activity_park,7988.0,236.7
B000025202,인천장아초등학교,baseline_all_classes,장아산공원,neighborhood_park_scale,333049.0,37.8
B000025202,인천장아초등학교,exclude_playground_like,장아산공원,neighborhood_park_scale,333049.0,37.8
B000025202,인천장아초등학교,exclude_playground_and_small_child,장아산공원,neighborhood_park_scale,333049.0,37.8
B000003013,인천영선초등학교,baseline_all_classes,햇살공원,mid_activity_park,3338.0,150.8
B000003013,인천영선초등학교,exclude_playground_like,햇살공원,mid_activity_park,3338.0,150.8
B000003013,인천영선초등학교,exclude_playground_and_small_child,햇살공원,mid_activity_park,3338.0,150.8
B000003127,인천부현동초등학교,baseline_all_classes,까치공원,neighborhood_park_scale,17043.9,296.0
B000003127,인천부현동초등학교,exclude_playground_like,까치공원,neighborhood_park_scale,17043.9,296.0
B000003127,인천부현동초등학교,exclude_playground_and_small_child,까치공원,neighborhood_park_scale,17043.9,296.0
B000003012,인천후정초등학교,baseline_all_classes,후정공원,neighborhood_park_scale,22209.0,65.8
B000003012,인천후정초등학교,exclude_playground_like,후정공원,neighborhood_park_scale,22209.0,65.8
B000003012,인천후정초등학교,exclude_playground_and_small_child,후정공원,neighborhood_park_scale,22209.0,65.8
B000003007,인천부곡초등학교,baseline_all_classes,마장공원,neighborhood_park_scale,15020.0,317.8
B000003007,인천부곡초등학교,exclude_playground_like,마장공원,neighborhood_park_scale,15020.0,317.8
B000003007,인천부곡초등학교,exclude_playground_and_small_child,마장공원,neighborhood_park_scale,15020.0,317.8
B000027505,인천중산초등학교,baseline_all_classes,박석공원,neighborhood_park_scale,352000.0,142.4
B000027505,인천중산초등학교,exclude_playground_like,박석공원,neighborhood_park_scale,352000.0,142.4
B000027505,인천중산초등학교,exclude_playground_and_small_child,박석공원,neighborhood_park_scale,352000.0,142.4
B000024924,인천하늘초등학교,baseline_all_classes,씨사이드파크 영종진 숲체험장 놀이터,playground_like,,2.1
B000024924,인천하늘초등학교,exclude_playground_like,선사공원,neighborhood_park_scale,31629.0,408.4
B000024924,인천하늘초등학교,exclude_playground_and_small_child,선사공원,neighborhood_park_scale,31629.0,408.4
B000003137,인천간재울초등학교,baseline_all_classes,검암소공원,playground_like,641.0,289.2
B000003137,인천간재울초등학교,exclude_playground_like,과기공원,small_child_park,2395.0,315.6
B000003137,인천간재울초등학교,exclude_playground_and_small_child,경서근린공원,neighborhood_park_scale,21935.0,509.3
B000003148,인천가림초등학교,baseline_all_classes,가좌공원,mid_activity_park,8939.0,217.5
B000003148,인천가림초등학교,exclude_playground_like,가좌공원,mid_activity_park,8939.0,217.5
