group,metric,n,mean_m,q1_m,median_m,q3_m,min_m,max_m
all_272,baseline_all_classes,272,3238.8,123.3,197.0,389.6,2.1,160751.8
all_272,exclude_playground_like,272,3442.9,141.6,249.2,491.1,37.8,161863.4
all_272,exclude_playground_and_small_child,272,3532.9,181.5,356.7,600.7,37.8,161863.4
all_272,nearest_official_park_dist_m,272,1164.5,123.5,240.7,385.1,0.0,19637.4
all_272,nearest_functional_park_dist_m,259,729.2,297.8,505.5,830.2,0.0,4242.4
active_policy_target,baseline_all_classes,242,249.9,116.6,177.0,311.1,2.1,3750.1
active_policy_target,exclude_playground_like,242,325.0,134.5,215.6,390.6,37.8,8036.7
active_policy_target,exclude_playground_and_small_child,242,425.6,166.8,320.6,516.0,37.8,8203.7
active_policy_target,nearest_official_park_dist_m,242,318.6,120.2,219.9,328.1,0.0,13471.8
active_policy_target,nearest_functional_park_dist_m,241,605.6,302.1,503.5,768.1,0.0,4041.7
