school_id,school_name,gu,access_condition_type,official_park,functional_park,route_names_differ,official_barrier_level,functional_barrier_level,official_crossing_count,functional_crossing_count,official_large_intersection,functional_large_intersection,official_accident_hotspot,functional_accident_hotspot,functional_risk,official_risk,hidden_if_official_only,understated_if_official_only,mismatch_reasons,ui_warning_text,audit_category
B000002949,인천신흥초등학교,중구,no_official_park,율목공원,율목공원,False,3,3,1,1,False,False,True,True,True,True,False,False,,,aligned_route_basis
B000002950,인천신광초등학교,중구,nominal_access_only,도원공원,용마루어린이공원,True,2,3,0,2,False,True,True,True,True,True,False,True,보행부담 등급 · 간선도로 횡단 · 대형 교차로,활동규모 공원 경로는 공식 최근접 공원 경로와 비교해 보행부담 등급·간선도로 횡단·대형 교차로 항목이 더 불리하게 산정됩니다.,activity_scale_route_understated_by_official_route
B000002951,인천신선초등학교,중구,no_official_park,햇님공원,용정공원,True,2,3,1,2,False,False,False,True,True,True,False,True,보행부담 등급 · 간선도로 횡단 · 사고위험 지점,활동규모 공원 경로는 공식 최근접 공원 경로와 비교해 보행부담 등급·간선도로 횡단·사고위험 지점 항목이 더 불리하게 산정됩니다.,activity_scale_route_understated_by_official_route
B000002952,인천송월초등학교,중구,functional_access_available,자유공원,자유공원,False,0,0,0,0,False,False,False,False,False,False,False,False,,,aligned_route_basis
B000002953,인천운서초등학교,중구,functional_access_available,용샘공원,눈돌공원,True,0,0,0,0,False,False,False,False,False,False,False,False,,공식 최근접 공원과 활동규모 공원 대상지가 달라 경로 특성을 별도로 해석합니다.,different_route_no_extra_functional_risk
B000002954,인천용유초등학교,중구,no_official_park,영종하늘도시 6호,,False,2,,1,,False,False,False,False,False,True,False,False,,,aligned_route_basis
B000002955,인천연안초등학교,중구,no_official_park,햇님공원,용정공원,True,2,3,0,9,False,False,True,True,True,True,False,True,보행부담 등급 · 간선도로 횡단,활동규모 공원 경로는 공식 최근접 공원 경로와 비교해 보행부담 등급·간선도로 횡단 항목이 더 불리하게 산정됩니다.,activity_scale_route_understated_by_official_route
B000002956,인천운남초등학교,중구,near_park_low_green_imbalance,운남제1호공원,운남제1호공원,False,3,3,0,0,False,False,False,False,True,True,False,False,,,aligned_route_basis
B000002957,인천공항초등학교,중구,functional_access_available,뒷마루공원,뒷마루공원,False,0,0,0,0,False,False,False,False,False,False,False,False,,,aligned_route_basis
B000002958,인천삼목초등학교,중구,nominal_access_only,나리공원,영마루공원,True,1,3,0,0,False,False,False,False,True,False,True,True,보행부담 등급,활동규모 공원 경로는 공식 최근접 공원 경로와 비교해 보행부담 등급 항목이 더 불리하게 산정됩니다.,activity_scale_route_understated_by_official_route
B000002959,인천영종초등학교,중구,functional_access_available,파크골프공원,파크골프공원,False,0,0,0,0,False,False,False,False,False,False,False,False,,,aligned_route_basis
B000002960,인성초등학교,중구,functional_access_with_barrier,자유공원,자유공원,False,2,3,0,0,False,False,True,False,True,True,False,True,보행부담 등급,활동규모 공원 경로는 공식 최근접 공원 경로와 비교해 보행부담 등급 항목이 더 불리하게 산정됩니다.,activity_scale_route_understated_by_official_route
B000002962,인천영종초등학교금산분교장,중구,no_official_park,미단시티 2호,미단시티 2호,False,1,1,0,0,False,False,False,False,False,False,False,False,,,aligned_route_basis
B000002963,인천만석초등학교,동구,near_park_low_green_imbalance,화수3공원,화도진공원,True,2,0,1,0,False,False,False,False,False,True,False,False,,공식 최근접 공원과 활동규모 공원 대상지가 달라 경로 특성을 별도로 해석합니다.,different_route_no_extra_functional_risk
B000002964,인천송현초등학교,동구,nominal_access_only,화수13공원,화도진공원,True,1,0,0,0,False,False,False,False,False,False,False,False,,공식 최근접 공원과 활동규모 공원 대상지가 달라 경로 특성을 별도로 해석합니다.,different_route_no_extra_functional_risk
B000002965,인천창영초등학교,동구,nominal_access_only,창영공원,솔마루공원,True,0,2,0,0,False,False,False,True,True,False,True,True,보행부담 등급 · 사고위험 지점,활동규모 공원 경로는 공식 최근접 공원 경로와 비교해 보행부담 등급·사고위험 지점 항목이 더 불리하게 산정됩니다.,activity_scale_route_understated_by_official_route
B000002966,인천송림초등학교,동구,near_park_low_green_imbalance,솔마루공원,솔마루공원,False,2,2,0,0,False,False,True,True,True,True,False,False,,,aligned_route_basis
B000002967,인천서흥초등학교,동구,nominal_access_only,송현공원,송현공원,False,2,2,0,0,False,False,True,True,True,True,False,False,,,aligned_route_basis
B000002968,인천서림초등학교,동구,no_official_park,송현공원,송현공원,False,2,2,0,0,False,False,True,True,True,True,False,False,,,aligned_route_basis
B000002969,인천동명초등학교,동구,nominal_access_only,창영공원,송현공원,True,1,1,0,0,False,False,False,False,False,False,False,False,,공식 최근접 공원과 활동규모 공원 대상지가 달라 경로 특성을 별도로 해석합니다.,different_route_no_extra_functional_risk
B000002970,영화초등학교,동구,nominal_access_only,창영공원,송현공원,True,3,1,0,0,False,False,False,False,False,True,False,False,,공식 최근접 공원과 활동규모 공원 대상지가 달라 경로 특성을 별도로 해석합니다.,different_route_no_extra_functional_risk
B000002971,인천숭의초등학교,미추홀구,nominal_access_only,주인공원,주인공원,False,2,2,0,0,False,False,True,True,True,True,False,False,,,aligned_route_basis
