school_id,school_name,grid_id,is_supplemental,severity,severity_label,motorway,trunk,primary,secondary,tertiary,route_length_m,route_point_count,note,accident_hotspot_flag,accident_hotspot_text
B000003028,인천부흥초등학교,CG_01422,False,green,큰 도로 횡단 없음,0,0,0,0,3,219.1,5,큰 도로 횡단이 없어 생활도로 중심으로 이동할 수 있습니다.,False,
B000003028,인천부흥초등학교,CG_01502,False,yellow,중간급 도로 횡단,0,0,0,1,6,665.2,17,후보지까지 가려면 중간급 도로 1회를 지나야 합니다.,False,
B000003028,인천부흥초등학교,CG_01462,False,green,큰 도로 횡단 없음,0,0,0,0,2,229.7,5,큰 도로 횡단이 없어 생활도로 중심으로 이동할 수 있습니다.,False,
B000003028,인천부흥초등학교,CG_01463,False,green,큰 도로 횡단 없음,0,0,0,0,5,505.2,14,큰 도로 횡단이 없어 생활도로 중심으로 이동할 수 있습니다.,False,
B000003028,인천부흥초등학교,CG_01500,False,green,큰 도로 횡단 없음,0,0,0,0,3,270.1,9,큰 도로 횡단이 없어 생활도로 중심으로 이동할 수 있습니다.,False,
B000003028,인천부흥초등학교,CG_01501,False,yellow,중간급 도로 횡단,0,0,0,1,5,401.8,10,후보지까지 가려면 중간급 도로 1회를 지나야 합니다.,False,
B000003028,인천부흥초등학교,CG_01533,False,yellow,중간급 도로 횡단,0,0,0,1,5,802.9,20,후보지까지 가려면 중간급 도로 1회를 지나야 합니다.,False,
B000003028,인천부흥초등학교,CG_01421,False,yellow,중간급 도로 횡단,0,0,0,1,1,415.8,6,후보지까지 가려면 중간급 도로 1회를 지나야 합니다.,False,
B000003025,인천부개초등학교,CG_01527,False,green,큰 도로 횡단 없음,0,0,0,0,4,410.8,9,큰 도로 횡단이 없어 생활도로 중심으로 이동할 수 있습니다.,False,
B000003025,인천부개초등학교,CG_01529,False,green,큰 도로 횡단 없음,0,0,0,0,4,252.8,5,큰 도로 횡단이 없어 생활도로 중심으로 이동할 수 있습니다.,False,
B000003027,인천부원초등학교,CG_01295,False,green,큰 도로 횡단 없음,0,0,0,0,1,100.3,2,큰 도로 횡단이 없어 생활도로 중심으로 이동할 수 있습니다.,False,
B000003027,인천부원초등학교,CG_01258,False,yellow,중간급 도로 횡단,0,0,0,1,1,255.1,5,후보지까지 가려면 중간급 도로 1회를 지나야 합니다.,False,
B000003027,인천부원초등학교,CG_01257,False,yellow,중간급 도로 횡단,0,0,0,1,2,508.2,6,후보지까지 가려면 중간급 도로 1회를 지나야 합니다.,False,
B000003027,인천부원초등학교,CG_01296,False,yellow,중간급 도로 횡단,0,0,0,1,2,443.0,8,후보지까지 가려면 중간급 도로 1회를 지나야 합니다.,False,
B000003027,인천부원초등학교,CG_01259,False,yellow,중간급 도로 횡단,0,0,0,1,4,567.4,9,후보지까지 가려면 중간급 도로 1회를 지나야 합니다.,False,
B000003027,인천부원초등학교,CG_01256,False,yellow,중간급 도로 횡단,0,0,0,1,2,556.2,9,후보지까지 가려면 중간급 도로 1회를 지나야 합니다.,False,
B000002982,인천석암초등학교,CG_00804,False,green,큰 도로 횡단 없음,0,0,0,0,3,588.3,11,큰 도로 횡단이 없어 생활도로 중심으로 이동할 수 있습니다.,False,
B000002982,인천석암초등학교,CG_00805,False,green,큰 도로 횡단 없음,0,0,0,0,4,433.2,11,큰 도로 횡단이 없어 생활도로 중심으로 이동할 수 있습니다.,False,
B000002982,인천석암초등학교,CG_00803,False,orange,도시 대로 횡단,0,0,1,0,1,594.7,11,후보지까지 가려면 도시 대로 1회를 지나야 합니다.,False,
B000002982,인천석암초등학교,CG_00829,False,yellow,중간급 도로 횡단,0,0,0,6,3,1244.4,18,후보지까지 가려면 중간급 도로 6회를 지나야 합니다.,False,
B000002982,인천석암초등학교,CG_00806,False,yellow,중간급 도로 횡단,0,0,0,1,2,353.1,10,후보지까지 가려면 중간급 도로 1회를 지나야 합니다.,False,
B000002982,인천석암초등학교,CG_00843,False,green,큰 도로 횡단 없음,0,0,0,0,4,490.8,8,큰 도로 횡단이 없어 생활도로 중심으로 이동할 수 있습니다.,False,
B000002982,인천석암초등학교,CG_00773,False,green,큰 도로 횡단 없음,0,0,0,0,3,456.9,13,큰 도로 횡단이 없어 생활도로 중심으로 이동할 수 있습니다.,False,
B000002982,인천석암초등학교,CG_00774,False,yellow,중간급 도로 횡단,0,0,0,1,2,570.3,13,후보지까지 가려면 중간급 도로 1회를 지나야 합니다.,False,
B000002982,인천석암초등학교,CG_00827,False,green,큰 도로 횡단 없음,0,0,0,0,3,443.8,8,큰 도로 횡단이 없어 생활도로 중심으로 이동할 수 있습니다.,False,
B000002982,인천석암초등학교,CG_00826,False,orange,도시 대로 횡단,0,0,1,0,1,565.2,10,후보지까지 가려면 도시 대로 1회를 지나야 합니다.,False,
B000002982,인천석암초등학교,CG_00844,False,green,큰 도로 횡단 없음,0,0,0,0,3,392.7,9,큰 도로 횡단이 없어 생활도로 중심으로 이동할 수 있습니다.,False,
B000002982,인천석암초등학교,CG_00845,False,yellow,중간급 도로 횡단,0,0,0,6,3,1452.3,19,후보지까지 가려면 중간급 도로 6회를 지나야 합니다.,False,
B000003169,인천신현초등학교,CG_00572,False,green,큰 도로 횡단 없음,0,0,0,0,3,235.3,5,큰 도로 횡단이 없어 생활도로 중심으로 이동할 수 있습니다.,False,
B000003169,인천신현초등학교,CG_00521,False,green,큰 도로 횡단 없음,0,0,0,0,2,356.9,6,큰 도로 횡단이 없어 생활도로 중심으로 이동할 수 있습니다.,False,
B000003169,인천신현초등학교,CG_00571,False,green,큰 도로 횡단 없음,0,0,0,0,5,511.0,12,큰 도로 횡단이 없어 생활도로 중심으로 이동할 수 있습니다.,False,
B000003169,인천신현초등학교,CG_00618,False,green,큰 도로 횡단 없음,0,0,0,0,3,503.4,9,큰 도로 횡단이 없어 생활도로 중심으로 이동할 수 있습니다.,False,
B000003169,인천신현초등학교,CG_00616,False,green,큰 도로 횡단 없음,0,0,0,0,7,707.2,17,큰 도로 횡단이 없어 생활도로 중심으로 이동할 수 있습니다.,False,
B000003169,인천신현초등학교,CG_00617,False,green,큰 도로 횡단 없음,0,0,0,0,3,432.2,9,큰 도로 횡단이 없어 생활도로 중심으로 이동할 수 있습니다.,False,
B000003169,인천신현초등학교,CG_00664,False,green,큰 도로 횡단 없음,0,0,0,0,3,633.7,15,큰 도로 횡단이 없어 생활도로 중심으로 이동할 수 있습니다.,False,
B000003080,인천동부초등학교,CG_01413,False,green,큰 도로 횡단 없음,0,0,0,0,4,783.9,7,큰 도로 횡단이 없어 생활도로 중심으로 이동할 수 있습니다.,False,
B000003080,인천동부초등학교,CG_01414,False,green,큰 도로 횡단 없음,0,0,0,0,3,529.6,12,큰 도로 횡단이 없어 생활도로 중심으로 이동할 수 있습니다.,False,
