학교ID,학교명,gu,current_students_2025,cohort_change_2029,cohort_change_2031,model1_forecast_2029,model2_forecast_2029,model1_forecast_2031,model2_forecast_2031
B000003178,갑룡초등학교,강화군,485,0.7235993022063265,0.6106308188765137,409,342,357,280
B000003179,강화초등학교,강화군,209,0.7235993022063265,0.6106308188765137,114,140,67,112
B000003192,교동초등학교,강화군,18,0.7235993022063265,0.6106308188765137,3,11,1,9
B000003173,길상초등학교,강화군,140,0.7235993022063265,0.6106308188765137,64,95,29,76
B000003188,내가초등학교,강화군,57,0.7235993022063265,0.6106308188765137,52,46,50,39
B000003177,대월초등학교,강화군,107,0.7235993022063265,0.6106308188765137,91,77,81,63
B000003186,명신초등학교,강화군,45,0.7235993022063265,0.6106308188765137,39,32,33,26
B000003183,불은초등학교,강화군,51,0.7235993022063265,0.6106308188765137,27,34,12,27
B000003190,삼산초등학교,강화군,14,0.7235993022063265,0.6106308188765137,11,10,7,8
B000003184,삼성초등학교,강화군,23,0.7235993022063265,0.6106308188765137,4,15,2,12
B000003194,서도초등학교,강화군,3,0.7235993022063265,0.6106308188765137,2,2,1,1
B000003182,선원초등학교,강화군,233,0.7235993022063265,0.6106308188765137,176,168,152,139
B000003181,송해초등학교,강화군,36,0.7235993022063265,0.6106308188765137,24,25,19,20
B000003174,양도초등학교,강화군,52,0.7235993022063265,0.6106308188765137,38,36,30,30
B000003187,양사초등학교,강화군,33,0.7235993022063265,0.6106308188765137,13,23,6,18
B000003175,조산초등학교,강화군,42,0.7235993022063265,0.6106308188765137,31,30,26,25
B000003185,하점초등학교,강화군,37,0.7235993022063265,0.6106308188765137,21,25,13,20
B000003180,합일초등학교,강화군,131,0.7235993022063265,0.6106308188765137,106,91,95,74
B000003189,해명초등학교,강화군,7,0.7235993022063265,0.6106308188765137,2,4,1,3
B000003176,화도초등학교,강화군,41,0.7235993022063265,0.6106308188765137,8,26,3,20
B000003106,경인교육대학교부설초등학교,계양구,560,0.5621287687784734,0.3873498368195425,453,376,411,295
B000003123,인천계산초등학교,계양구,162,0.5621287687784734,0.3873498368195425,105,104,80,80
B000003122,인천계양초등학교,계양구,307,0.5621287687784734,0.3873498368195425,142,192,72,147
B000003132,인천계양초등학교상야분교장,계양구,6,0.5621287687784734,0.3873498368195425,2,3,1,2
B000003121,인천귤현초등학교,계양구,498,0.5621287687784734,0.3873498368195425,284,313,177,239
B000003116,인천길주초등학교,계양구,454,0.5621287687784734,0.3873498368195425,286,288,207,221
B000003120,인천당산초등학교,계양구,721,0.5621287687784734,0.3873498368195425,286,444,121,337
B000003130,인천명현초등학교,계양구,223,0.5621287687784734,0.3873498368195425,169,140,130,107
B000003117,인천병방초등학교,계양구,290,0.5621287687784734,0.3873498368195425,179,182,165,139
B000003125,인천부평초등학교,계양구,245,0.5621287687784734,0.3873498368195425,152,154,124,118
B000003127,인천부현동초등학교,계양구,430,0.5621287687784734,0.3873498368195425,204,267,116,203
B000003126,인천부현초등학교,계양구,342,0.5621287687784734,0.3873498368195425,206,214,159,164
B000003114,인천서운초등학교,계양구,510,0.5621287687784734,0.3873498368195425,513,349,507,276
B000003112,인천성지초등학교,계양구,291,0.5621287687784734,0.3873498368195425,178,187,143,144
B000003119,인천소양초등학교,계양구,346,0.5621287687784734,0.3873498368195425,229,227,157,176
B000003115,인천신대초등학교,계양구,529,0.5621287687784734,0.3873498368195425,289,334,173,256
B000003111,인천안남초등학교,계양구,288,0.5621287687784734,0.3873498368195425,169,179,132,136
B000003124,인천안산초등학교,계양구,265,0.5621287687784734,0.3873498368195425,161,167,149,128
B000003118,인천양촌초등학교,계양구,186,0.5621287687784734,0.3873498368195425,80,117,35,89
B000003129,인천작동초등학교,계양구,400,0.5621287687784734,0.3873498368195425,275,256,229,197
B000003128,인천작전초등학교,계양구,311,0.5621287687784734,0.3873498368195425,178,194,154,148
B000003110,인천해서초등학교,계양구,141,0.5621287687784734,0.3873498368195425,31,87,15,66
B000003113,인천화전초등학교,계양구,688,0.5621287687784734,0.3873498368195425,441,438,325,337
B000003108,인천효성남초등학교,계양구,633,0.5621287687784734,0.3873498368195425,550,426,501,335
B000003107,인천효성동초등학교,계양구,454,0.5621287687784734,0.3873498368195425,420,361,469,300
B000003131,인천효성서초등학교,계양구,341,0.5621287687784734,0.3873498368195425,186,211,111,161
B000003109,인천효성초등학교,계양구,272,0.5621287687784734,0.3873498368195425,147,174,95,134
B000003077,상인천초등학교,남동구,395,0.4707510503206492,0.2571381390250187,215,237,150,174
B000003074,인천간석초등학교,남동구,510,0.4707510503206492,0.2571381390250187,417,328,371,247
B000003089,인천고잔초등학교,남동구,826,0.4707510503206492,0.2571381390250187,594,506,469,375
B000003075,인천구월서초등학교,남동구,924,0.4707510503206492,0.2571381390250187,755,594,653,446
B000003095,인천구월초등학교,남동구,299,0.4707510503206492,0.2571381390250187,158,177,133,130
B000003104,인천남동초등학교,남동구,312,0.4707510503206492,0.2571381390250187,149,183,122,133
B000003070,인천남촌초등학교,남동구,309,0.4707510503206492,0.2571381390250187,155,187,89,137
B000003098,인천논곡초등학교,남동구,551,0.4707510503206492,0.2571381390250187,333,335,234,247
B000003097,인천논현초등학교,남동구,591,0.4707510503206492,0.2571381390250187,373,361,280,267
B000003103,인천담방초등학교,남동구,369,0.4707510503206492,0.2571381390250187,189,220,110,161
B000003083,인천도림초등학교,남동구,320,0.4707510503206492,0.2571381390250187,155,189,83,138
B000003086,인천동방초등학교,남동구,511,0.4707510503206492,0.2571381390250187,235,302,114,221
