격자코드,총인구,남성인구,여성인구,격자구분
나사403632,13,13,0,나사
나사403633,8,5,5,나사
나사404633,8,8,8,나사
나사405631,13,8,5,나사
나사407650,0,0,0,나사
나사409635,28,23,5,나사
나사409646,13,13,0,나사
나사410636,58,48,8,나사
나사410637,0,0,0,나사
나사410639,8,5,5,나사
나사411635,0,0,0,나사
나사411638,5,0,0,나사
나사411639,18,8,13,나사
나사411644,15,15,0,나사
나사412636,37,32,0,나사
나사412637,33,18,13,나사
나사412638,39,24,13,나사
나사412639,59,34,23,나사
나사412640,13,8,5,나사
나사412641,23,18,8,나사
나사413637,5,5,0,나사
나사413638,101,57,42,나사
나사413639,124,77,45,나사
나사413640,60,35,28,나사
나사413641,8,8,5,나사
나사414638,8,8,0,나사
나사414639,60,40,23,나사
나사414640,67,42,23,나사
나사414641,77,49,26,나사
나사414642,33,23,8,나사
나사414643,112,62,48,나사
나사414644,13,8,8,나사
나사414649,79,79,5,나사
나사415638,8,0,8,나사
나사415639,8,8,0,나사
나사415640,48,23,23,나사
나사415641,80,50,28,나사
나사415642,91,56,33,나사
나사415643,23,13,13,나사
나사415644,5,5,5,나사
나사415650,19,19,0,나사
나사416641,68,48,23,나사
나사416642,56,36,23,나사
나사416643,5,0,0,나사
나사417641,43,23,18,나사
나사417642,50,30,23,나사
나사417643,0,0,0,나사
나사418582,8,5,5,나사
나사418583,93,73,23,나사
나사418584,8,5,5,나사
나사418641,29,19,13,나사
나사418643,23,13,8,나사
나사418644,0,0,0,나사
나사419583,34,24,8,나사
나사419643,5,0,0,나사
나사419651,5,0,5,나사
나사420650,92,57,33,나사
나사421582,5,5,0,나사
나사421649,36,36,0,나사
나사421650,57,52,5,나사
나사422649,5,5,0,나사
나사422650,53,28,23,나사
나사422651,13,8,0,나사
나사423650,5,5,0,나사
나사423651,13,8,8,나사
나사648111,5,5,0,나사
나사648112,13,8,5,나사
나사648113,8,5,5,나사
나사649110,5,5,5,나사
나사733005,5,0,0,나사
나사757164,5,0,0,나사
나사758165,5,0,0,나사
나사759165,0,0,0,나사
나사759166,8,5,8,나사
나사759167,5,5,0,나사
나사759168,5,5,5,나사
나사760089,0,0,0,나사
나사760164,5,5,0,나사
나사760165,8,5,5,나사
나사760166,5,0,5,나사
나사761089,8,5,5,나사
나사761090,13,8,8,나사
나사761091,5,5,0,나사
나사761164,0,0,0,나사
나사761165,5,5,5,나사
나사761166,5,0,5,나사
나사762089,23,13,13,나사
나사762090,13,8,5,나사
나사762091,13,8,8,나사
나사762092,0,0,0,나사
나사762164,8,5,5,나사
나사762165,13,8,8,나사
나사762166,8,8,5,나사
나사763090,0,0,0,나사
나사763091,8,8,5,나사
나사763092,5,5,0,나사
나사763163,8,5,8,나사
나사763164,8,5,5,나사
나사763165,8,8,5,나사
나사763166,13,8,8,나사
나사764165,5,5,0,나사
나사764166,8,5,5,나사
나사764167,5,0,5,나사
나사764185,5,5,0,나사
나사764187,5,0,0,나사
나사765162,5,5,5,나사
나사765166,5,5,0,나사
나사765167,5,0,5,나사
나사765185,5,5,5,나사
나사765186,13,8,8,나사
나사765187,13,8,5,나사
나사765188,5,5,5,나사
나사765189,5,0,5,나사
나사766157,5,0,0,나사
나사766158,5,5,0,나사
나사766159,8,0,5,나사
나사766186,5,0,0,나사
나사766188,8,8,5,나사
나사767157,5,5,5,나사
나사767158,5,0,0,나사
나사767159,8,5,8,나사
나사767188,5,0,0,나사
나사768147,5,0,5,나사
나사768158,8,5,5,나사
나사768159,8,8,5,나사
나사768184,5,0,0,나사
나사769156,0,0,0,나사
나사769158,5,5,0,나사
나사769159,8,8,0,나사
나사769183,0,0,0,나사
나사769184,0,0,0,나사
나사770148,8,5,5,나사
나사770149,45,30,13,나사
나사770158,5,0,5,나사
나사770176,5,5,0,나사
나사770177,5,5,0,나사
나사770182,5,5,0,나사
나사770183,5,5,0,나사
나사771148,24,14,8,나사
나사771149,5,5,5,나사
나사771153,8,5,5,나사
나사771176,8,5,5,나사
나사771177,8,8,5,나사
나사771178,5,5,5,나사
나사772147,5,5,5,나사
나사772148,23,13,13,나사
나사772149,0,0,0,나사
나사772150,5,0,0,나사
나사772152,8,5,5,나사
나사772176,8,5,5,나사
나사772177,13,8,8,나사
나사772178,8,8,5,나사
나사772179,5,5,0,나사
나사773146,5,0,0,나사
나사773147,18,13,8,나사
나사773148,5,5,0,나사
나사773150,13,8,5,나사
나사773151,5,5,0,나사
나사773152,8,5,5,나사
나사773174,5,0,5,나사
나사773175,5,5,0,나사
나사773178,8,5,5,나사
나사773179,8,5,8,나사
나사774146,13,8,5,나사
나사774147,8,8,5,나사
나사774148,13,5,8,나사
나사774149,5,5,5,나사
나사774150,8,5,5,나사
나사774151,0,0,0,나사
나사774173,8,8,5,나사
나사774174,5,0,0,나사
나사774179,5,5,5,나사
나사775145,5,5,5,나사
나사775146,13,8,8,나사
나사775147,8,5,8,나사
나사775148,5,5,5,나사
나사775149,5,0,5,나사
나사775172,8,8,5,나사
나사775173,13,8,5,나사
나사775180,8,5,5,나사
나사776146,8,8,0,나사
나사776149,5,0,0,나사
나사776171,5,0,0,나사
나사776173,5,5,0,나사
나사777145,8,8,5,나사
나사777146,5,0,0,나사
나사777169,5,5,0,나사
나사777170,8,5,5,나사
나사777171,5,0,0,나사
나사778145,5,0,0,나사
나사778169,5,5,0,나사
나사780166,5,5,0,나사
나사786155,5,5,5,나사
나사787159,8,8,5,나사
나사788155,8,5,5,나사
나사788158,8,5,5,나사
나사789136,0,0,0,나사
나사789154,5,0,5,나사
나사789155,13,8,5,나사
나사789156,8,8,5,나사
나사789157,5,0,5,나사
나사790155,0,0,0,나사
나사790156,5,0,5,나사
나사790157,5,0,5,나사
나사791154,8,8,5,나사
나사791155,0,0,0,나사
나사791156,5,5,5,나사
나사791157,5,5,0,나사
나사791159,8,8,5,나사
나사792138,8,5,5,나사
나사792139,13,8,5,나사
나사792140,5,5,0,나사
나사792153,8,5,5,나사
나사792154,18,8,8,나사
나사792156,8,5,5,나사
나사792660,5,5,0,나사
나사792661,0,0,0,나사
나사793139,0,0,0,나사
나사793140,8,5,5,나사
나사793153,8,5,5,나사
나사793154,8,8,5,나사
나사793160,0,0,0,나사
나사793163,5,0,0,나사
나사793661,5,5,0,나사
나사793662,5,0,0,나사
나사794140,0,0,0,나사
나사794153,8,5,5,나사
나사794154,5,5,5,나사
나사794160,8,0,8,나사
나사794660,8,8,0,나사
나사795139,5,5,0,나사
나사795145,0,0,0,나사
나사795147,5,5,0,나사
나사795148,23,13,8,나사
나사795151,5,0,0,나사
나사795152,0,0,0,나사
나사795153,0,0,0,나사
나사795154,13,8,8,나사
나사795162,5,0,5,나사
나사795163,8,5,5,나사
나사796139,5,0,5,나사
나사796142,5,5,0,나사
나사796145,5,0,0,나사
나사796146,13,8,5,나사
나사796147,13,8,8,나사
나사796148,23,13,13,나사
나사796149,13,8,5,나사
나사796150,33,23,8,나사
나사796151,5,5,5,나사
나사796152,0,0,0,나사
나사796153,5,5,5,나사
나사797146,0,0,0,나사
나사797147,23,13,8,나사
나사797148,18,8,13,나사
나사797149,8,5,5,나사
나사797150,5,0,0,나사
나사797151,8,5,5,나사
나사797152,8,8,8,나사
나사798147,8,5,8,나사
나사798148,5,0,0,나사
나사798150,8,8,5,나사
나사798151,13,8,8,나사
나사799149,5,5,5,나사
나사799150,5,5,5,나사
나사800149,0,0,0,나사
나사803151,13,8,5,나사
나사803152,8,8,5,나사
나사804151,8,8,5,나사
나사804152,8,5,5,나사
나사805150,13,8,5,나사
나사805151,23,8,13,나사
나사805152,18,8,8,나사
나사806151,5,5,5,나사
나사806153,5,0,5,나사
나사807152,13,8,8,나사
나사807153,8,8,5,나사
나사808152,0,0,0,나사
나사808153,5,0,5,나사
나사809152,13,8,5,나사
나사812146,5,5,0,나사
나사813145,8,5,5,나사
나사813146,23,18,5,나사
나사814145,5,5,5,나사
나사814146,13,8,5,나사
나사817144,8,5,5,나사
나사818141,5,5,5,나사
나사818142,18,8,8,나사
나사818143,0,0,0,나사
나사818144,5,5,5,나사
나사819141,5,0,0,나사
나사819142,8,5,5,나사
나사820143,8,8,5,나사
나사820144,8,5,5,나사
나사821144,0,0,0,나사
나사821145,5,5,0,나사
나사822144,5,5,0,나사
나사822145,5,0,5,나사
나사824134,5,0,5,나사
나사824139,8,5,8,나사
나사824142,5,5,0,나사
나사825136,8,8,5,나사
나사825137,8,8,5,나사
나사825138,5,0,0,나사
나사825139,0,0,0,나사
나사825140,5,0,5,나사
나사826138,13,8,8,나사
나사827136,23,13,8,나사
나사827137,8,5,8,나사
나사827138,18,8,13,나사
나사828131,5,0,5,나사
나사828135,13,8,8,나사
나사828136,38,18,18,나사
나사828137,28,18,13,나사
나사828138,5,5,5,나사
나사828139,5,5,5,나사
나사829135,13,8,5,나사
나사829645,5,5,5,나사
나사829646,5,5,5,나사
나사831644,5,5,0,나사
나사832645,5,0,5,나사
나사832646,5,5,0,나사
나사832647,5,5,0,나사
나사833646,5,0,5,나사
나사833647,8,8,5,나사
나사834646,5,5,0,나사
나사834647,8,8,0,나사
나사834648,0,0,0,나사
나사841640,0,0,0,나사
나사841651,5,5,0,나사
나사842641,13,5,8,나사
나사842642,13,8,5,나사
나사842654,0,0,0,나사
나사843639,8,5,5,나사
나사845642,5,5,0,나사
나사848642,8,5,8,나사
나사848643,5,5,0,나사
나사849641,5,5,0,나사
나사849642,5,5,0,나사
나사849643,5,0,0,나사
나사850641,13,8,5,나사
나사850642,13,8,5,나사
나사851634,0,0,0,나사
나사851638,5,0,5,나사
나사851639,0,0,0,나사
나사851640,0,0,0,나사
나사851641,13,8,5,나사
나사851642,8,8,5,나사
나사851644,5,5,0,나사
나사852636,0,0,0,나사
나사852637,13,8,5,나사
나사852638,13,8,8,나사
나사852639,18,8,8,나사
나사852640,18,8,8,나사
나사852641,5,5,0,나사
나사853637,5,0,5,나사
나사853638,8,8,5,나사
나사853639,5,0,0,나사
나사854638,5,0,0,나사
나사855631,5,0,5,나사
나사855632,8,5,5,나사
나사856635,5,5,5,나사
나사860104,8,8,5,나사
나사861103,8,5,5,나사
나사861104,5,5,0,나사
나사864098,8,5,5,나사
나사864099,8,5,5,나사
나사865098,8,5,5,나사
나사865099,5,0,5,나사
나사866099,5,5,0,나사
나사870745,5,0,5,나사
나사871745,5,5,5,나사
나사871746,13,5,8,나사
나사871747,13,8,5,나사
나사871748,8,5,8,나사
나사871749,8,8,5,나사
나사871761,5,5,0,나사
나사872743,8,8,5,나사
나사872744,5,5,5,나사
나사872745,13,8,5,나사
나사872750,5,5,0,나사
나사872751,5,0,5,나사
나사872759,5,5,0,나사
나사872760,33,18,13,나사
나사873749,5,0,0,나사
나사873750,8,5,0,나사
나사873751,8,5,8,나사
나사873752,5,5,0,나사
나사873758,5,0,5,나사
나사873759,5,0,0,나사
나사874750,5,0,0,나사
나사874752,0,0,0,나사
나사875750,0,0,0,나사
나사875754,5,5,5,나사
나사876630,5,5,5,나사
나사876631,5,0,5,나사
나사876752,0,0,0,나사
나사876753,5,5,0,나사
나사876754,8,8,5,나사
나사877619,8,5,5,나사
나사877620,8,8,5,나사
나사877630,5,0,0,나사
나사877631,8,8,5,나사
나사877632,5,0,0,나사
나사877698,5,0,0,나사
나사877752,5,5,5,나사
나사877753,5,5,5,나사
나사877754,0,0,0,나사
나사878619,5,5,5,나사
나사878620,5,5,0,나사
나사878630,8,5,8,나사
나사878631,8,5,5,나사
나사879617,5,5,5,나사
나사879618,5,0,0,나사
나사879631,0,0,0,나사
나사880099,18,8,8,나사
나사880100,5,5,0,나사
나사880743,5,5,0,나사
나사880756,5,0,0,나사
나사881098,0,0,0,나사
나사881099,18,8,8,나사
나사881100,8,5,8,나사
나사881616,5,0,0,나사
나사881702,5,0,0,나사
나사881743,5,5,0,나사
나사881744,8,8,0,나사
나사881757,8,0,8,나사
나사882694,5,5,0,나사
나사882695,8,5,5,나사
나사882744,13,8,8,나사
나사882745,8,5,5,나사
나사882755,8,5,5,나사
나사882757,8,5,8,나사
나사882778,5,0,5,나사
나사882779,8,5,8,나사
나사882780,5,5,5,나사
나사883694,5,0,5,나사
나사883695,8,8,5,나사
나사883696,8,5,5,나사
나사883740,5,5,0,나사
나사883744,8,8,0,나사
나사883745,8,5,5,나사
나사883756,5,0,0,나사
나사883757,18,8,8,나사
나사883758,5,5,5,나사
나사883777,5,5,0,나사
나사883778,13,5,8,나사
나사883779,13,8,8,나사
나사883780,8,5,5,나사
나사884623,0,0,0,나사
나사884695,8,5,5,나사
나사884696,8,8,0,나사
나사884739,5,5,0,나사
나사884740,5,5,5,나사
나사884741,5,5,0,나사
나사884744,5,5,0,나사
나사884754,5,0,0,나사
나사884757,18,8,8,나사
나사884758,5,0,0,나사
나사884777,8,8,5,나사
나사884778,13,8,8,나사
나사884779,5,5,5,나사
나사885619,5,0,0,나사
나사885620,8,5,5,나사
나사885622,5,5,0,나사
나사885623,8,5,5,나사
나사885695,5,5,5,나사
나사885738,5,5,0,나사
나사885741,5,0,5,나사
나사885752,0,0,0,나사
나사885757,13,8,5,나사
나사885758,18,8,8,나사
나사885760,5,5,0,나사
나사885777,5,5,5,나사
나사885778,18,8,8,나사
나사885779,5,5,5,나사
나사886620,13,8,8,나사
나사886621,18,8,8,나사
나사886622,5,5,5,나사
나사886707,8,8,0,나사
나사886708,5,0,5,나사
나사886741,5,5,0,나사
나사886742,0,0,0,나사
나사886751,5,0,0,나사
나사886752,13,8,8,나사
나사886757,5,5,0,나사
나사886758,5,5,0,나사
나사886778,13,8,5,나사
나사887092,8,5,8,나사
나사887094,0,0,0,나사
나사887619,5,5,0,나사
나사887620,8,8,5,나사
나사887743,5,5,0,나사
나사887744,5,5,0,나사
나사887745,5,5,0,나사
나사887750,5,0,0,나사
나사887751,8,5,5,나사
나사887752,13,8,5,나사
나사887753,5,0,0,나사
나사888095,5,5,5,나사
나사888612,5,0,0,나사
나사888619,5,5,0,나사
나사888620,0,0,0,나사
나사888737,0,0,0,나사
나사888752,8,8,5,나사
나사888753,8,5,5,나사
나사888794,5,0,5,나사
나사889611,13,8,8,나사
나사889612,18,8,8,나사
나사889613,18,8,8,나사
나사889739,5,0,5,나사
나사889753,8,5,5,나사
나사889793,5,5,0,나사
나사890093,5,0,0,나사
나사890611,13,8,8,나사
나사890612,8,5,5,나사
나사890613,5,5,5,나사
나사890620,0,0,0,나사
나사890621,8,8,5,나사
나사890752,8,5,8,나사
나사890792,8,5,8,나사
나사891088,5,5,5,나사
나사891090,5,5,5,나사
나사891609,8,8,0,나사
나사891610,8,5,5,나사
나사891611,8,8,5,나사
나사891612,8,5,5,나사
나사891620,13,8,8,나사
나사891621,5,0,0,나사
나사891749,5,5,5,나사
나사891750,5,0,0,나사
나사891752,13,5,8,나사
나사891753,5,0,5,나사
나사891788,0,0,0,나사
나사891792,8,5,5,나사
나사891793,23,8,13,나사
나사891794,8,5,5,나사
나사892092,5,5,0,나사
나사892093,5,5,0,나사
나사892609,8,8,0,나사
